"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool_48","bool_49","i32_50","i32_54","i32_58","i32_62","bool_66","bool_67","[rid]_68","[rid]_84","i32_100","bool_104","bool_105","i32_106"
0,6919,1970,1972,1,1,60,1,20,120,"",1,[],[],0,1,"",0
1,6918,2210,2210,1,1,60,1,20,120,1,1,[],[],0,1,"",0
2,7242,2641,2641,1,1,60,1,20,120,"","",[],[],0,1,"",0
3,7243,2641,2641,1,1,60,1,20,120,"",1,[],[],0,1,"",0
4,7244,2641,2641,1,1,60,1,20,120,"",1,[],[],0,1,"",0
5,5214,1095,1095,1,1,60,1,20,120,"","",[],[],0,1,"",0
6,8062,3504,3504,1,1,60,0,20,120,"","",[],[],0,1,"",0
7,8279,3775,3775,1,1,60,1,20,120,"",1,[],[],0,1,"",0
8,8280,3775,3775,1,1,60,1,20,120,"",1,[],[],0,1,"",0
9,8283,3775,3775,1,1,105,1,40,120,1,1,[],[],0,1,"",0
10,8284,3775,3775,1,1,80,1,20,120,1,1,[],[],0,1,"",0
11,8642,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
12,8643,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
13,8644,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
14,8646,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
15,8647,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
16,8648,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
17,8649,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
18,8650,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
19,8651,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
20,8653,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
21,8655,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
22,8656,4447,4447,1,"",30,1,15,120,"",1,[],[],30,"","",0
23,9210,4447,4447,1,1,0,1,5,60,"","",[],[],0,"","",0
24,9520,4447,4447,1,"",105,1,20,75,"",1,[],[],0,"",1,0
25,9521,4447,4447,1,"",105,1,24,75,"",1,[],[],0,"",1,0
26,9522,4447,4447,1,"",105,1,15,75,"",1,[],[],0,"",1,0
27,8063,3504,3504,1,1,60,0,20,120,1,1,[],[],0,1,"",0
28,8645,4447,4447,1,1,60,1,20,120,"",1,[],[],0,"","",0
29,8908,1970,1972,1,1,60,1,25,120,1,1,[],[],60,1,"",180
