"rownum","string_0","string_8","i32_16","rid_20","rid_36","i32_52","bool_56","bool_57","bool_58","i32_59","string_63","rid_71","rid_87","i32_103","rid_107"
0,"Hideout","Art/2DArt/UIImages/InGame/WorldPanelHideoutWaypointPinIcon",1586,"","",56,"",1,"",55558,"Art/2DArt/UIImages/InGame/WorldPanelHideoutWaypointHighlightedPinIcon",1627,1588,51,""
1,"GuildHideout","Art/2DArt/UIImages/InGame/WorldPanelGuildWaypointPinIcon",1033,"","",56,1,"","",63057,"Art/2DArt/UIImages/InGame/WorldPanelGuildWaypointHighlightPinIcon",5905,5906,51,""
2,"Labyrinth","Art/2DArt/UIImages/InGame/WorldPanelLabyrinthWaypointPinIcon",1586,"",461,56,"","","",40083,"Art/2DArt/UIImages/InGame/WorldPanelLabyrinthWaypointHighlightedPinIcon",2854,2855,11,3916
3,"Menagerie","Art/2DArt/UIImages/InGame/WorldPanelBestiaryWaypointPinIcon",409,"","",56,"","","",8050,"Art/2DArt/UIImages/InGame/WorldPanelBestiaryWaypointHighlightedPinIcon",3855,3856,19,3917
4,"DelveHub","Art/2DArt/UIImages/InGame/WorldPanelDelveWaypointPinIcon",9,"","",56,"","","",49306,"Art/2DArt/UIImages/InGame/WorldPanelDelveWaypointHighlightedPinIcon",4028,4029,27,4033
5,"SynthesisHub","Art/2DArt/UIImages/InGame/WorldPanelSynthesisWaypointPinIcon",1586,2077,"",29,"","",1,871,"Art/2DArt/UIImages/InGame/WorldPanelSynthesisWaypointHighlightedPinIcon",4508,4505,32,4507
6,"SanctumHub","Art/2DArt/UIImages/InGame/WorldPanelSanctumWaypointPinIcon",414,"","",56,"","","",19144,"Art/2DArt/UIImages/InGame/WorldPanelSanctumWaypointHighlightedPinIcon",6831,6832,45,6858
7,"HallsOfTheDead","Art/2DArt/UIImages/InGame/WorldPanelAncestralWaypointPinIcon",677,"",1872,49,"","",1,15152,"Art/2DArt/UIImages/InGame/WorldPanelAncestralWaypointHighlightedPinIcon",6911,6912,46,6910
8,"Necropolis","Art/2DArt/UIImages/InGame/WorldPanelNecropolisWaypointPinIcon",419,"","",52,"","",1,42080,"Art/2DArt/UIImages/InGame/WorldPanelNecropolisWaypointHighlightedPinIcon",7125,7126,49,7124
9,"Kingsmarch","Art/2DArt/UIImages/InGame/WorldPanelKingsmarchWaypointPinIcon",608,"","",56,"","","",15868,"Art/2DArt/UIImages/InGame/WorldPanelKingsmarchWaypointHighlightedPinIcon",7280,7281,50,7282
10,"HeistHub","Art/2DArt/UIImages/InGame/WorldPanelRogueHarbourWaypointPinIcon",736,"","",56,"","","",3536,"Art/2DArt/UIImages/InGame/WorldPanelRogueHarbourWaypointHighlightedPinIcon",7752,7753,37,7754
