"rownum","Id","[rid]_8","[rid]_24","[rid]_40","i32_56","bool_60","[i32]_61","i32_77","i32_81","i32_85","bool_89","i32_90","i32_94","[string]_98"
0,"MicrotransactionBreachHandOnKill","[2,3]",[],[],1,"","[50,100]",0,0,0,"",116,0,[]
1,"MicrotransactionRareUnique","[2,3]",[],[],1,"",[],0,0,0,"",204,0,[]
2,"MicrotransactionRare",[2],[],[],1,"",[],0,0,0,"",264,0,[]
3,"MicrotransactionAllRarities","[0,1,2,3]",[],[],1,"",[],0,0,0,"",386,0,[]
4,"MicrotransactionUnique",[3],[],[],1,"",[],0,0,0,"",450,0,[]
5,"SandwraithMastodon","[0,1,2,3]",[],[],40,"",[],0,0,0,"",554,0,[]
6,"MicrotransactionCursedNormal20Percent",[0],[],[],1,"",[20],0,0,0,"",652,0,"[""ic""]"
7,"MicrotransactionCursedMagic",[1],[],[],1,"",[],0,0,0,"",742,0,"[""ic""]"
8,"MicrotransactionCursedRare",[2],[],[],1,"",[],0,0,0,"",830,0,"[""ic""]"
9,"MicrotransactionCursedUnique",[3],[],[],1,"",[],0,0,0,"",922,0,"[""ic""]"
10,"MicrotransactionAllRaritiesPhrecian","[0,1,2,3]",[],[],1,"","[30,60,100,100]",0,0,0,"",1092,0,[]
