"rownum","rid_0","i32_16","f32_20","[rid]_24","i32_40","i32_44","i32_48","f32_52","f32_56"
0,0,0,12,[5206],30,30,1,0,0
1,1,0,12,[6333],30,30,1,0,0
2,2,0,8,[8120],30,30,1,0,0
3,3,0,8,[8174],30,30,1,0,0
4,4,0,8,[8203],30,30,1,0,0
5,5,0,8,[8149],10,10,1,0,0
6,6,0,8,[8267],30,30,1,0,0
7,7,0,8,[5207],30,30,1,0,0
8,8,0,8,[6335],20,20,1,0,0
9,9,0,8,[8887],30,30,1,0,0
10,10,0,4,"[8120,8149,8174,8203,5207,6335,8887,8267]",30,30,2,0,2
11,11,0,5,[6334],10,50,15,1,5
12,12,0,4,[8532],1,1,1,1.5,3
13,13,0,3,"[4786,4787,4788,4789]",10,40,3,0,0
14,14,0,5,"[8988,8989]",40,40,1,0,0
15,15,0,10,[3074],50,70,1,0,0
16,16,0,12,[9088],10,10,1,0,0
17,17,0,10,[9472],20,20,1,0,0
18,18,0,10,[10168],15,80,2,1,3
19,19,0,15,"[4812,4813,4814]",50,70,1,1,0
