"rownum","Id","BetrayalChoicesKey","ClientStringsKey"
0,"Interrogate",0,""
1,"Release",4,""
2,"Execute",1,""
3,"PromoteNPC",3,""
4,"SwapNPCJob",3,""
5,"SwapLeader",2,""
6,"RemoveNPCFromOrg",2,""
7,"NPCBefriendsAnother",3,""
8,"GainIntelligenceLarge",3,""
9,"GainIntelligence",3,""
10,"NPCLeavesOrg",3,""
11,"StealRanks",2,""
12,"StealIntelligence",2,""
13,"RemoveAllFromPrison",3,""
14,"DestroyAllItemsInDivision",3,""
15,"RemoveAllRivalries",3,""
16,"RemoveAllRivalriesInDivision",3,""
17,"DestroyAllItemsOfRivalDivision",2,""
18,"DownrankRivalsUprankMyDivision",2,""
19,"GainItemAnyUnique",3,4410
20,"GainItemCurrency",3,4411
21,"GainItemVeiledItem",3,4412
22,"GainItemMap",3,4413
23,"GainItemScarab",3,4414
24,"ExecuteSafehouse",1,""
