"rownum","ActiveSkill","i32","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool","SurgeEffect_EPKFile","string","string","rid","rid"
0,42,0,"","","","","","","","",1,"","","","",""
1,42,1,"","","","","","","","","","","","","",""
2,42,2,2327,"","","","","","","",1,"","","","",""
3,42,3,"","","",12,13,"","","",1,"","","","",""
4,42,4,"",42,43,"","","","","","","","","","",""
5,42,5,"",44,45,"","","","","",1,"","","","",""
6,42,6,"",108,108,109,109,110,110,111,1,"","","","",""
7,42,7,"",112,112,112,112,112,112,112,1,"","","","",""
8,42,8,"",114,113,114,113,"","","",1,"","","","",""
9,42,9,"","","",123,123,124,"","",1,"","","","",""
10,42,10,"","","",125,125,"","","",1,"","","","",""
11,42,11,"","","","","",126,"","",1,"","","","",""
12,42,12,"","","","","",127,"","",1,"","","","",""
13,42,13,"","","",128,"","","","",1,"","","","",""
14,42,14,"","","","","","",66,"",1,"","","","",""
15,42,100,"",129,130,"","","","","",1,"","Monster_Trail_R","Monster_Trail_L","",""
16,42,200,"","","",220,220,220,220,"",1,"","","","",""
17,648,1,"","","",208,208,201,213,"","","","","","",""
18,737,1,"","","",208,208,201,213,"","","","","","",""
19,738,1,"","","",208,208,201,213,"","","","","","",""
20,739,1,"","","",208,208,201,213,"","","","","","",""
21,740,1,"","","",208,208,201,213,"","","","","","",""
22,741,1,"","","",208,208,201,213,"","","","","","",""
23,742,1,"","","",208,208,201,213,"","","","","","",""
24,743,1,"","","",208,208,201,213,"","","","","","",""
25,744,1,"","","",208,208,201,213,"","","","","","",""
26,745,1,"","","",208,208,201,213,"","","","","","",""
27,746,1,"","","",208,208,201,213,"","","","","","",""
28,747,1,"","","",208,208,201,213,"","","","","","",""
29,748,1,"","","",208,208,201,213,"","","","","","",""
30,749,1,"","","",208,208,201,213,"","","","","","",""
31,750,1,"","","",208,208,201,213,"","","","","","",""
32,751,1,"","","",208,208,201,213,"","","","","","",""
33,752,1,"","","",208,208,201,213,"","","","","","",""
34,753,1,"","","",208,208,201,213,"","","","","","",""
35,754,1,"","","",208,208,201,213,"","","","","","",""
36,755,1,"","","","","","","","",1,"","","","",""
37,756,0,"","","","","","","","",1,"","","","",""
38,757,0,"","","","","","","","","","","","","",""
39,21,0,"",30,29,32,31,35,33,34,1,"","","","",""
40,21,1,"",144,143,146,145,149,147,148,1,"","","","",""
41,15,0,"",24,"",25,"",28,26,27,1,"","","","",""
42,15,1,"",0,"",1,"",4,2,3,1,"","","","",""
43,16,0,"",24,"",25,"",28,26,27,1,"","","","",""
44,16,1,"",0,"",1,"",4,2,3,1,"","","","",""
45,75,0,"",182,182,182,182,182,182,182,1,"","","","",""
46,27,0,"",10,11,12,13,16,14,15,"","","","","",""
47,27,1,"",10,11,12,13,16,14,15,"","","","","",""
48,27,2,"",10,11,12,13,16,14,15,"","","","","",""
49,27,3,"",10,11,12,13,16,14,15,"","","","","",""
50,27,4,"",10,11,12,13,16,14,15,"","","","","",""
51,28,0,"",10,11,12,13,16,14,15,1,"","","","",""
52,57,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
53,58,0,"",77,76,71,70,75,72,73,"","","","","",""
54,62,0,"",103,103,104,104,105,105,105,"","","","","",""
55,205,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","","","",""
56,206,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","","","",""
57,211,0,"",10,11,12,13,16,14,15,"","","","","",""
58,133,0,"",10,11,12,13,16,14,15,"","","","","",""
59,133,1,"",10,11,12,13,16,14,15,"","","","","",""
60,168,0,370,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
61,168,1,"",10,11,12,13,16,14,15,"","","","","",""
62,168,2,"",10,11,12,13,16,14,15,"","","","","",""
63,168,3,1858,10,11,12,13,16,14,15,"","","","","",""
64,168,4,"",10,11,12,13,16,14,15,1,"","","","",""
65,168,5,4222,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","","","",""
66,168,6,"",10,11,12,13,16,14,15,"","","","","",""
67,168,7,"",10,11,12,13,16,14,15,"","","","","",""
68,354,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
69,354,1,"",6,5,8,7,9,9,9,1,"","","","",""
70,354,3,"",171,172,173,174,175,175,175,1,"","","","",""
71,134,0,"",10,11,12,13,16,14,15,"","","","","",""
72,76,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_phys_weapon_surge.epk","","","",""
73,76,1,"",131,131,132,132,135,133,134,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","","","",""
74,93,0,"",10,11,12,13,16,14,15,"","","","","",""
75,411,0,"",46,47,46,47,46,46,47,1,"","","","",""
76,198,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","","","",""
77,198,1,"",122,121,116,115,120,117,118,"","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk","","","",""
78,313,0,"",56,55,58,57,59,60,61,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
79,353,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_fire_weapon_surge.epk","","","",""
80,353,2,"",141,140,139,138,142,136,137,"","","","","",""
81,416,0,"","","","","","","","",1,"","","","",""
82,418,0,"",10,11,12,13,16,14,15,"","","","","",""
83,418,1,"",10,11,12,13,16,14,15,"","","","","",""
84,418,2,"",10,11,12,13,16,14,15,"","","","","",""
85,418,3,"",10,11,12,13,16,14,15,"","","","","",""
86,418,4,"",10,11,12,13,16,14,15,"","","","","",""
87,46,0,"",94,93,96,95,"","","","","","","","",""
88,46,1,"",168,167,170,169,"","","",1,"","","","",""
89,419,0,"",10,11,12,13,16,14,15,"","","","","",""
90,18,0,"",97,"",98,"","","","",1,"","","","",""
91,18,1,"",97,"",98,"","","","",1,"","","","",""
92,18,2,"",157,"",158,"","","","",1,"Metadata/Effects/Microtransactions/Spells/nightfall_dualstrike/weapon_surge.epk","","","",""
93,12,0,"","","",208,208,202,"","","","","","","",""
94,12,25,"",99,99,100,100,101,102,102,1,"","","","",""
95,758,0,"","","","","","","","","","","","","",""
96,635,0,"",197,197,197,197,197,197,197,1,"","","","",""
97,424,0,"","","","","","","","","","","","","",""
98,207,0,"","","","","","","","","","","","","",""
99,14,0,"","","","","","","","","","","","","",""
100,85,0,"","","","","","","","",1,"Metadata/Effects/Spells/lightning_strike_02/weaponsurge.epk","","","",""
101,85,1,"","","","","","","","",1,"Metadata/Effects/Spells/lightning_strike_02/weaponsurge.epk","","","",""
102,85,2,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/MyrmidonLightningStrike/weaponsurge.epk","","","",""
103,85,3,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/VulcanLightningStrike/weaponsurge.epk","","","",""
104,85,4,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/lightning_strike_02/void_emperor/epk/weaponsurge.epk","","","",""
105,85,5,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/lightning_strike_02/Sawblade/epk/vaal_weaponsurge.epk","","","",""
106,315,1,"","","","","",127,"","",1,"","","","",""
107,495,0,"",162,162,159,159,160,160,161,1,"Metadata/Effects/Spells/trauma_strike/weapon_buildup.epk","","","",""
108,495,1,"",131,131,132,132,135,133,134,1,"Metadata/Effects/Microtransactions/Spells/trauma_strike/celestial/weapon_buildup.epk","","","",""
109,496,0,"","","","","",160,"","",1,"Metadata/Effects/Spells/trauma_strike/weapon_buildup.epk","","","",""
110,57,1,"",150,151,152,153,154,155,156,"","Metadata/Effects/Microtransactions/Spells/StygianInfernalBlow/fire_surge.epk","","","",""
111,525,0,"","","","","","","","","","","","","",""
112,526,0,"","","","","","","","","","","","",218,""
113,530,0,"",219,219,219,219,219,219,219,1,"","","","",""
114,531,0,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","","",176,177
115,534,0,"","","","","","","","",1,"","","","",""
116,532,0,"","","","","","","","",1,"Metadata/Effects/Spells/spear_wall/spear_fx.epk","","","",""
117,555,0,"","","","","","","","","","","","","",""
118,556,0,"","","","","","","","","","","","","",""
119,557,0,"","","","","","",186,186,1,"","","","",""
120,557,1,"","","","","","",188,188,1,"","","","",""
121,558,0,"","","",208,208,202,"","","","","","","",""
122,562,0,"","","","","","",190,190,1,"","","","",""
123,564,0,"","","","","","","","","","","","","",""
124,565,0,"",10,11,12,13,16,14,15,"","","","","",""
125,563,0,"",10,11,12,13,16,14,15,"","","","","",""
126,566,0,"",10,11,12,13,16,14,15,"","","","","",""
127,569,0,"","","","","","","","","","","","","",""
128,567,0,"","","","","","","","",1,"","","","",""
