"rownum","ModsKey","AtlasModTiers"
0,9431,2
1,9432,2
2,9433,3
3,9434,2
4,9435,3
5,9436,2
6,9437,3
7,9438,2
8,9439,3
9,9440,2
10,9441,2
11,9442,3
12,9443,2
13,9444,3
14,9445,2
15,9446,3
16,9447,2
17,9448,3
18,9449,2
19,9450,3
20,9451,2
21,9452,3
22,9453,2
23,9454,2
24,9455,2
25,9456,2
26,9457,3
27,9458,2
28,9459,3
29,9460,2
30,9461,3
31,9462,2
32,9463,3
33,9464,2
34,9465,3
35,9466,2
36,9467,3
37,9468,2
38,9469,3
39,9470,2
40,9471,2
41,9472,3
42,9473,2
43,9474,3
44,9475,2
45,9476,3
46,9477,2
47,9478,3
48,9479,2
49,9480,3
50,9481,2
51,9482,3
52,9483,2
53,9484,3
54,9485,2
55,9486,3
56,9487,2
57,9488,3
58,9489,2
59,9490,3
60,9491,2
61,9492,3
62,9493,2
63,9494,3
64,9495,2
65,9496,3
66,9497,2
67,9498,3
68,9499,2
69,9500,3
70,9501,2
71,9502,3
72,9503,2
73,9504,3
74,9505,2
75,9506,3
76,9507,2
77,9508,3
78,9509,2
79,9510,3
80,9511,2
81,9512,3
82,9513,2
83,9514,3
84,9515,2
85,9516,3
86,9517,2
87,9518,3
88,9519,2
89,9520,3
90,9521,2
91,9522,3
92,9523,2
93,9524,3
94,9525,2
95,9526,3
96,9527,2
97,9528,3
98,9529,2
99,9530,3
100,9531,2
101,9532,2
102,9533,2
103,9534,3
104,9535,3
105,9536,3
106,9537,2
107,9538,3
108,9539,2
109,9540,3
110,11140,2
111,11141,3
112,11151,2
113,11152,3
114,11155,2
115,11156,3
116,11157,2
117,11158,3
118,11159,2
119,11160,2
120,11161,2
121,11162,3
122,11163,2
123,11164,3
124,11165,2
125,11166,2
126,11167,3
127,11170,2
128,11171,3
129,11255,2
130,11256,3
131,11380,2
132,11381,3
133,11290,2
134,11291,3
135,11329,2
136,11330,3
137,11506,2
138,11507,3
139,11502,2
140,11503,3
141,12430,2
142,12431,3
