"rownum","Id","Description","Item","rid","HASH16"
0,"JewelleryQualityLife","Quality (Life Modifiers)",191,0,15508
1,"JewelleryQualityMana","Quality (Mana Modifiers)",192,4,11127
2,"JewelleryQualityDefence","Quality (Defence Modifiers)",193,3,38530
3,"JewelleryQualityPhysical","Quality (Physical Modifiers)",194,7,32230
4,"JewelleryQualityFire","Quality (Fire Modifiers)",195,5,17813
5,"JewelleryQualityCold","Quality (Cold Modifiers)",196,10,48186
6,"JewelleryQualityLightning","Quality (Lightning Modifiers)",197,11,4061
7,"JewelleryQualityChaos","Quality (Chaos Modifiers)",198,9,38464
8,"JewelleryQualityAttack","Quality (Attack Modifiers)",199,2,10076
9,"JewelleryQualityCaster","Quality (Caster Modifiers)",200,1,34063
10,"JewelleryQualitySpeed","Quality (Speed Modifiers)",201,8,30409
11,"JewelleryQualityAttribute","Quality (Attribute Modifiers)",202,6,37510
