"rownum","Id","Mods","string","string","i32","i32","[rid]","i32","[i32]","[rid]"
0,"ProphecySignature",[],"","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9872,9876,9880,9884,9888,9907,9911,9913,9917,9918,9919,9920,9921,9922,9923,9924,9925,9926,9927,9928]","","",0,60,[],0,"[1,2]","[2579,2580]"
4,"EverythingSomewhere","[9873,9877,9881,9885,9889,9893,9897,9900,9902]","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9874,9878,9882,9886,9890,9894,9898,9901,9903,9904,9906,9908,9909,9910,9912]","","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9874,9882,9886,9890,9898,9904,9906,9908,9909,9910,9912]","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9894],"","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9874,9878,9882,9886,9890,9894,9898,9901,9903,9904,9906,9908,9909,9910]","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9912],"","",0,0,[],0,[],[]
