"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[10124]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[10124,10167]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[10162]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[10162,10167]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[10163]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[10163,10167]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[10164]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[10164,10167]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[10165]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[10165,10167]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[10166]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[10166,10167]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[10113]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[10113,10114]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[10113]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[10113]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[10113]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[10113]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[10115]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[10115,10114]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[10115]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[10115]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[10115]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[10115]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[10116]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[10116,10114]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[10116]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[10116]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[10116]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[10116]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[10117]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[10117,10114]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[10117]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[10117]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[10117]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[10117]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[10118]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[10118,10114]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[10118]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[10118]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[10118]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[10118]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[10121,10119]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[10121,10119,10114]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[10121,10119]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[10121,10119]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[10121,10119]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[10121,10119]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[10122,10120]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[10122,10120,10114]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[10122,10120]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[10122,10120]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[10122,10120]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[10122,10120]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[10123,10113]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[10123,10121]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[10113,10114,11153]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[10113,10114,11153]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[10113,10114,11153]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[10113,10114,11153]"
