"rownum","Id","ArmFiles","TdtFiles","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32"
0,"MissionFish","[""Metadata/Terrain/Missions/Fish/mission_room.arm""]","[""Metadata/Terrain/Islands/Tiles/Island/Volcano/Pools_02.tdt""]","",0,201326592,1,16777216,0,201326592,1,-33554432,-16843010,"",16711422,38
1,"Shrine","[""Metadata/Terrain/generic_shrine.arm""]",[],"",0,1912602624,1,16777216,0,1912602624,1,-33554432,-16843010,"",16711422,38
2,"ExpeditionEncounter","[""Metadata/Terrain/Gallows/Leagues/Expedition/encounter.arm""]",[],"",0,503316480,2,16777216,0,503316480,2,-33554432,-16843010,"",16711422,38
3,"ExpeditionBossSideArea","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Kalguur_Boss_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/KalguurBossEntrance_01.tdt""]",1,0,-503316480,3,16777216,0,-369098752,3,-33554432,-16843010,1576992510,0,38
4,"ExpeditionSideAreaKalguur","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Kalguur_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/KalguurEntrance_01.tdt""]",1,0,-1778384896,5,16777216,0,-1644167168,5,-33554432,-16843010,1560215294,0,38
5,"ExpeditionSideAreaCavern","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Cavern_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/CavernEntrance_01.tdt""]",1,0,1140850688,7,16777216,0,1275068416,7,-33554432,-16843010,1543438078,0,38
6,"ExpeditionSideAreaPrecursor","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Precursor_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/PrecursorEntrance_01.tdt""]",1,0,67108864,9,16777216,0,201326592,9,-33554432,-16843010,"",16711422,38
7,"ExpeditionSideAreaShrike","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Shrike_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/ShrikeEntrance_01.tdt""]",1,0,-1308622848,10,16777216,0,-1174405120,10,-33554432,-16843010,1593769726,0,38
8,"ExpeditionSideAreaVolcano","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Volcano_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/VolcanoEntrance_01.tdt""]",1,0,1711276032,12,16777216,0,1845493760,12,-33554432,-16843010,1627324158,0,38
9,"ExpeditionSideAreaSiren","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Siren_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/SirenEntrance_01.tdt""]",1,0,234881024,14,16777216,0,369098752,14,-33554432,-16843010,1610546942,0,38
