"rownum","Id","Text","rid"
0,"Flask","[Flask]",""
1,"One Hand Mace","[Mace|One Hand Mace]",""
2,"One Hand Sword","[Sword|One Hand Sword]",""
3,"Dagger","[Dagger]",""
4,"Staff","[Staff]",""
5,"Warstaff","[Quarterstaff]",""
6,"Currency","Currency",""
7,"Amulet","Amulet",""
8,"Ring","Ring",""
9,"Claw","[Claw]",""
10,"Wand","[Wand]",""
11,"One Hand Axe","[Axe|One Hand Axe]",""
12,"Bow","[Bow]",""
13,"Two Hand Sword","[Sword|Two Hand Sword]",""
14,"Two Hand Axe","[Axe|Two Hand Axe]",""
15,"Two Hand Mace","[Mace|Two Hand Mace]",""
16,"Active Skill Gem","Skill Gem",""
17,"Support Skill Gem","Support Gem",""
18,"Quiver","[Quiver]",""
19,"Belt","Belt",""
20,"Gloves","Gloves",""
21,"Boots","Boots",""
22,"Body Armour","Body Armour",""
23,"Helmet","Helmet",""
24,"Shield","[Shield]",""
25,"QuestItem","[QuestItem|Quest Item]",""
26,"Map","Waystone",""
27,"FishingRod","Fishing Rod",""
28,"MapFragment","Map Fragment",""
29,"Jewel","[Jewel]",""
30,"DivinationCard","Divination Card",""
31,"LabyrinthItem","Labyrinth Key",""
32,"LabyrinthTrinket","Labyrinth Trinket",""
33,"MiscMapItem","",""
34,"Leaguestone","Leaguestone",""
35,"PantheonSoul","Captured Soul",""
36,"UniqueFragment","Unique Piece",""
37,"AbyssJewel","Abyss Jewel",""
38,"IncursionItem","Incursion Item",""
39,"DelveSocketableCurrency","Resonator",""
40,"Incubator","Incubator",""
41,"AtlasUpgradeItem","Watchstone",""
42,"HeistContract","Contract",""
43,"HeistEquipmentWeapon","Heist Gear",""
44,"HeistEquipmentTool","Heist Tool",""
45,"HeistEquipmentUtility","Heist Cloak",""
46,"HeistEquipmentReward","Heist Brooch",""
47,"HeistBlueprint","Blueprint",""
48,"Trinket","Trinket",""
49,"HeistObjective","Heist Target",""
50,"ExpeditionLogbook","Expedition Logbook",""
51,"InstanceLocalItem","Instance Local Item",""
52,"SentinelDrone","Sentinel Drone",""
53,"Relic","Relic",""
54,"MemoryLine","Memory",""
55,"Breachstone","Breachstone",""
56,"VaultKey","Vault Key",""
57,"Spear","[Spear]",""
58,"Crossbow","[Crossbow]",""
59,"Focus","[Focus]",""
60,"Flail","[Flail]",""
61,"Sceptre","[Sceptre]",""
62,"Buckler","[Buckler]",""
63,"TrapTool","[Trap]",""
64,"MetaSkillGem","",""
65,"UncutSkillGem","",""
66,"Unarmed","[Unarmed]",""
67,"SoulCore","Soul Core",""
68,"TowerAugment","Tablet",""
69,"Charm","Charm",""
70,"Omen","Omen",""
71,"PinnacleKey","Pinnacle Key",""
