"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6991],"",[],[],[]
1,"DropVaalItem",[6998],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4824,598]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1225],[100]
4,"Maimed",[],505,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4823,648]","[1,100]"
6,"TormentedExperimenterPossess","[7789,7880,7940,7942]","",[],[],[]
7,"TormentedBlasphemerPossess","[7792,7878,7940,7942]","",[],[],[]
8,"TormentedNecromancerPossess","[7795,7880,7940,7942]","",[],[],[]
9,"TormentedArsonistPossess","[7798,7880,7940,7942]","",[],[],[]
10,"TormentedThiefPossess","[7827,7881,7940,7942]","",[],[],[]
11,"TormentedMutilatorPossess","[7840,7880,7940,7942]","",[],[],[]
12,"TormentedCharlatanPossess","[7808,7880,7940,7942]","",[],[],[]
13,"TormentedCannibalPossess","[7833,7880,7940,7942]","",[],[],[]
14,"TormentedPoisonerPossess","[7801,7880,7940,7942]","",[],[],[]
15,"TormentedCorrupterPossess","[7804,7881,7940,7942]","",[],[],[]
16,"TormentedThugPossess","[7811,7878,7940,7942]","",[],[],[]
17,"TormentedRoguePossess","[7814,7878,7815,7940,7942]","",[],[],[]
18,"TormentedFishermanPossess","[7817,7881,7940,7942]","",[],[],[]
19,"TormentedLibrarianPossess","[7820,7881,7940,7942]","",[],[],[]
20,"TormentedCutthroatPossess","[7824,7878,7940,7942]","",[],[],[]
21,"TormentedSpyPossess","[7830,7878,7940,7942]","",[],[],[]
22,"TormentedMartyrPossess","[7837,7880,7940,7942]","",[],[],[]
23,"TormentedEmbezzlerPossess","[7843,7881,7940,7942]","",[],[],[]
24,"TormentedCounterfeiterPossess","[7849,7880,7940,7942]","",[],[],[]
25,"TormentedWarlordPossess","[7852,7878,7940,7942]","",[],[],[]
26,"TormentedFreezerPossess","[7856,7880,7940,7942]","",[],[],[]
27,"TormentedSmugglerPossess","[7860,7858,7881,7940,7942]","",[],[],[]
