"rownum","rid","i32","[rid]"
0,99,1,[357]
1,384,1,[357]
2,100,1,[358]
3,385,1,[358]
4,101,1,[359]
5,386,1,[359]
6,96,1,"[363,364,365,366,367,368,369]"
7,381,1,"[363,364,365,366,367,368,369]"
8,97,1,[370]
9,382,1,[370]
10,95,1,[362]
11,380,1,[362]
12,102,1,[360]
13,387,1,[360]
14,103,1,[361]
15,388,1,[361]
16,105,1,[373]
17,390,1,[373]
18,209,2,[564]
19,494,2,[564]
20,210,2,[565]
21,495,2,[565]
22,213,2,[566]
23,498,2,[566]
24,218,2,[567]
25,503,2,[567]
26,225,2,[568]
27,510,2,[568]
28,231,2,[569]
29,516,2,[569]
30,238,2,[570]
31,523,2,[570]
32,248,2,[571]
33,533,2,[571]
34,256,2,[572]
35,541,2,[572]
36,201,2,[573]
37,486,2,[573]
