"rownum","string","string"
0,"Strength","Strength"
1,"Dexterity","Dexterity"
2,"ManaMultiplier","Mana Multiplier"
3,"CostMultiplier","Cost Multiplier"
4,"Intelligence","Intelligence"
5,"Slow","Slow"
6,"Ignite","Ignite"
7,"AdditionalReservation","Additional Reservation"
8,"Ammo","Ammo"
9,"Sacrifice","Sacrifice"
10,"Summon","Summon"
11,"Skeleton","Skeleton"
12,"Skeletal","Skeletal"
13,"Mana","Mana"
14,"Trigger","Trigger"
15,"Command","Command"
16,"Minion","Minion"
17,"Sticky","Sticky"
18,"Utility","Utility"
19,"Bomb","Bomb"
20,"Trade-off","Trade-off"
21,"Counter","Counter"
22,"Counterattack","Counterattack"
23,"Parry","Parry"
24,"Shield","Shield"
25,"Poise","Poise"
26,"Meta","Meta"
27,"ArcaneArcher","Arcane Archer"
28,"Reservation","Reservation"
29,"Banner","Banner"
30,"Block","Block"
31,"Defense","Defense"
32,"Defence","Defence"
