"rownum","Id","Name","TradeMarketCategory","ItemClassCategory","RemovedIfLeavesArea","[rid]","IdentifyAchievements","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","PickedUpQuest","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","CanUpgradeRarity","bool","InventoryDimensions","ItemClassFlags","Unmodfiable","CanBeFractured","EquipAchievement","UsableInMapDevice","bool"
0,"LifeFlask","Life Flasks",28,0,"",[],[],"","","","",4205,"",1,"","","","",1,"","","",1,"[1,2]",[4],"",1,"","",1
1,"ManaFlask","Mana Flasks",29,0,"",[],[],"","","","",4205,"",1,"","","","",1,"","","",1,"[1,2]",[4],"",1,"","",1
2,"DONOTUSE5","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
3,"Currency","Currency",39,6,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[7],"","","","",""
4,"Amulet","Amulets",21,7,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,"",1,1,1,"[1,1]",[6],"",1,"","",""
5,"Ring","Rings",22,8,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,"",1,1,1,"[1,1]",[6],"",1,"","",""
6,"Claw","Claws",4,9,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,0,1,1,1,"[2,2]","[1,2,0]","",1,"","",1
7,"Dagger","Daggers",5,3,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,1,1,1,1,"[1,3]","[1,2,0]","",1,"","",1
8,"Wand","Wands",6,10,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,2,1,1,1,"[1,3]",[1],"",1,"","",1
9,"One Hand Sword","One Hand Swords",7,2,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,3,1,1,1,"[2,3]","[1,2,0]","",1,"","",1
10,"DONOTUSE6","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
11,"One Hand Axe","One Hand Axes",9,11,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,3,1,1,1,"[2,3]","[1,2,0]","",1,"","",1
12,"One Hand Mace","One Hand Maces",10,1,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,3,1,1,1,"[2,3]","[1,2,0]","",1,"","",1
13,"Bow","Bows",13,12,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,4,1,1,1,"[2,4]",[0],"",1,"","",1
14,"Staff","Staves",14,4,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,5,1,1,1,"[2,4]",[],"",1,"","",1
15,"Two Hand Sword","Two Hand Swords",15,13,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,6,1,1,1,"[2,4]","[2,0]","",1,"","",1
16,"Two Hand Axe","Two Hand Axes",16,14,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,7,1,1,1,"[2,4]","[2,0]","",1,"","",1
17,"Two Hand Mace","Two Hand Maces",17,15,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,7,1,1,1,"[2,4]","[2,0]","",1,"","",1
18,"Active Skill Gem","Skill Gems",26,16,"",[],[],"",1,"","",4205,"",1,"","","","","","","","","","[1,1]",[],"","","","",""
19,"Support Skill Gem","Support Gems",27,17,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
20,"Quiver","Quivers",19,18,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,8,1,1,1,"[2,3]",[3],"",1,"","",""
21,"Belt","Belts",23,19,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,"",1,1,1,"[2,1]",[6],"",1,"","",""
22,"Gloves","Gloves",0,20,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,"",1,1,1,"[2,2]",[5],"",1,"","",1
23,"Boots","Boots",1,21,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,"",1,1,1,"[2,2]",[5],"",1,"","",1
24,"Body Armour","Body Armours",2,22,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,"",1,1,1,"[2,3]",[5],"",1,"","",1
25,"Helmet","Helmets",3,23,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,"",1,1,1,"[2,2]",[5],"",1,"","",1
26,"Shield","Shields",20,24,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,9,1,1,1,"[2,4]","[3,5]","",1,"","",1
27,"SmallRelic","Small Relics","","","",[],[],"","","","",4205,"","","","","","","","","","",1,[],[],"","","","",""
28,"MediumRelic","Medium Relics","","","",[],[],"","","","",4205,"","","","","","","","","","",1,[],[],"","","","",""
29,"LargeRelic","Large Relics","","","",[],[],"","","","",4205,"","","","","","","","","","",1,[],[],"","","","",""
30,"StackableCurrency","Stackable Currency",39,6,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[7],"","","","",""
31,"QuestItem","Quest Items","",25,"",[],[],"","","","",4205,1,"","","","","","","","","","",[],[],"","","","",""
32,"Sceptre","Sceptres",11,61,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,13,1,1,1,"[2,3]",[1],"",1,"","",1
33,"UtilityFlask","Charms",31,69,"",[],[],"","","","",4205,"",1,"","","","",1,"","","",1,"[1,2]",[4],"",1,8710,"",1
34,"DONOTUSE7","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
35,"Map","Waystones",34,26,"",[],[8711],"",1,"",1783,4205,"",1,"","","","","","",1,"",1,"[1,1]",[],"",1,"",1,""
36,"Unarmed","","",66,"",[],[],"","","","",4205,"","","","","","",1,"","","","",[],"[1,2]","","","","",""
37,"FishingRod","Fishing Rods","",27,"",[],[8711],"","","","",4205,"",1,1,"",1,1,1,6,1,1,1,"[2,3]",[],"",1,"","",1
38,"MapFragment","Map Fragments",37,28,"",[],[],1,1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","",1,""
39,"HideoutDoodad","Hideout Doodads","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
40,"Microtransaction","Microtransactions",53,"","",[],[],"","","","",4205,"","","","","","","","","","","","[2,2]",[],"","","","",""
41,"Jewel","Jewels",35,29,"",[],[8711],"",1,"",1776,4205,"",1,"","",1,"","","","","",1,"[1,1]",[],"",1,"","",""
42,"DivinationCard","Divination Cards",40,30,"",[],[],"",1,"",1777,4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
43,"DONOTUSE8","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
44,"DONOTUSE9","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
45,"DONOTUSE10","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
46,"MiscMapItem","Misc Map Items",38,33,"",[],[],"",1,"","",4205,"",1,"","","","","","","","","","[1,1]",[],"","","",1,""
47,"Leaguestone","Leaguestones",33,34,"",[],[],"",1,"","",4205,"","","","","","","","","","",1,"[1,1]",[],"","","","",""
48,"PantheonSoul","Pantheon Souls","",35,"",[],[],"","","","",4205,1,"","","","","","","","","","","[2,1]",[],"","","",1,""
49,"UniqueFragment","Pieces",41,36,"",[],[],1,1,"","",4205,"","","","","","","","","","",1,"[2,4]",[],"","","","",""
50,"AbyssJewel","Abyss Jewels",36,37,"",[],[8711],"",1,"","",4205,"",1,"","",1,"","","","","",1,"[1,1]",[],"",1,"","",""
51,"IncursionItem","Incursion Items","",38,1,[],[],1,"","","",4205,1,"","","","","","","","","","",[],[],"","","","",""
52,"DelveSocketableCurrency","Delve Socketable Currency",43,39,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[2,2]",[],"","","","",""
53,"Incubator","Incubators",45,40,"",[],[],"",1,"","",4205,"","","","","","","","","","",1,"[1,1]",[],"","","","",""
