"rownum","ItemClass","bool","bool","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32"
0,36,"","",3715,"",6352,6353,"","","","","","","","","","","","","","","","",19915,2819,"","",12
1,7,"","",9076,547,6300,6301,6326,6327,6338,6339,6312,6313,13272,13273,96,37,2912,2929,"","",492,89,77,9307,"",738,9
2,8,"","",2315,2371,6298,6299,402,403,404,405,400,401,"","",2372,41,2905,2922,107,458,497,93,81,"",406,734,9
3,9,"","",9078,2340,6304,6305,6330,6331,6344,6345,6318,6319,"","",602,40,2904,2921,"","",490,92,80,9305,"",728,9
4,11,"","",9073,2734,6306,6307,6332,6333,6346,6347,6320,6321,"","",601,34,2915,2932,"","",493,86,74,9304,"",735,9
5,12,"","",9077,2369,6308,6309,6334,6335,6348,6349,6322,6323,"","",647,38,2910,2927,"","",496,90,78,9306,1094,731,9
6,13,1,"",14874,548,2170,2171,2172,2173,6342,6343,6316,6317,13274,13275,603,39,2914,2931,105,457,491,91,79,"",2809,737,5
7,14,1,"","","","","","","","","","","","","","","","","","","","","","","","",739,6
8,15,1,"",9078,2340,6304,6305,6330,6331,6344,6345,6318,6319,"","",602,40,2904,2921,"","",490,92,80,9305,"",730,3
9,16,1,"",9073,2734,6306,6307,6332,6333,6346,6347,6320,6321,"","",601,34,2915,2932,"","",493,86,74,9304,"",736,1
10,17,1,"",9077,2369,6308,6309,6334,6335,6348,6349,6322,6323,"","",647,38,2910,2927,"","",496,90,78,9306,1094,732,1
11,20,"","","","","","","","","","","","","","","","","","","","","","","","","","",11
12,26,"","","","","","","","","","","","","","","","","","","","","","","","","",741,2
13,32,"","","","","","","","","","","","","","","","","","","","","","","","","",733,9
14,6,"","",9075,549,6302,6303,6328,6329,6340,6341,6314,6315,13270,13271,2735,36,2913,2930,"","",494,88,76,9308,"",740,7
15,37,1,"","","","","","","","","","","","","","","","","","","","","","","","","",12
16,57,1,"",9074,2370,6310,6311,6336,6337,6350,6351,6324,6325,"","",2736,35,2909,2926,106,456,495,87,75,9303,9280,739,6
17,77,"",1,12695,12699,12702,12703,12704,12705,12706,12707,12708,12709,"","",12700,"","","","","",12697,12696,12698,12701,"",1038,3
18,78,1,"",16620,16625,16627,16628,16629,16630,16631,16632,16633,16634,"","",16626,16636,"","","","",16623,16622,16624,"",16621,1039,4
19,79,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
20,83,"","",16400,16405,16408,16409,16410,16411,16412,16413,16414,16415,"","",16406,"","","","","",16403,16402,16404,16407,16401,"",8
21,92,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
22,96,1,"","","","","","","","","","","","","","","","","","","","","","","","","",12
23,99,"","","","","","","","","","","","","","","","","","","","","","","","","","",12
24,93,"","",9073,2734,6306,6307,6332,6333,6346,6347,6320,6321,"","",601,34,2915,2932,"","",493,86,74,9304,"",735,9
25,94,1,"",9073,2734,6306,6307,6332,6333,6346,6347,6320,6321,"","",601,34,2915,2932,"","",493,86,74,9304,"",736,1
