"rownum","string","string","string","string","string","[rid]"
0,"LabDefenceAisling1","Add a Veiled Mod to a Rare item","\r\n\r\n\r\n\r\nadd_veiled_mods 0</div></div>","","",[]
1,"LabDefenceAisling2","Add a Veiled Mod to a Rare item, with a low chance of adding a second Veiled Mod","\r\n\r\n\r\n\r\nadd_veiled_mods 5</div></div>","","",[]
2,"LabDefenceAisling3","Add a Veiled Modifier to a Rare item, with a chance of adding a second Veiled Modifier","\r\n\r\n\r\n\r\nadd_veiled_mods 15</div></div>","","",[]
3,"LabDefenceAisling4","Replace a random Modifier on a Rare item with a Veiled Modifier","\r\n\r\n\r\n\r\nreplace_mod_with_veiled_mod</div></div>","","",[]
4,"LabDefenceGravicius1","Swap a Divination Card with a new random one","\r\n\r\n\r\n\r\nswap_divination_card BetrayalDivCardSwap1</div></div>","","",[]
5,"LabDefenceGravicius2","Swap a Divination Card with a new random one","\r\n\r\n\r\n\r\nswap_divination_card BetrayalDivCardSwap2</div></div>","","",[]
6,"LabDefenceGravicius3","Swap a Divination Card with a new random one","\r\n\r\n\r\n\r\nswap_divination_card BetrayalDivCardSwap3</div></div>","","",[]
7,"LabDefenceGravicius4","Swap a Divination Card with a new random one","\r\n\r\n\r\n\r\nswap_divination_card BetrayalDivCardSwap3</div></div>","","",[]
8,"AssassinHillock1","Modify a Map's quality to 25%","\r\n\r\n\r\n\r\nset_quality map 25</div></div>","","",[]
9,"AssassinHillock2","Modify a Map's quality to 30%","\r\n\r\n\r\n\r\nset_quality map 30</div></div>","","",[]
10,"AssassinHillock3","Modify a Map's quality to 35%","\r\n\r\n\r\n\r\nset_quality map 35</div></div>","","",[]
11,"AssassinHillock4","Modify a Map's quality to 35%","\r\n\r\n\r\n\r\nset_quality map 35</div></div>","","",[]
12,"BaseDefenceHillock1","Modify an Armour Piece's quality to 24%","\r\n\r\n\r\n\r\nset_quality armour 24</div></div>","","",[]
13,"BaseDefenceHillock2","Modify an Armour Piece's quality to 26%","\r\n\r\n\r\n\r\nset_quality armour 26</div></div>","","",[]
14,"BaseDefenceHillock3","Modify an Armour Piece's quality to 28%","\r\n\r\n\r\n\r\nset_quality armour 28</div></div>","","",[]
15,"BaseDefenceHillock4","Modify an Armour Piece's quality to 30%","\r\n\r\n\r\n\r\nset_quality armour 30</div></div>","","",[]
16,"CartEscortHillock1","Modify a Weapon's quality to 24%","\r\n\r\n\r\n\r\nset_quality weapon 24</div></div>","","",[]
17,"CartEscortHillock2","Modify a Weapon's quality to 26%","\r\n\r\n\r\n\r\nset_quality weapon 26</div></div>","","",[]
18,"CartEscortHillock3","Modify a Weapon's quality to 28%","\r\n\r\n\r\n\r\nset_quality weapon 28</div></div>","","",[]
19,"CartEscortHillock4","Modify a Weapon's quality to 30%","\r\n\r\n\r\n\r\nset_quality weapon 30</div></div>","","",[]
20,"LabDefenceHillock1","Modify a Flask's quality to 22%","\r\n\r\n\r\n\r\nset_quality flask 22</div></div>","","",[]
21,"LabDefenceHillock2","Modify a Flask's quality to 24%","\r\n\r\n\r\n\r\nset_quality flask 24</div></div>","","",[]
22,"LabDefenceHillock3","Modify a Flask's quality to 26%","\r\n\r\n\r\n\r\nset_quality flask 26</div></div>","","",[]
23,"LabDefenceHillock4","Modify a Flask's quality to 28%","\r\n\r\n\r\n\r\nset_quality flask 28</div></div>","","",[]
24,"LabDefenceLeo1","","","Modify a Flask's quality to 22%","set_quality flask 22",[]
25,"LabDefenceLeo2","","","Modify a Flask's quality to 24%","set_quality flask 24",[]
26,"LabDefenceLeo3","","","Modify a Flask's quality to 26%","set_quality flask 26",[]
27,"LabDefenceLeo4","","","Modify a Flask's quality to 28%","set_quality flask 28",[]
28,"LabDefenceJorgin1","Transform a non-unique Amulet into a Tier 1 Talisman","transform_into_talisman 1","Transform a non-unique Amulet into a Tier 1 Talisman","transform_into_talisman 1",[8521]
29,"LabDefenceJorgin2","Transform a non-unique Amulet into a Tier 2 Talisman","transform_into_talisman 2","Transform a non-unique Amulet into a Tier 2 Talisman","transform_into_talisman 2",[8521]
30,"LabDefenceJorgin3","Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3","Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3",[8521]
31,"LabDefenceJorgin4","Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3","Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3",[8521]
32,"LabDefenceTora1","Add 20m experience to a Gem","add_gem_experience 20000000","Add 10m experience to a Gem","add_gem_experience 10000000",[]
33,"LabDefenceTora2","Add 70m experience to a Gem","add_gem_experience 70000000","Add 35m experience to a Gem","add_gem_experience 35000000",[]
34,"LabDefenceTora3","Add 200m experience to a Gem","add_gem_experience 200000000","Add 70m experience to a Gem","add_gem_experience 70000000",[]
35,"LabDefenceTora4","Add 200m experience to a Gem","add_gem_experience 200000000","Add 150m experience to a Gem","add_gem_experience 150000000",[]
36,"LabDefenceVorici1","Modify an item to have 1 White Socket","roll_white_sockets 0","Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 10 links",[]
37,"LabDefenceVorici2","Modify an item to have 1-2 White Sockets","roll_white_sockets 1","Reforge the links between sockets on an item 15 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 15 links",[]
38,"LabDefenceVorici3","Modify an item to have 1-3 White Sockets","roll_white_sockets 2","Reforge the links between sockets on an item 20 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 20 links",[]
39,"LabDefenceVorici4","Modify an item to have 1-6 White Sockets","roll_white_sockets 5","Reforge the links between sockets on an item 30 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 30 links",[]
40,"CartEscortVorici1","Reforge the colours of sockets on an item 50 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 50 colours","Reforge the colours of sockets on an item 10 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 10 colours",[]
41,"CartEscortVorici2","Reforge the number of sockets on an item 50 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 50 sockets","Reforge the colours of sockets on an item 20 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 20 colours",[]
42,"CartEscortVorici3","Reforge the links between sockets on an item 50 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 50 links","Reforge the colours of sockets on an item 30 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 30 colours",[]
43,"CartEscortVorici4","Reforge the links between sockets on an item 50 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 50 links","Reforge the colours of sockets on an item 40 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 40 colours",[]
44,"BaseDefenceVorici1","","","Reforge the number of sockets on an item 10 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 10 sockets",[]
45,"BaseDefenceVorici2","","","Reforge the number of sockets on an item 20 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 20 sockets",[]
46,"BaseDefenceVorici3","","","Reforge the number of sockets on an item 30 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 30 sockets",[]
47,"BaseDefenceVorici4","","","Reforge the number of sockets on an item 40 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 40 sockets",[]
48,"LabDefenceRin1","","","Modify a Map's quality to 22%","set_quality map 22",[]
49,"LabDefenceRin2","","","Modify a Map's quality to 24%","set_quality map 24",[]
50,"LabDefenceRin3","","","Modify a Map's quality to 26%","set_quality map 26",[]
51,"LabDefenceRin4","","","Modify a Map's quality to 28%","set_quality map 28",[]
