"rownum","Id","DGRFile","i32","i32","i32","[i32]"
0,"TwilightStrand4","Metadata/Terrain/Act1/Area1/Graphs/macro_beach4.tgr",105,70,100,[0]
1,"TwilightStrand5","Metadata/Terrain/Act1/Area1/Graphs/macro_beach5.tgr",105,70,100,[0]
2,"TwilightStrand6","Metadata/Terrain/Act1/Area1/Graphs/macro_beach6.tgr",105,70,100,[0]
3,"ShoreEncampTownNormal","Metadata/Terrain/Act1/Town/Graphs/beachtown.dgr",105,150,100,[0]
4,"Coast1_1_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_1_1.tgr",105,100,100,[0]
5,"Coast1_1_4","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_1_4.tgr",105,100,100,[0]
6,"Coast1_2_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_2_1.tgr",105,100,100,[0]
7,"Coast1_2_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_2_2.tgr",105,100,100,[0]
8,"Coast1_3_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_3_1.tgr",105,100,100,[0]
9,"Coast1_4_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_4_1.tgr",105,100,100,[0]
10,"Coast1_4_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_4_2.tgr",105,100,100,[0]
11,"Coast1_5_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_5_1.tgr",105,100,100,[0]
12,"Coast1_5_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_5_2.tgr",105,100,100,[0]
13,"Island1_1","Metadata/Terrain/Act1/Area2a/Graphs/island1_1.tgr",105,100,100,[0]
14,"Island1_2","Metadata/Terrain/Act1/Area2a/Graphs/island1_2.tgr",105,100,100,[0]
15,"Island1_3","Metadata/Terrain/Act1/Area2a/Graphs/island1_3.tgr",105,100,100,[0]
16,"Island1_4","Metadata/Terrain/Act1/Area2a/Graphs/island1_4.tgr",105,100,100,[0]
17,"Island1_5","Metadata/Terrain/Act1/Area2a/Graphs/island1_5.tgr",105,100,100,[0]
18,"Island2_1","Metadata/Terrain/Act1/Area2a/Graphs/island2_1.tgr",105,100,100,[0]
19,"Island2_2","Metadata/Terrain/Act1/Area2a/Graphs/island2_2.tgr",105,100,100,[0]
20,"Island2_3","Metadata/Terrain/Act1/Area2a/Graphs/island2_3.tgr",105,100,100,[0]
21,"Island3_1","Metadata/Terrain/Act1/Area2a/Graphs/island3_1.tgr",105,100,100,[0]
22,"Island3_2","Metadata/Terrain/Act1/Area2a/Graphs/island3_2.tgr",105,100,100,[0]
23,"Island3_3","Metadata/Terrain/Act1/Area2a/Graphs/island3_3.tgr",105,100,100,[0]
24,"Island3_4","Metadata/Terrain/Act1/Area2a/Graphs/island3_4.tgr",105,100,100,[0]
25,"Island4_1","Metadata/Terrain/Act1/Area2a/Graphs/island4_1.tgr",105,100,100,[0]
26,"Island4_2","Metadata/Terrain/Act1/Area2a/Graphs/island4_2.tgr",105,100,100,[0]
27,"Island4_3","Metadata/Terrain/Act1/Area2a/Graphs/island4_3.tgr",105,100,100,[0]
28,"MudFlats1_1","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_1.tgr",120,100,100,[0]
29,"MudFlats1_2","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_2.tgr",120,100,100,[0]
30,"MudFlats1_3","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_3.tgr",120,100,100,[0]
31,"MudFlats2_1","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp2_1.tgr",120,100,100,[0]
32,"MudFlats2_2","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp2_2.tgr",120,100,100,[0]
33,"MudFlats2_3","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp2_3.tgr",120,100,100,[0]
34,"MudFlats3_2","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp3_2.tgr",120,100,100,[0]
35,"MudFlatsA1","Metadata/Terrain/Act1/Area3a/Graphs/fetid_1.dgr",120,100,50,[0]
36,"MudFlatsA2","Metadata/Terrain/Act1/Area3a/Graphs/fetid_2.dgr",120,100,50,[0]
37,"MudFlatsA3","Metadata/Terrain/Act1/Area3a/Graphs/fetid_3.dgr",120,100,50,[0]
38,"MudFlatsA4","Metadata/Terrain/Act1/Area3a/Graphs/fetid_4.dgr",120,100,50,[0]
39,"FloodedDepths1","Metadata/Terrain/Act1/Area4Level0/Graphs/cavetest.dgr",105,30,50,[0]
40,"FloodedDepths2","Metadata/Terrain/Act1/Area4Level0/Graphs/cavetest2.dgr",105,30,50,[0]
41,"FloodedDepths3","Metadata/Terrain/Act1/Area4Level0/Graphs/cavetest3.dgr",105,30,50,[0]
42,"FloodedDepths4","Metadata/Terrain/Act1/Area4Level0/Graphs/cavetest4.dgr",105,30,50,[0]
43,"TidalPassage1_1","Metadata/Terrain/Act1/Area4Level1/Graphs/cave1_1.dgr",105,30,50,[0]
44,"TidalPassage1_2","Metadata/Terrain/Act1/Area4Level1/Graphs/cave1_2.dgr",105,30,50,[0]
45,"TidalPassage1_3","Metadata/Terrain/Act1/Area4Level1/Graphs/cave1_3.dgr",105,30,50,[0]
46,"TidalPassage1_4","Metadata/Terrain/Act1/Area4Level1/Graphs/cave1_4.dgr",105,30,50,[0]
47,"TidalPassage2_1","Metadata/Terrain/Act1/Area4Level1/Graphs/cave2_1.dgr",105,30,50,[0]
48,"TidalPassage2_2","Metadata/Terrain/Act1/Area4Level1/Graphs/cave2_2.dgr",105,30,50,[0]
49,"Ledge1_1","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge1_1.tgr",95,100,100,[0]
50,"Ledge1_2","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge1_2.tgr",95,100,100,[0]
51,"Ledge1_3","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge1_3.tgr",95,100,100,[0]
52,"Ledge1_4","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge1_4.tgr",95,100,100,[0]
53,"Ledge2_1","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge2_1.tgr",95,100,100,[0]
54,"Ledge2_2","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge2_2.tgr",95,100,100,[0]
55,"Ledge2_3","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge2_3.tgr",95,100,100,[0]
56,"Ledge2_4","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge2_4.tgr",95,100,100,[0]
57,"Ledge3_1","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge3_1.tgr",95,100,100,[0]
58,"Ledge3_2","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge3_2.tgr",95,100,100,[0]
59,"Ledge3_3","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge3_3.tgr",95,100,100,[0]
60,"Ledge3_4","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge3_4.tgr",95,100,100,[0]
61,"Ledge4_1","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge4_1.tgr",95,100,100,[0]
62,"Ledge4_2","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge4_2.tgr",95,100,100,[0]
63,"Ledge4_3","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge4_3.tgr",95,100,100,[0]
64,"Ledge4_4","Metadata/Terrain/Act1/Area5/Graphs/macro_ledge4_4.tgr",95,100,100,[0]
65,"RockyClimb1_1","Metadata/Terrain/Act1/Area6/Graphs/macro_climb1_1.tgr",120,100,100,[0]
66,"RockyClimb1_2","Metadata/Terrain/Act1/Area6/Graphs/macro_climb1_2.tgr",120,100,100,[0]
67,"RockyClimb1_3","Metadata/Terrain/Act1/Area6/Graphs/macro_climb1_3.tgr",120,100,100,[0]
68,"RockyClimb2_1","Metadata/Terrain/Act1/Area6/Graphs/macro_climb2_1.tgr",120,100,100,[0]
69,"RockyClimb2_2","Metadata/Terrain/Act1/Area6/Graphs/macro_climb2_2.tgr",120,100,100,[0]
70,"RockyClimb2_3","Metadata/Terrain/Act1/Area6/Graphs/macro_climb2_3.tgr",120,100,100,[0]
