"rownum","i32","i32","i32","i32","i32","i32","i32"
0,1,150,3,4,28,57,12
1,2,150,3,4,31,60,12
2,3,150,3,4,34,64,12
3,4,150,3,5,38,68,14
4,5,150,3,5,42,73,14
5,6,150,3,6,45,77,14
6,7,150,3,6,50,82,16
7,8,150,3,7,54,88,16
8,9,150,3,8,59,93,16
9,10,150,3,8,63,99,18
10,11,150,3,9,69,105,18
11,12,150,3,11,74,111,20
12,13,150,3,12,80,119,20
13,14,150,3,14,86,126,22
14,15,150,3,15,92,134,22
15,16,150,3,17,99,142,24
16,17,150,3,18,106,151,24
17,18,150,3,20,113,160,26
18,19,150,3,22,121,170,28
19,20,150,3,24,129,180,28
20,21,150,3,26,138,191,30
21,22,150,3,28,147,203,32
22,23,150,3,31,157,215,34
23,24,150,3,34,167,228,34
24,25,150,3,36,177,242,36
25,26,150,3,39,188,257,38
26,27,150,3,43,200,272,40
27,28,150,3,46,212,289,42
28,29,150,3,50,225,307,44
29,30,150,3,54,239,325,46
30,31,150,3,58,253,344,50
31,32,150,3,62,268,365,52
32,33,150,3,67,283,387,54
33,34,150,3,72,300,410,56
34,35,150,3,83,317,435,60
35,36,150,3,90,335,461,62
36,37,150,3,97,354,488,66
37,38,150,3,105,373,518,70
38,39,150,3,113,394,548,72
39,40,150,3,121,416,580,76
40,41,150,3,130,438,615,80
41,42,150,3,151,462,651,84
42,43,150,3,161,487,690,88
43,44,150,3,171,513,730,92
44,45,150,3,182,541,773,98
45,46,150,3,209,569,819,102
46,47,150,3,222,599,868,108
47,48,150,3,237,631,918,112
48,49,150,3,252,664,973,118
49,50,150,3,267,698,1029,124
50,51,150,3,295,734,1089,130
51,52,150,3,313,772,1153,136
52,53,150,3,333,811,1221,144
53,54,150,3,354,852,1291,150
54,55,150,3,376,895,1367,158
55,56,150,3,427,941,1447,166
56,57,150,3,452,988,1531,174
57,58,150,3,482,1037,1620,184
58,59,150,3,513,1088,1713,192
59,60,150,3,546,1142,1813,202
60,61,150,3,618,1199,1918,212
61,62,150,3,656,1257,2029,222
62,63,150,3,694,1319,2146,234
63,64,150,3,733,1383,2270,246
64,65,150,3,773,1450,2401,258
65,66,150,3,816,1520,2539,270
66,67,150,3,860,1594,2686,284
67,68,150,3,892,1670,2840,298
68,69,150,3,921,1785,3003,314
69,70,150,3,1055,1907,3175,328
70,71,150,3,1203,2036,3357,346
71,72,150,3,1365,2173,3550,362
72,73,150,3,1541,2318,3753,380
73,74,150,3,1748,2471,3967,400
74,75,150,3,1974,2633,4194,420
75,76,150,3,2221,2805,6081,440
76,77,150,3,2490,2987,8818,462
77,78,150,3,2770,3179,12786,486
78,79,150,3,3073,3382,18540,510
79,80,150,3,3400,3596,26882,536
80,81,150,3,3752,3823,38980,562
81,82,150,3,4131,4063,56520,590
82,83,150,3,4538,4316,81954,620
83,84,150,3,4976,4583,118834,650
84,85,150,3,5444,4864,172309,684
85,86,150,3,5967,5163,249848,718
86,87,150,3,6526,5163,249848,754
87,88,150,3,7126,5163,249848,790
88,89,150,3,7766,5163,249848,830
89,90,150,3,8450,5163,249848,872
90,91,150,3,9851,5163,249848,916
91,92,150,3,11380,5163,249848,962
92,93,150,3,13042,5163,249848,1010
93,94,150,3,14847,5163,249848,1060
94,95,150,3,16801,5163,249848,1112
95,96,150,3,18914,5163,249848,1168
96,97,150,3,21192,5163,249848,1226
97,98,150,3,23647,5163,249848,1288
98,99,150,3,26286,5163,249848,1352
99,100,150,3,29119,5163,249848,1420
