"rownum","Id","Name","Tier","MinLevel","RoomUpgrade_IncursionRoomsKey","Mods","PresentARMFile","HASH16","IncursionArchitectKey","PastARMFile","TSIFile","UIIcon","FlavourText","Description","AchievementItemsKeys","i32","i32","RoomUpgradeFrom_IncursionRoomsKey","ItemisedFlavourText","string","[rid]"
0,"EntranceRoom","Entrance",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/entrance_01.arm",51448,"","","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Entrance","The tomb unsealed, what will it yield?","",[],90,1464,"","","",[]
1,"Boss","Apex of Atzoatl",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/boss_main.arm",20539,"","","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossRoom","'Tis not the meek who reach the peak.","",[],90,464,"","","",[]
2,"TEMPLATE_BlankRoom","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/room_blank.arm",15188,"","Metadata/Terrain/Leagues/Incursion/Rooms/room_blank_past.arm","","","","",[],90,1464,"","","",[]
3,"TEMPLATE_LockedDoor1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_01_01.arm",33435,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_past_01_01.arm","","","","",[],90,1464,"","","",[]
4,"TEMPLATE_LockedDoor2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_02_01.arm",20548,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_past_02_01.arm","","","","",[],90,1464,"","","",[]
5,"TEMPLATE_OpenDoor1Trap1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap1.arm",17985,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1464,"","","",[]
6,"TEMPLATE_OpenDoor1Trap2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap2.arm",22436,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1464,"","","",[]
7,"TEMPLATE_OpenDoor1Trap3","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap3.arm",16661,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1464,"","","",[]
8,"TEMPLATE_OpenDoor1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_01.arm",42086,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1464,"","","",[]
9,"TEMPLATE_OpenDoor2Trap1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap1.arm",64909,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1464,"","","",[]
