"rownum","Item","Pack","Description"
0,11524,14,"Pack monsters are Harmless Frogs"
1,11525,16,"Pack monsters are Rats"
2,11526,485,"Pack monsters can drop Splinters of Xoph"
3,11527,486,"Pack monsters can drop Splinters of Tul"
4,11528,487,"Pack monsters can drop Splinters of Esh"
5,11529,488,"Pack monsters can drop Splinters of Uul'Netol"
6,11530,489,"Pack monsters can drop Splinters of Chayula"
7,11531,490,"Pack monsters reward Sulphite on death"
8,11532,491,"Pack Monsters can drop Karui Tattoos"
9,11533,492,"Pack Monsters can drop Karui Tattoos"
10,11534,493,"Pack Monsters can drop Karui Tattoos"
11,11535,494,"Pack Monsters can drop Karui Tattoos"
12,11536,495,"Pack Monsters can drop Karui Tattoos"
13,11537,496,"Pack Monsters can drop Karui Tattoos"
14,11538,497,"Pack Monsters can drop Karui Tattoos"
15,11539,498,"Pack Monsters can drop Karui Tattoos"
16,11540,499,"Pack Monsters can drop Karui Tattoos"
17,11541,500,"Pack Monsters can drop Karui Tattoos"
18,11542,501,"Pack monsters can drop Abyssal Jewels"
19,11543,502,"Pack monsters can drop Tainted Currency"
20,11544,503,"Pack monsters can drop Tainted Currency"
21,11545,504,"Pack monsters can drop Tainted Currency"
22,11546,505,"Gemling Pack Leader drops an additional Quality Gem"
23,11547,506,"Gemling Pack Leader drops an additional Quality Gem"
24,11548,507,"Gemling Pack Leader drops an additional Quality Gem"
25,11549,508,"Gemling Pack Leader drops an additional Quality Gem"
26,11550,509,"Gemling Pack Leader drops an additional Quality Gem"
27,11551,510,"Pack monsters can drop Broken Circle Artifacts"
28,11552,511,"Pack monsters can drop Order of the Chalice Artifacts"
29,11553,512,"Pack monsters can drop Black Scythe Artifacts"
30,11554,513,"Pack monsters can drop Knights of the Sun Artifacts"
31,11555,514,"Monster has greatly increased Life"
32,11556,515,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
33,11557,516,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
34,11558,517,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
35,11559,518,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
36,11560,519,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
37,11561,520,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
38,11562,521,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
39,11563,522,"Pack monsters can drop Omens"
40,11564,523,"Pack monsters can drop Omens"
41,11565,524,"Pack monsters can drop Omens"
42,11566,525,"Pack monsters can drop Timeless Karui Splinters "
43,11567,526,"Pack monsters can drop Timeless Eternal Empire Splinters "
44,11568,527,"Pack monsters can drop Timeless Maraketh Splinters "
45,11569,528,"Pack monsters can drop Timeless Templar Splinters "
46,11570,529,"Pack monsters can drop Timeless Vaal Splinters "
47,11591,530,"Pack monsters can drop Contracts and Rogue Markers\r\nPack monsters have a chance to leave corpses with a Special Craft"
48,11592,531,"Pack monsters can drop Shaper Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
49,11593,532,"Pack monsters can drop Elder Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
50,11594,536,"Pack monsters can drop Warlord Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
51,11595,534,"Pack monsters can drop Redeemer Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
52,11596,533,"Pack monsters can drop Crusader Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
53,11597,535,"Pack monsters can drop Hunter Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
54,11598,933,"Pack monsters can drop Omens\r\nPack monsters have a chance to leave corpses with a Special Craft"
55,11599,934,"Pack monsters can drop Expedition Artifacts\r\nPack monsters have a chance to leave corpses with a Special Craft"
56,11600,935,"Pack monsters can drop Abyssal Jewels\r\nPack monsters have a chance to leave corpses with a Special Craft"
57,11601,936,"Pack monsters have a chance to leave corpses with a Special Craft"
58,11602,945,"Pack monsters can drop Catalysts"
59,11603,946,"Pack monsters can drop Catalysts"
60,11604,937,"Pack monsters drop Currency Items"
61,11605,938,"Extra Monster drops items with +1 to number of Sockets\r\nExtra Monster drops fully Linked items"
62,11606,939,"Pack is composed of a Rogue Exile"
63,11607,940,"Pack monsters can drop Scarabs"
64,11608,941,"Pack monsters can drop Scarabs"
65,11609,942,"Pack monsters can drop Scarabs"
66,11610,943,"Pack monsters can drop Scarabs"
67,11611,944,"Pack monsters can drop Fractured Items"
68,11612,948,"Pack monsters have a chance to leave corpses with a Special Craft"
69,11613,947,"Pack monsters can drop Breach Splinters\r\nPack monsters have a chance to leave corpses with a Special Craft"
