"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32","bool"
0,1092,8361,"",12,1,5,""
1,1093,8214,"",14,1,5,""
2,1094,8228,"",5,6,10,""
3,1095,8227,"",2,6,10,""
4,1268,8273,"",11,1,5,""
5,1096,8351,"",15,1,5,""
6,1097,8353,"",0,1,5,""
7,1098,8212,"",8,1,5,""
8,1099,8218,"",0,1,5,""
9,1100,8219,"",2,1,5,""
10,1101,8222,"",3,1,5,""
11,1102,8359,"",0,6,10,""
12,1103,8345,"",3,1,5,""
13,1104,8316,"",3,1,5,""
14,1105,8288,"",0,1,5,""
15,1106,8309,"",10,6,10,""
16,1107,8233,"",0,1,5,""
17,1108,8282,"",11,6,10,""
18,1109,8232,"",10,1,5,""
19,1110,8255,"",4,6,10,""
20,1111,8209,"",13,1,5,""
21,1112,8356,"",8,6,10,""
22,1113,8352,"",4,1,5,""
23,1114,8357,"",12,11,15,""
24,1115,8248,"",3,1,5,""
25,1116,9957,"",3,0,0,""
26,1117,8287,"",7,6,10,""
27,1119,8221,"",11,1,5,""
28,1120,8304,"",13,6,10,""
29,1121,8317,"",0,1,5,""
30,1122,8303,"",16,11,15,""
31,1123,8241,"",0,11,15,""
32,1263,8292,"",0,1,5,""
33,1265,8286,"",0,1,5,""
34,1266,8313,"",11,1,5,""
35,1267,8308,"",0,1,5,""
36,1269,8237,"",8,1,5,""
37,1270,8245,"",7,1,5,""
38,1124,8355,"",0,6,10,""
39,1125,8350,"",10,1,5,""
40,1126,8342,"",9,1,5,""
41,1127,8311,"",14,1,5,""
42,1128,12704,"",14,0,0,1
43,1129,8220,"",7,1,5,""
44,1130,8223,"",9,6,10,""
45,1131,8250,"",5,6,10,""
46,1132,8298,"",0,6,10,""
47,1133,8239,"",9,6,10,""
48,1134,8263,"",0,1,5,""
49,1135,8343,"",4,1,5,""
50,1136,8349,"",5,1,5,""
51,1137,8213,"",8,1,5,""
52,1138,8229,"",0,11,15,""
53,1139,8225,"",15,6,10,""
54,1140,8249,"",0,1,5,""
55,1141,8251,"",0,1,5,""
56,1142,8257,"",13,1,5,""
57,1143,8265,"",5,1,5,""
