"rownum","Id","Description","SetId","Objective","i32","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string"
0,"KillExiles","Slay the Rogue Exiles",1,"Hostile rogue exiles roam Wraeclast in the Anarchy league. Slay all 13 to complete this challenge. Everyone in the area will receive credit for the kill.",9678,"","","",0,1,"","","","","",""
1,"FindUniques","Own these Unique Items",1,"Own 90 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Anarchy and Onslaught leagues are counted for this challenge.",62912,"","","",0,1,"","","","","",""
2,"UseCurrency","Use these Currency Items",1,"Use the following 23 currency items in either Anarchy or Onslaught.",64847,"","","",0,1,"","","","","",""
3,"60AllClasses","Reach Level 60 in Onslaught",1,"Attain character level 60 with each class in the Onslaught league. This challenge still counts even if a character dies after reaching level 60.",3360,"","","",0,1,"","","","","",""
4,"AllRecipes","Items from Vendor Recipes",1,"Complete vendor recipes in either Anarchy or Onslaught to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",7250,"","","",0,1,"","","","","",""
5,"AllMaps","Use each Map",1,"This challenge tracks which Maps are used by you in the Map Device in either Anarchy or Onslaught. It does not count Maps that you join, just ones you create.",22458,"","","",0,1,"","","","","",""
6,"ClearAllDifficulties","Full-clear in any Difficulty",1,"Kill all the monsters in every area of the game in Anarchy or Onslaught. You can complete this in any difficulty level. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",16538,"","","",0,1,"","","","","",""
7,"NotablesKeystones","Allocate these Passives",1,"Allocate this list of Passive Skills in either Anarchy or Onslaught. They will still count even if refunded by Orbs of Regret or quest rewards and can be spread across multiple characters. Skills that have been allocated are marked on the Passive Skill Tree with a small green tick.",54125,1,"","",0,1,"","","","","",""
8,"KillRareEachType","Kill Rare Monsters",3,"Kill a Rare Monster of each of these types in Domination or Nemesis.",34861,"","","",0,1,"","","","","",""
9,"TagShrines","Touch these Shrines",3,"Touch each of these shrines in the Domination league to gain their powers.",58589,1,"","",0,1,"","","","","",""
10,"KillNemesisMonsters","Slay the Nemeses",3,"Kill Rare monsters with each of these Nemesis Mods.",15972,1,"","",0,1,"","","","","",""
11,"65AllClasses","Reach level 65",3,"Attain character level 65 with each class in the Domination or Nemesis leagues. This challenge still counts even if a character dies after reaching level 65.",48805,"","","",0,1,"","","","","",""
12,"FindUniquesDominationNemesis","Own these Unique Items",3,"Own 65 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Domination and Nemesis leagues are counted for this challenge.",9221,1,"","",0,1,"","","","","",""
13,"KillUniqueBosses","Kill these Unique Bosses",3,"Kill each of the following Unique bosses.",23159,"","","",0,1,"","","","","",""
14,"UseCurrencyDominationNemesis","Use these Currency Items",3,"Use the following 23 currency items in either Domination or Nemesis.",17420,"","","",0,1,"","","","","",""
15,"RecipesDominationNemesis","Items from Vendor Recipes",3,"Complete vendor recipes in either Domination or Nemesis to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",34658,"","","",0,1,"","","","","",""
16,"FinishNormal","Challenger",2,"Complete the Labyrinth in a non-Hardcore league.",17209,"",1,"",0,1,"","98",1,"","","32"
17,"FinishCruel","Leader",2,"Complete the Cruel Labyrinth in a non-Hardcore league.",54772,"",1,"",0,1,"","99",1,"","",""
18,"FinishMerciless","Lord",2,"Complete the Merciless Labyrinth in a non-Hardcore league.",48471,"",1,"",0,1,"","100",1,"","",""
