"rownum","Event","i32","i32","i32","[i32]","[i32]","i32"
0,"Summoned",-1,500,100,[],[],2000
1,"Dismissed",-1,0,100,[],[],2000
2,"PlayerDied",-1,1000,100,[],[],0
3,"EnterHideout",-1,1000,100,[],[],0
4,"Idle",0,0,5,[],[],180000
5,"KillRareMonster",1,500,5,[],[],180000
6,"KillUniqueMonster",1,500,100,[],[],90000
7,"DropUniqueItem",2,200,100,[],[],1000
8,"DropMap",1,200,100,[],[35],1000
9,"DropDivCard",1,200,100,[],[42],1000
10,"DropChromatic",0,200,100,[19],[],1000
11,"DropGlassblowers",0,200,100,[17],[],1000
12,"DropJewellers",0,200,100,[21],[],1000
13,"DropChance",0,200,100,[7],[],1000
14,"DropFusing",0,200,100,[20],[],1000
15,"DropScouring",0,200,100,[12],[],1000
16,"DropAlchemy",0,200,100,[6],[],1000
17,"DropChisel",0,200,100,[25],[],1000
18,"DropRegret",0,200,100,[8],[],1000
19,"DropChaos",1,200,100,[2],[],1000
20,"DropRegal",1,200,100,[14],[],1000
21,"DropGemcutters",0,200,100,[18],[],1000
22,"DropBlessed",1,200,100,[23],[],1000
23,"DropDivine",3,200,100,[22],[],1000
24,"DropExalted",2,200,100,[13],[],1000
25,"DropEternal",3,200,100,[31],[],1000
26,"DropAnnulment",1,200,100,[203],[],1000
27,"DropMirror",-1,200,100,[5],[],1000
28,"DropLegionMarakethEmblem",4,200,100,[7474],[],1000
29,"DropLegionTemplarEmblem",4,200,100,[7476],[],1000
30,"EnterTown",-1,1000,100,[],[],0
31,"LevelUp",0,200,100,[],[],1000
