"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,10741,9539,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,10742,9540,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,10743,9541,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,10744,9542,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,10745,9543,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,10746,9544,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,10747,9545,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,10748,9546,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,10749,9547,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,10750,9548,"Reforms after being killed",2
10,10751,9549,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,10752,9550,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,10753,9628,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,10754,9629,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,10755,9630,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby allies have +10 Fortification",5
15,10756,9638,"Cyclones\r\nLacerates\r\nRains down blades",2
16,10757,9639,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect",2
17,10758,9640,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect\r\nImpales of nearby allies last one additional hit",2
18,10759,9569,"Throws Physical Projectiles",1
19,10760,9570,"Throws Physical Projectiles\r\n100% increased Impale Effect",1
20,10761,9571,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect",1
21,10762,9551,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive",0
22,10763,9552,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit",0
23,10764,9553,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies",0
24,10765,9578,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier",1
25,10766,9579,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier",1
26,10767,9580,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry",1
27,10768,9563,"Cyclones\r\nCleaves",1
28,10769,9564,"Cyclones\r\nCleaves\r\nMaims on hit",1
29,10770,9565,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim",1
30,10771,9607,"",3
31,10772,9608,"",3
32,10773,9609,"",3
33,10774,9560,"Vomits Blood\r\nApplies Corrupting Blood",1
