"rownum","BaseItemTypesKey","ArmourMin","ArmourMax","EvasionMin","EvasionMax","EnergyShieldMin","EnergyShieldMax","IncreasedMovementSpeed","WardMin","WardMax","i32","i32"
0,5487,9,12,0,0,0,0,-3,0,0,0,0
1,5488,36,47,0,0,0,0,-3,0,0,0,0
2,5489,53,66,0,0,0,0,-3,0,0,0,0
3,5490,94,113,0,0,0,0,-3,0,0,0,0
4,5491,151,173,0,0,0,0,-3,0,0,0,0
5,5492,237,260,0,0,0,0,-3,0,0,0,0
6,5493,188,216,0,0,0,0,-3,0,0,0,0
7,5494,177,209,0,0,0,0,-3,0,0,0,0
8,5495,230,265,0,0,0,0,-3,0,0,0,0
9,5496,290,324,0,0,0,0,-3,0,0,0,0
10,5497,397,437,0,0,0,0,-3,0,0,0,0
11,5498,293,337,0,0,0,0,-3,0,0,0,0
12,5499,261,308,0,0,0,0,-3,0,0,0,0
13,5500,357,411,0,0,0,0,-3,0,0,0,0
14,5501,412,474,0,0,0,0,-3,0,0,0,0
15,5502,522,601,0,0,0,0,-3,0,0,0,0
16,5503,467,537,0,0,0,0,-3,0,0,0,0
17,5504,87,100,0,0,0,0,-3,0,0,0,0
18,5505,144,165,0,0,0,0,-3,0,0,0,0
19,5506,220,253,0,0,0,0,-3,0,0,0,0
20,5507,0,0,14,20,0,0,-3,0,0,0,0
21,5508,0,0,51,66,0,0,-3,0,0,0,0
22,5509,0,0,123,154,0,0,-3,0,0,0,0
23,5510,0,0,116,139,0,0,-3,0,0,0,0
24,5511,0,0,169,194,0,0,-3,0,0,0,0
25,5512,0,0,225,259,0,0,-3,0,0,0,0
26,5513,0,0,220,259,0,0,-3,0,0,0,0
27,5514,0,0,311,349,0,0,-3,0,0,0,0
28,5515,0,0,227,272,0,0,-3,0,0,0,0
29,5516,0,0,287,330,0,0,-3,0,0,0,0
30,5517,0,0,354,407,0,0,-3,0,0,0,0
31,5518,0,0,327,385,0,0,-3,0,0,0,0
32,5519,0,0,477,549,0,0,-3,0,0,0,0
33,5520,0,0,330,379,0,0,-3,0,0,0,0
34,5521,0,0,385,442,0,0,-3,0,0,0,0
35,5522,0,0,440,506,0,0,-3,0,0,0,0
36,5523,0,0,75,86,0,0,-3,0,0,0,0
37,5524,0,0,123,142,0,0,-3,0,0,0,0
38,5525,0,0,206,237,0,0,-3,0,0,0,0
39,5526,0,0,0,0,6,8,-3,0,0,0,0
40,5527,0,0,0,0,11,14,-3,0,0,0,0
41,5528,0,0,0,0,15,19,-3,0,0,0,0
42,5529,0,0,0,0,21,25,-3,0,0,0,0
43,5530,0,0,0,0,25,29,-3,0,0,0,0
44,5531,0,0,0,0,35,40,-3,0,0,0,0
45,5532,0,0,0,0,32,38,-3,0,0,0,0
46,5533,0,0,0,0,35,40,-3,0,0,0,0
47,5534,0,0,0,0,38,45,-3,0,0,0,0
48,5535,0,0,0,0,42,48,-3,0,0,0,0
49,5536,0,0,0,0,54,62,-3,0,0,0,0
50,5537,0,0,0,0,47,55,-3,0,0,0,0
51,5538,0,0,0,0,49,55,-3,0,0,0,0
52,5539,0,0,0,0,56,64,-3,0,0,0,0
53,5540,0,0,0,0,58,66,-3,0,0,0,0
54,5541,0,0,0,0,67,77,-3,0,0,0,0
55,5542,0,0,0,0,16,19,-3,0,0,0,0
56,5543,0,0,0,0,25,29,-3,0,0,0,0
57,5544,0,0,0,0,39,45,-3,0,0,0,0
58,5545,13,18,13,18,0,0,-3,0,0,0,0
59,5546,29,37,29,37,0,0,-3,0,0,0,0
60,5547,46,58,46,58,0,0,-3,0,0,0,0
61,5548,87,100,87,100,0,0,-3,0,0,0,0
62,5549,75,86,75,86,0,0,-3,0,0,0,0
63,5550,88,99,88,99,0,0,-3,0,0,0,0
64,5551,102,120,102,120,0,0,-3,0,0,0,0
65,5552,155,178,155,178,0,0,-3,0,0,0,0
66,5553,122,140,122,140,0,0,-3,0,0,0,0
67,5554,131,146,131,146,0,0,-3,0,0,0,0
68,5555,154,177,154,177,0,0,-3,0,0,0,0
69,5556,209,240,209,240,0,0,-3,0,0,0,0
70,5557,148,170,148,170,0,0,-3,0,0,0,0
