"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,9585
1,0,2,9586
2,0,3,9587
3,0,4,9588
4,1,1,9573
5,1,2,9574
6,1,3,9575
7,1,4,9576
8,2,1,9577
9,2,2,9578
10,2,3,9579
11,2,4,9580
12,3,1,9581
13,3,2,9582
14,3,3,9583
15,3,4,9584
16,4,1,9593
17,4,2,9594
18,4,3,9595
19,4,4,9596
20,5,1,9597
21,5,2,9598
22,5,3,9599
23,5,4,9600
24,6,1,9605
25,6,2,9606
26,6,3,9607
27,6,4,9608
28,7,1,9609
29,7,2,9610
30,7,3,9611
31,7,4,9612
32,8,1,9613
33,8,2,9614
34,8,3,9615
35,8,4,9616
36,9,1,9617
37,9,2,9618
38,9,3,9619
39,9,4,9620
40,10,1,9621
41,10,2,9622
42,10,3,9623
43,10,4,9624
44,11,1,9625
45,11,2,9626
46,11,3,9627
47,11,4,9628
48,12,1,9629
49,12,2,9630
50,12,3,9631
51,12,4,9632
52,13,1,9601
53,13,2,9602
54,13,3,9603
55,13,4,9604
56,14,1,9633
57,14,2,9634
58,14,3,9635
59,14,4,9636
60,15,1,9637
61,15,2,9638
62,15,3,9639
63,15,4,9640
