"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9360,111,"Essence Item",52571,[]
1,9361,131,"Currency Item",52259,[]
2,9362,151,"Unique Item",18701,[]
3,9363,121,"Map Item",22038,[]
4,9364,251,"Unique Map Item",6696,[]
5,9365,301,"Rare Abyss Item",41772,[]
6,9366,301,"Fragment Item",60390,[]
7,9367,301,"Scarab Item",32186,[]
8,9368,151,"Essence Item",23218,[]
9,9369,301,"Fossil Item",19642,[]
10,9370,221,"Expedition Item",40101,[]
11,9371,151,"Stacked Decks",34745,[]
12,9372,151,"Talisman Item",43064,[]
13,9373,161,"Labyrinth Item",19352,[]
14,9374,1001,"6-Linked Armour Item",6078,[]
15,9375,141,"Currency Item",14134,[]
16,9376,1501,"League-specific Unique Item",4526,[]
17,9377,501,"Shaper or Elder Armour Item",61377,[]
18,9378,501,"Shaper or Elder Weapon Item",53204,[]
19,9379,701,"Shaper or Elder Trinket Item",61894,[]
20,9380,501,"Elder Map Item",39336,[]
21,9381,351,"Breach Item",43164,[]
22,9382,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9383,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9384,301,"Item",31223,[]
25,9385,121,"Quality Gem",16288,[]
26,9386,151,"Bestiary Item",28161,[]
27,9387,221,"Blight Item",19373,[]
28,9388,221,"Ultimatum Item",62324,[]
29,9389,431,"Delirium Item",23535,[]
30,9390,111,"Essence Item",46750,[]
31,9391,131,"Currency Item",54300,[]
32,9392,151,"Unique Item",59184,[]
33,9393,121,"Map Item",43361,[]
34,9394,251,"Unique Map Item",37492,[]
35,9395,301,"Rare Abyss Item",2531,[]
36,9396,301,"Fragment Item",4173,[]
37,9397,301,"Scarab Item",25303,[]
38,9398,151,"Essence Item",31454,[]
39,9399,301,"Fossil Item",51101,[]
40,9400,221,"Expedition Item",41074,[]
41,9401,151,"Stacked Decks",47490,[]
42,9402,151,"Talisman Item",23793,[]
43,9403,161,"Labyrinth Item",42868,[]
44,9404,1001,"6-Linked Armour Item",12755,[]
45,9405,141,"Currency Item",30048,[]
46,9406,1501,"League-specific Unique Item",32094,[]
47,9407,501,"Shaper or Elder Armour Item",38195,[]
48,9408,501,"Shaper or Elder Weapon Item",28068,[]
49,9409,701,"Shaper or Elder Trinket Item",52048,[]
50,9410,501,"Elder Map Item",56725,[]
51,9411,351,"Breach Item",39939,[]
52,9412,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9413,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9414,301,"Item",55071,[]
55,9415,121,"Quality Gem",43471,[]
56,9416,151,"Bestiary Item",58563,[]
57,9417,221,"Blight Item",24651,[]
58,9418,221,"Ultimatum Item",65346,[]
59,9419,431,"Delirium Item",12740,[]
