"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]","i32","i32","i32"
0,74,"","","","","","","","","","","","",1892,3175,"","",3175,"","","","","",-1010710615,1,47,"[12593,12609]",0,1,700,1880,"","","",1892,3175,"",3175,3175,3175,3175,1892,1880,1892,1892,1892,1892,1880,1880,1880,1880,1880,1880,1880,12446,35,3175,3691,3691,3691,3175,"","","[12601,12609]",1905,1,100
1,75,"","","","","","","","","","","","",1893,3176,"","",3176,"","","","","",1794042691,12,67,"[12594,12609]",0,2,770,1881,"","","",1893,3176,"",3176,3176,3176,3176,1893,1881,1893,1893,1893,1893,1881,1881,1881,1881,1881,1881,1881,12447,45,3176,3692,3692,3692,3176,"","","[12602,12609]",1905,12,100
2,76,"","","","","","","","","","","","",1895,3177,"","",3177,"","","","","",-1926556014,30,100,"[12595,12609]",0,3,847,1883,"","","",1895,3177,"",3177,3177,3177,3177,1895,1883,1895,1895,1895,1895,1883,1883,1883,1883,1883,1883,1883,12448,60,3177,3693,3693,3693,3177,"","","[12603,12609]",1905,30,100
3,77,"","","","","","","","","","","","",1897,3178,"","",3178,"","","","","",1130285480,48,100,"[12596,12609]",0,4,931,1885,"","","",1897,3178,"",3178,3178,3178,3178,1897,1885,1897,1897,1897,1897,1885,1885,1885,1885,1885,1885,1885,12449,75,3178,3694,3694,3694,3178,"","","[12604,12609]",841,48,100
4,78,"","","","","","","","","","","","",1899,3180,"","",3180,"","","","","",2062300730,68,100,"[12597,12609]",0,5,1024,1887,"","","",1899,3180,"",3180,3180,3180,3180,1899,1887,1899,1899,1899,1899,1887,1887,1887,1887,1887,1887,1887,12450,0,3180,3695,3695,3695,3180,"",1,"[12605,12609]",56,68,100
5,79,"","","","","","","","","","","","",1900,3181,"","",3181,"","","","","",-2071586625,0,0,"[12598,12609]",0,6,0,1888,"","","",1900,3181,"",3181,3181,3181,3181,1900,1888,1900,1900,1900,1900,1888,1888,1888,1888,1888,1888,1888,12451,0,3181,3696,3696,3696,3181,"","","[12606,12609]",0,0,0
6,80,"","","","","","","","","","","","",1912,3182,"","",3182,"","","","","",1769493148,0,0,"[12599,12609]",0,7,0,1890,"","","",1912,3182,"",3182,3182,3182,3182,1912,1890,1912,1912,1912,1912,1890,1890,1890,1890,1890,1890,1890,12452,0,3182,3697,3697,3697,3182,"","","[12607,12609]",0,0,0
7,81,"","","","","","","","","","","","","",13605,2001,648,648,"","","","","",-777397213,1,47,[12593],1,1,700,"","",2346,2358,"",732,"",732,732,732,732,2358,2346,2358,2358,2358,2358,2346,2346,2346,2346,2346,2346,2346,12538,35,648,2001,648,"",732,"","",[12601],1905,1,100
8,82,"","","","","","","","","","","","","",13606,2002,649,649,"","","","","",1672586153,12,67,[12594],1,2,770,"","",2347,2359,"",733,"",733,733,733,733,2359,2347,2359,2359,2359,2359,2347,2347,2347,2347,2347,2347,2347,12539,45,649,2002,649,"",733,"","",[12602],1905,12,100
9,83,"","","","","","","","","","","","","",13611,2003,652,652,"","","","","",1828846209,30,100,[12595],1,3,847,"","",2348,2360,"",735,"",735,735,735,735,2360,2348,2360,2360,2360,2360,2348,2348,2348,2348,2348,2348,2348,12540,60,652,2003,652,"",735,"","",[12603],1905,30,100
