"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","BinaryStats","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]","string","[rid]","bool"
0,"ignited","You're on fire","","","Ignited",[8065],"",13,"","","",1,30,2,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8065],[14538],"","","","","","",[],"",[],""
1,"chilled","You are slowed","","","Chilled",[8401],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[8401],[14539],"","",1,1,"","",[],"",[],1
2,"frozen","Frozen solid","","","Frozen",[12420],1,13,"","","",1,30,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","",4,"","",0,[],"","",[],"",[],[],[12420],"[14540,1996]","","","",1,"","",[],"",[],""
3,"shocked","You take up to 50% increased Damage","","","Shocked",[16483],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[16483],[14541],"","",1,1,"","",[],"",[],1
4,"sprinting","Increased movement velocity","",1,"Faster Run",[177],1,2,"","","","",30,7,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[],""
5,"flask_effect_life","",1,"","Healing",[7686],1,5,"","","","",30,0,1,"",4,"",1,1,1,0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[7686],[],"","","","","","",[],"",[],""
6,"grace_period","You can't be damaged","",1,"Grace Period","[140,859,1302,8152,2968,6818,6817]",1,2,"","","","",30,8,1,"",17,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[140,859,1302,8152,2968,6818,6817]",[],"","","","","","",[],"",[],""
7,"god_mode","You cannot be damaged","",1,"Invulnerability",[140],1,3,"","","","",30,9,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[140],[],"","","","","","",[],"",[],""
8,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[157],1,2,"","","","",30,10,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[157],[],"","","","","","",[],"",[],""
9,"flask_effect_mana","",1,"","Regenerating Mana",[7687],1,5,"","","","",15,0,1,"",4,"",1,1,1,0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[7687],[],"","","","","","",[],"",[],""
10,"poison","You take chaos damage","","","Poisoned",[8066],1,1,1,"","",1,30,11,"",1,2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[8066],[14542],"",1,"","","","",[],"",[],""
