"rownum","BaseItemType","i32","i32"
0,4733,30,105
1,4732,160,105
2,4632,150,131
3,4616,0,0
4,4735,30,105
5,4734,160,105
6,4653,150,131
7,4662,160,105
8,4572,15,3
9,4571,95,62
10,4573,200,0
11,4570,5,0
12,4737,160,131
13,4689,30,105
14,4688,160,105
15,4627,150,131
16,4726,210,234
17,4738,180,234
18,4722,150,131
19,4692,120,131
20,4650,250,131
21,4657,0,160
22,4656,0,160
23,4713,160,105
24,4693,120,131
25,4597,175,131
26,4652,200,131
27,4680,30,105
28,4683,160,105
29,4682,60,211
30,4743,0,0
31,4566,15,62
32,4565,25,62
33,4569,1100,235
34,4567,550,338
35,4562,65,62
36,4561,45,62
37,4651,450,340
38,4568,550,340
39,4613,0,0
40,4622,180,131
41,4584,0,0
42,4583,0,0
43,4582,0,0
44,4581,0,0
45,4580,0,0
46,4661,160,105
47,4644,150,131
48,4668,0,160
49,4621,150,131
50,4663,150,0
51,4736,160,0
52,4619,180,131
53,4620,100,131
54,4631,80,62
55,4699,320,211
56,4654,150,131
57,4605,80,62
58,4728,0,0
59,4729,0,0
60,4727,0,0
61,4715,30,105
62,4642,0,0
63,4687,160,0
64,4628,0,0
65,4716,160,105
66,4717,30,105
67,4658,30,105
68,4704,0,0
69,4618,150,131
70,4625,0,0
71,4624,0,0
72,4578,0,0
73,4577,0,0
74,4576,0,0
75,4575,0,0
76,4574,0,0
77,4667,0,0
78,4742,30,105
79,4681,30,105
80,4684,160,105
81,4669,160,105
82,4665,30,105
83,4703,0,0
84,4718,160,105
85,4719,30,105
86,4666,1,160
87,4676,0,0
88,4645,160,131
89,4617,120,131
90,4679,0,0
91,4660,0,0
92,4694,120,131
93,4646,190,235
94,4707,160,0
95,4695,160,235
96,4686,160,0
97,4593,0,0
98,4633,0,0
99,4635,0,0
100,4634,0,0
101,4637,0,0
102,4636,0,0
103,4590,0,0
104,4647,0,0
105,4629,220,235
106,4559,50,62
107,4558,20,62
108,4560,0,0
109,4557,45,62
110,4556,15,62
111,4555,55,62
112,4554,25,62
113,4588,250,235
114,4606,150,131
115,4596,250,131
116,4705,0,0
117,4708,0,0
118,4609,45,131
119,4649,55,131
120,4608,55,131
121,4670,160,105
122,4664,30,105
123,4702,0,0
124,4585,150,131
125,4700,30,105
126,4698,160,105
127,4675,0,0
128,4674,0,0
129,4673,0,0
130,4672,0,0
131,4671,0,0
132,4610,0,0
133,4721,150,235
134,4710,0,0
135,4709,350,0
136,4655,0,0
137,4623,120,131
138,4592,0,0
139,4751,0,0
140,4587,0,0
141,4659,30,105
142,4730,90,131
143,4739,160,105
144,4731,0,0
145,4714,160,105
146,4678,150,131
147,4595,25,3
148,4594,120,131
149,4741,160,105
150,4740,30,105
151,4745,0,0
152,4746,0,0
153,4615,100,44
154,4630,0,0
155,4677,260,338
156,4586,150,131
157,4599,80,62
158,4712,30,105
159,4641,180,235
160,4598,120,131
161,4611,120,0
162,4697,160,105
163,4701,30,105
164,4696,160,131
165,4639,190,235
166,4591,150,131
167,4643,30,62
168,4685,160,131
169,4589,250,235
170,4553,330,235
171,4552,550,340
172,4551,85,62
173,4626,250,131
174,4614,0,0
175,4691,30,105
