"rownum","rid","i32","BK2File","SoundFile","bool","BK2File2","bool","rid","f32"
0,37,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2","Audio/Sound Effects/Misc/CorruptionBreak/Break.ogg","","","","",1
1,2,0,"","",1,"Art/Videos/CurrencyEffect_ChaosOrb.bk2","",18421,1.75
2,4995,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
3,4996,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
4,4997,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
5,4998,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
6,4999,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
7,5000,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
8,5001,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
9,5002,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
10,5003,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
11,5004,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
12,5005,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
