"rownum","rid","bool","bool","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32"
0,36,"","",3698,"",6340,6341,"","","","","","","","","","","","","","","","",19956,2795,"","",11
1,7,"","",9070,545,6288,6289,6314,6315,6326,6327,6300,6301,13279,13280,96,37,2889,2906,"","",492,89,77,9303,"",738,9
2,8,"","",2284,2341,6286,6287,402,403,404,405,400,401,"","",2342,41,2882,2899,107,458,497,93,81,"",406,734,9
3,9,"","",9072,2309,6292,6293,6318,6319,6332,6333,6306,6307,"","",600,40,2881,2898,"","",490,92,80,9301,"",728,9
4,11,"","",9067,2709,6294,6295,6320,6321,6334,6335,6308,6309,"","",599,34,2892,2909,"","",493,86,74,9300,"",735,9
5,12,"","",9071,2339,6296,6297,6322,6323,6336,6337,6310,6311,"","",643,38,2887,2904,"","",496,90,78,9302,1059,731,9
6,13,1,"",14893,546,2139,2140,2141,2142,6330,6331,6304,6305,13281,13282,601,39,2891,2908,105,457,491,91,79,"",2785,737,5
7,14,1,"","","","","","","","","","","","","","","","","","","","","","","","",739,6
8,15,1,"",9072,2309,6292,6293,6318,6319,6332,6333,6306,6307,"","",600,40,2881,2898,"","",490,92,80,9301,"",730,3
9,16,1,"",9067,2709,6294,6295,6320,6321,6334,6335,6308,6309,"","",599,34,2892,2909,"","",493,86,74,9300,"",736,1
10,17,1,"",9071,2339,6296,6297,6322,6323,6336,6337,6310,6311,"","",643,38,2887,2904,"","",496,90,78,9302,1059,732,1
11,20,"","","","","","","","","","","","","","","","","","","","","","","","","","",11
12,26,"","","","","","","","","","","","","","","","","","","","","","","","","",741,2
13,32,"","","","","","","","","","","","","","","","","","","","","","","","","",733,9
14,6,"","",9069,547,6290,6291,6316,6317,6328,6329,6302,6303,13277,13278,2710,36,2890,2907,"","",494,88,76,9304,"",740,7
15,37,1,"","","","","","","","","","","","","","","","","","","","","","","","","",11
16,57,1,"",9068,2340,6298,6299,6324,6325,6338,6339,6312,6313,"","",2711,35,2886,2903,106,456,495,87,75,9299,9276,739,6
17,77,"",1,12700,12704,12707,12708,12709,12710,12711,12712,12713,12714,"","",12705,"","","","","",12702,12701,12703,12706,"",1038,3
18,78,1,"",16640,16645,16647,16648,16649,16650,16651,16652,16653,16654,"","",16646,16656,"","","","",16643,16642,16644,"",16641,1039,4
19,79,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
20,83,"","",16419,16424,16427,16428,16429,16430,16431,16432,16433,16434,"","",16425,"","","","","",16422,16421,16423,16426,16420,"",8
21,92,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
22,96,1,"","","","","","","","","","","","","","","","","","","","","","","","","",11
23,99,"","","","","","","","","","","","","","","","","","","","","","","","","","",11
