"rownum","Id","rid","Name","rid","i32","bool","i32","i32","bool","string"
0,1,710,"Weapon Skin",2,0,"",0,0,1,"Weapon Skin"
1,2,711,"Weapon Effect",2,0,"",0,0,1,"Weapon Effect"
2,3,713,"Weapon Added Effect",2,0,"",0,24,"","Weapon Added Effect"
3,4,710,"Weapon Skin",3,0,"",0,1,1,"Offhand Weapon Skin"
4,5,711,"Weapon Effect",3,0,"",0,1,1,"Offhand Weapon Effect"
5,6,713,"Weapon Added Effect",3,0,"",0,24,"","Offhand Weapon Added Effect"
6,7,704,"Helmet Skin",4,0,"",0,8,"","Helmet Skin"
7,8,706,"Helmet Attachment",4,0,"",0,18,"","Helmet Attachment"
8,9,704,"Body Armour Skin",1,0,"",0,6,"","Body Armour Skin"
9,10,705,"Back Attachment",1,0,"",0,7,"","Back Attachment"
10,11,704,"Gloves Skin",8,0,"",0,9,"","Gloves Skin"
11,12,704,"Boots Skin",9,0,"",0,10,"","Boots Skin"
12,13,709,"Footprints",9,0,"",0,17,"","Footprints"
13,14,78,"Apparition",5,0,"",0,24,"","Apparition"
14,15,714,"Character Effect",10,0,"",0,16,"","Character Effect"
15,16,82,"Portrait","",0,"",0,24,"","Portrait"
16,17,81,"Social Frame","",0,"",0,24,"","Social Frame"
17,18,33,"Pet","",0,"",0,24,"","Pet"
18,19,33,"Pet","",0,"",0,24,"","Pet"
19,20,32,"Portal","",0,"",0,24,"","Portal"
20,21,706,"Helmet Attachment",4,0,"",0,19,"","Helmet Attachment"
21,22,59,"HUD","",0,"",0,24,"","HUD"
22,23,723,"Cursor","",0,"",0,24,"","Cursor"
23,24,707,"Belt Skin",10,0,"",0,14,"","Belt Skin"
24,25,718,"Amulet Skin",5,0,"",0,15,"","Amulet Skin"
25,26,719,"Flask Skin",11,0,"",0,24,1,"Flask Skin"
26,27,719,"Flask Skin",11,1,"",0,24,1,"Flask Skin"
27,28,719,"Flask Skin",11,2,"",0,24,1,"Flask Skin"
28,29,719,"Flask Skin",11,3,"",0,24,1,"Flask Skin"
29,30,719,"Flask Skin",11,4,"",0,24,1,"Flask Skin"
30,31,717,"Ring Skin",6,0,"",0,12,"","Ring Skin"
31,32,717,"Ring Skin",7,0,"",0,13,"","Ring Skin"
32,33,708,"Hip Attachment",10,0,"",0,20,"","Hip Attachment"
33,34,716,"Alternate Charge Skin","",0,"",0,24,"","Alternate Charge Skin"
34,35,715,"Extra Effect","",0,"",0,24,"","Extra Effect"
35,36,710,"Weapon Skin",14,0,"",0,2,1,"Weapon 2 Skin"
36,37,711,"Weapon Effect",14,0,"",0,2,1,"Weapon 2 Effect"
37,38,713,"Weapon Added Effect",14,0,"",0,24,"","Weapon 2 Added Effect"
38,39,710,"Weapon Skin",15,0,"",0,3,1,"Offhand Weapon 2 Skin"
39,40,711,"Weapon Effect",15,0,"",0,3,1,"Offhand Weapon 2 Effect"
40,41,713,"Weapon Added Effect",15,0,"",0,24,"","Offhand Weapon 2 Added Effect"
41,42,710,"Weapon Skin",79,0,"",0,4,1,"Weapon 3 Skin"
42,43,711,"Weapon Effect",79,0,"",0,4,1,"Weapon 3 Effect"
43,44,713,"Weapon Added Effect",79,0,"",0,24,"","Weapon 3 Added Effect"
44,45,710,"Weapon Skin",80,0,"",0,5,1,"Offhand Weapon 3 Skin"
45,46,711,"Weapon Effect",80,0,"",0,5,1,"Offhand Weapon 3 Effect"
46,47,713,"Weapon Added Effect",80,0,"",0,24,"","Offhand Weapon 3 Added Effect"
47,48,60,"Passive Jewel Skin",23,0,1,0,24,"","Passive Jewel Skin"
48,49,10,"Skill Gem Effect","",0,1,0,24,"","Skill Gem Effect"
