"rownum","rid","rid","rid","rid"
0,31,6866,805,8336
1,31,16014,1878,8336
2,30,15686,1829,8337
3,30,6866,806,8337
4,30,11384,1340,8337
5,30,16014,1880,8337
6,32,15596,1826,8338
7,32,6866,804,8338
8,32,3114,483,8338
9,32,16014,1879,8338
10,32,16454,1914,8338
11,31,16456,1913,8336
12,30,16455,1915,8337
13,31,17512,1965,8336
14,32,17513,1966,8338
15,30,17514,1967,8337
16,30,17515,1968,8337
17,32,20105,2208,""
18,30,20106,2209,""
19,31,20107,2210,""
20,32,20309,2232,""
21,30,20308,2231,""
22,31,20307,2230,""
