"rownum","Id","BetrayalRanksKey","MonsterVarietiesKey","BetrayalJobsKey","Art","bool","ItemClasses","FullName","Safehouse_ARMFile","ShortName","i32","SafehouseLeader_AcheivementItemsKey","Level3_AchievementItemsKey","i32","i32","i32","rid","ScriptArgument"
0,"Catarina","","","","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Catarina","","","Catarina, Master of Undeath","","Catarina",0,"","",536,536,536,"",""
1,"Haku",0,"",0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Haku","",16,"Haku, Warmaster","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_haku.arm","Haku",0,"","",537,554,571,7682,"VeiledRareHaku"
2,"Elreon",2,"",4,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Elreon",1,17,"Elreon, Light's Judge","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_elreon.arm","Elreon",0,"","",538,555,572,7683,"VeiledRareElreon"
3,"Tora",2,"",1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Tora",1,13,"Tora, the Culler","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_tora.arm","Tora",0,"","",539,556,573,7684,"VeiledRareTora"
4,"Vagan",2,"",2,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Vagan",1,9,"Vagan, Victory's Herald","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_vagan.arm","Vagan",0,"","",540,557,574,7685,"VeiledRareVagan"
5,"Vorici",2,"",3,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Vorici",1,7,"Vorici, Silent Brother","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_vorici.arm","Vorici",0,"","",541,558,575,7686,"VeiledRareVorici"
6,"Hillock",0,"",0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Hillock","",12,"Hillock, the Blacksmith","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_hillock.arm","Hillock",0,"","",542,559,576,7687,"VeiledRareHillock"
7,"Leo",1,"",1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Leo","",9,"Leo, Wolf of the Pits","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_leo.arm","Leo",0,"","",543,560,577,7688,"VeiledRareLeo"
8,"Guff",1,"",1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Grenn","",9,"Guff \""Tiny\"" Grenn","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_guff.arm","Guff",0,"","",544,561,578,7689,"VeiledRareBrinerot"
9,"Janus",1,"",4,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Janus","",36,"Janus Perandus","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_janus.arm","Janus",0,"","",545,562,579,7690,"VeiledRareJanus"
10,"ItThatFled","","","","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Breach","",36,"It That Fled","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_it_that_fled.arm","It That Fled",0,"","",546,563,580,7691,"VeiledRareFled"
11,"Gravicius","","","","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Gravicius","",32,"Gravicius Reborn","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_gravicius.arm","Gravicius",30,"","",547,564,581,7692,"VeiledRareGravicius"
12,"Jorgin",1,"",2,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Thane","",36,"Thane Jorgin the Banished ","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_jorgin.arm","Jorgin",0,"","",548,565,582,7693,"VeiledRareJorgin"
13,"Korell",1,"",2,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Keema","",9,"Korell Goya, Son of Stone","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_keema.arm","Korell",0,"","",549,566,583,7694,"VeiledRareKeema"
14,"Rin","","","","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Rin","",13,"Rin Yuushu","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_rin.arm","Rin",68,"","",550,567,584,7695,"VeiledRareRin"
15,"Cameria",0,"",0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Cameria","",12,"Cameria the Coldblooded","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_cameria.arm","Cameria",0,"","",551,568,585,7696,"VeiledRareCameria"
16,"Aisling",1,"",3,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Aislin","",7,"Aisling Laffrey, The Silent Butcher","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_aisling.arm","Aisling",0,"","",552,569,586,7697,"VeiledRareAisling"
17,"Riker",0,"",0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Riker","",13,"Riker Maloney, Midnight Tinkerer","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_riker.arm","Riker",0,"","",553,570,587,7698,"VeiledRareRiker"
