"rownum","rid","rid","i32","bool","bool","bool","bool","bool"
0,15600,29,1,"",1,"",1,""
1,15604,30,1,"",1,"",1,""
2,15605,30,1,"",1,"",1,""
3,16204,35,0,1,1,1,1,""
4,17052,38,0,1,"","","",""
5,17249,37,0,1,"","","",""
6,17322,39,0,"","","","",""
7,17814,48,0,1,"","","",""
8,17862,50,0,"",1,"",1,""
9,18909,83,2,"","","",1,""
10,19370,93,0,"","","","",""
11,19777,96,0,"",1,"",1,""
12,19789,97,0,"",1,"",1,""
13,20109,99,0,"","","","",""
14,20131,100,0,1,"",1,"",""
15,20290,87,0,"",1,"",1,""
16,20969,113,0,1,1,1,"",""
17,21057,114,0,1,1,1,"",""
18,20351,109,0,"","","","",""
