"rownum","Id","Text","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]","i32","[rid]","bool","[rid]","bool"
0,"LifeTop","Life",[237],0,[],[],17,"",[],0,[],"",[],""
1,"LifeUnreservedTop","Unreserved Life",[10058],0,[3980],[],17,1,[],0,[],"",[],""
2,"LifeRecoveryTop","Recovery per Second",[1376],0,[],[],17,"",[2],0,[],"",[],""
3,"ManaTop","Mana",[238],0,[],[],20,"",[],0,[],"",[],""
4,"ManaUnreservedTop","Unreserved Mana",[10059],0,[2808],[],20,1,[],0,[],"",[],""
5,"ManaRecoveryTop","Recovery per Second",[1377],0,[],[],20,"",[2],0,[],"",[],""
6,"EnergyShieldTop","Energy Shield",[239],0,[],[],18,"",[],0,[],"",[],""
7,"EnergyShieldRecoveryTop","Recovery per Second",[1378],0,[],[],18,"",[2],0,[],"",[],""
8,"EnergyShieldRechargeTop","Recharge per Second",[242],0,[],[],18,"",[2],0,[],"",[],""
9,"SpiritTop","Spirit",[16442],0,[],[],19,"",[],0,[],"",[],""
10,"ArmourEstimatedPhysDamageReductionTopBig","Armour",[699],1,[],[],21,"",[],0,[],"",[],""
11,"ArmourTop","Armour",[233],0,[],[],21,"",[],0,[],"",[],""
12,"ArmourVsProjectilesTop","Armour against Projectiles",[1033],0,[4988],[],21,"",[],0,[],"",[],""
13,"ArmourAdditionalPhysReductionTop","Additional Physical Damage Reduction",[433],1,[],[],21,1,[],0,[],"",[],""
14,"ArmourEstimateReductionTop","Estimated Physical Damage Reduction",[699],1,[],[],21,"",[],0,[],"",[],""
15,"EstimatePhysReductionVsProjTop","Estimated Physical Damage reduction against Projectiles",[1038],1,[4988],[],21,"",[],0,[],"",[],""
16,"EstimateReductionVsHitsTop","Estimated Physical Damage reduction against Hits",[6922],1,[6921],[],21,"",[],0,[],"",[],""
17,"Evasion","Evasion Rating",[274],0,[],[],22,1,[],0,[],"",[],""
18,"EvasionTop","Evasion",[659],1,[],[],22,"",[],0,[],"",[],""
