"rownum","Id","bool","bool","bool","Mainhand_AnimationKey","Offhand_AnimationKey","bool","rid","row","bool","row","[i32]"
0,"Idle",1,"","","","","","","","","",[]
1,"Melee","","","","",3,"","","","","",[2]
2,"MeleeWithStep","","","","","","","","","","",[]
3,"OffMelee","","","",1,"","","","","","",[]
4,"Run",1,"",1,"","","",15759,"","","",[]
5,"TakeHit","","","","","","","","","","",[]
6,"Death",1,"","","","","","","","","",[]
7,"Stomp","","","","","","","","","","",[]
8,"Impale","","","","","","","","","","",[]
9,"Cleave","","","","","","","","","","",[]
10,"Charge",1,"","","","","","",125,"",11,[12]
11,"ChargeEnd","","","","","","","","","","",[]
12,"ChargeEndAlt","","","",11,"","","","","","",[]
13,"GroundSlam","",1,"","",118,"","","","","",[]
14,"LeapSlam","",1,"","",119,"","","","","","[15,0,203]"
15,"LeapSlamNear","","","",14,"","","","","","",[]
16,"DoubleStrike","","","","",120,"","","","","",[]
17,"DoubleSlash","","","","","","","","","","",[]
18,"DoubleSlashOffhand","","","",19,"","","","","","",[]
19,"DoubleSlashMainhand","","","","",18,"","","","","",[]
20,"Sweep","","","","","","","","","","",[]
21,"SpellProjectile","","","",23,"","",15465,"","","",[]
22,"SpellProjectileUpward","","","",21,"","","","","","",[]
23,"SpellAreaOfEffect","","","","","","","","","","",[]
24,"SpellBuff","","","","","","","","","","",[]
25,"SpellProjectileFire","","","",21,"","","","","","",[]
26,"SpellProjectileCold","","","",21,"","","","","","",[]
27,"SpellProjectileLightning","","","",21,"","","","","","",[]
28,"SpellProjectileChaos","","","",21,"","","","","","",[]
29,"SpellProjectileUpwardFire","","","",22,"","","","","","",[]
30,"SpellProjectileUpwardCold","","","",22,"","","","","","",[]
31,"SpellProjectileUpwardLightning","","","",22,"","","","","","",[]
32,"SpellProjectileUpwardChaos","","","",22,"","","","","","",[]
33,"SpellAreaOfEffectFire","","","",25,"","","","","","",[]
34,"SpellAreaOfEffectCold","","","",26,"","","","","","",[]
35,"SpellAreaOfEffectLightning","","","",27,"","","","","","",[]
36,"SpellAreaOfEffectChaos","","","",28,"","","","","","",[]
37,"SpellNova","","","",23,"","","","","","",[]
38,"SpellNovaFire","","","",33,"","","","","","",[]
39,"SpellNovaCold","","","",34,"","","","","","",[]
40,"SpellNovaLightning","","","",35,"","","","","","",[]
41,"SpellNovaChaos","","","",36,"","","","","","",[]
42,"SpellBuffFire","","","","","","","","","","",[]
43,"SpellBuffCold","","","","","","","","","","",[]
44,"SpellBuffLightning","","","","","","","","","","",[]
45,"SpellBuffChaos","","","","","","","","","","",[]
46,"Throw","","","","",113,"","","","","",[]
47,"Flurry","",1,"","","","","","","","",[]
48,"LayTrap","","","","","","","","","","",[]
49,"LayTotem","","","",48,"","","","","","",[]
50,"LayBallista","","","",48,"",1,"","","","",[]
51,"Emerge","","","","","","","","","","",[]
52,"DualStrike","","","","","","","","","","",[]
53,"Snipe","","","","","","","","","","",[]
54,"SnipeChannel",1,"","",83,"","","","","",55,[461]
55,"SnipeChannelEnd","","","",106,"","","","","","",[]
56,"Block","","","","","","","","","","",[]
57,"GlacialHammer","","","","",58,"","","","","",[]
58,"OffGlacialHammer","","","",57,"","","","","","",[]
59,"Emerge2","","","","","","","","","","",[]
60,"Emerge3","","","","","","","","","","",[]
61,"HeavyStrike","","","","",62,"","","","","",[]
62,"OffHeavyStrike","","","",61,"","","","","","",[]
63,"RainOfArrows","","","","","","","","","","",[]
64,"RainOfArrowsAdditive","","","","","",1,"","","","",[]
65,"BlastRain","","","","","","","","","","",[]
66,"CloneShot","","","","","","","","","","",[]
67,"Backstab","","","","",68,"","","","","",[]
68,"OffBackstab","","","",67,"","","","","","",[]
69,"Frenzy","","","","",70,"","","","","",[]
70,"OffFrenzy","","","",69,"","","","","","",[]
71,"PowerShot","","","","",72,"","","","","",[]
72,"OffPowerShot","","","",71,"","","","","","",[]
73,"Taunt","","","","","","","","","","",[]
74,"ChangeToStance1","","","","","","","","","","",[]
75,"ChangeToStance2","","","","","","","","","","",[]
76,"ChangeToStance3","","","","","","","","","","",[]
77,"Revive","","","","","","","","","","",[]
78,"ShadowProjectiles","","","","","","","","","","",[]
79,"HookOut","",1,"","","","","","","","",[]
80,"HookIn","",1,"","","","","","","","",[]
81,"HookInNear","",1,"","","","","","","","",[]
82,"Dance",1,"","","","","","","","","",[]
83,"Channel",1,1,"","","","","",268,1,"",[]
84,"AttackChannel",1,1,"","","","","","",1,"",[]
85,"Cyclone",1,1,"","","","","","","","",[]
86,"Hide","",1,"","","","","","","","",[]
87,"Hide2","",1,"","","","","","","","",[]
88,"Hide3","",1,"","","","","","","","",[]
89,"BarrageStart","",1,"","","","","","","","",[]
90,"BarrageFireMain","","","","",91,"","","","","",[]
91,"BarrageFireOff","","","",90,"","","","","","",[]
92,"BarrageActivate","","","","","",1,"","","","",[]
93,"BarrageActivateMoving","","","",92,"",1,"","","","",[]
94,"LongOpen",1,"","","","","","","","","",[]
95,"Submerge","",1,"","","","","","","","",[]
96,"Puncture","","","","",97,"","","","","",[]
97,"OffPuncture","","","",96,"","","","","","",[]
98,"DodgeLeft","",1,"","","","","","","","",[]
99,"DodgeRight","",1,"","","","","","","","",[]
100,"DodgeForward","",1,"","","","","","","","",[]
101,"DodgeBack","",1,"","","","","","","","",[]
