"rownum","string","[rid]","rid","[rid]","rid","i32","[rid]"
0,"fully_broken_armour_consumed_for_active_skill_hit_or_stun_damage","[18432,18463]",2245,"[18899,17918]","",0,[]
1,"fully_broken_armour_consumed_for_support_damage",[18278],2245,[18899],"",0,[]
2,"fully_broken_armour_consumed_to_guarantee_crit",[18279],2245,[340],"",0,[]
3,"fully_broken_armour_generic",[20473],2245,[],"",0,[]
4,"freeze_consumed_generic",[18895],2,[],"",0,[]
5,"freeze_consumed_to_guarantee_crit",[18853],2,[340],"",0,[]
6,"freeze_consumed_for_active_skill_hit_damage",[18566],2,[19373],"",0,[]
7,"freeze_consumed_for_active_skill_hit_damage_from_support",[20752],2,[20753],"",0,[]
8,"shock_consumed_generic",[18900],3,[],"",0,[]
9,"shock_consumed_for_active_skill_damage_per_5percent_shock_effect",[15812],3,[18901],15810,1045220557,[]
10,"ignite_consumed_by_elemental_discharge",[18866],0,[],"",0,[]
11,"freeze_consumed_by_elemental_discharge",[18866],2,[],"",0,[]
12,"shock_consumed_by_elemental_discharge",[18866],3,[],"",0,[]
13,"dazed_consumed_for_guarantee_crit",[19827],2443,[340],"",0,[19832]
14,"dazed_consumed_for_stun_buildup",[19828],2443,[19829],"",0,[19832]
