"rownum","GrantedEffect","Stats","StatsValuesPermille","AddTypes","AddMinionTypes","[i32]"
0,5224,[20070],[1000],[],[],[]
1,33,[18425],[200],[],[],[]
2,281,[19079],[300],[],[],[]
3,46,[18778],[500],[],[],[]
4,200,[19057],[200],[],[],[]
5,274,[1193],[200],[],[],[]
6,276,[6424],[2000],[],[],[]
7,277,[6424],[2000],[],[],[]
8,163,[392],[1500],[],[],[]
9,188,[1878],[500],[],[],[]
10,177,[581],[1000],[],[],[]
11,278,[209],[1000],[],[],[]
12,158,[1878],[750],[],[],[]
13,32,[18778],[1000],[],[],[]
14,27,[20009],[1000],[],[],[]
15,101,[7379],[1000],[],[],[]
16,74,[166],[150],[],[],[]
17,5222,[18645],[-15000],[],[],[]
18,53,[7483],[250],[],[],[]
19,5225,[1174],[1000],[],[],[]
20,72,[20008],[200],[],[],[]
21,43,[3417],[500],[],[],[]
22,73,[19759],[1000],[],[],[]
23,62,[1174],[500],[],[],[]
24,55,[1348],[500],[],[],[]
25,56,[1348],[500],[],[],[]
26,57,[1348],[500],[],[],[]
27,39,[1348],[500],[],[],[]
28,199,[20010],[50000],[],[],[]
29,37,[3219],[1000],[],[],[]
30,5223,[19476],[500],[],[],"[0,2]"
31,120,[19696],[1000],[],[],[]
32,189,[555],[10000],[],[],[]
33,45,[17749],[100],[],[],[]
34,58,[17749],[200],[],[],[]
35,76,[18960],[5000],[],[],[]
36,83,[13318],[-500],[],[],[]
37,287,[349],[200000],[],[],[]
38,40,[1348],[500],[],[],[]
39,78,[349],[50000],[],[],[]
40,80,[2036],[750],[],[],[]
41,5208,[19015],[200],[],[],[]
42,286,[18175],[2500],[],[],[]
43,31,[1060],[1000],[],[],[]
44,268,[17749],[1200],[],[],[]
45,285,[1174],[500],[],[],[]
46,30,[17749],[200],[],[],[]
47,42,[1348],[500],[],[],[]
48,36,[13318],[-250],[],[],[]
49,312,[19019],[1000],[],[],[]
50,89,[17749],[100],[],[],[]
51,81,[20065],[1000],[],[],[]
52,314,[9240],[2500],[],[],[]
53,64,[621],[2000],[],[],[]
54,85,[9432],[1000],[],[],[]
55,103,[626],[1000],[],[],[]
56,82,[634],[1000],[],[],[]
57,87,[634],[1500],[],[],[]
58,313,[349],[50000],[],[],[]
59,48,[768],[50],[],[],[]
60,160,[18453],[4000],[],[],[]
61,288,[9613],[1000],[],[],[]
62,291,[17749],[200],[],[],[]
63,289,[194],[1500],[],[],[]
64,96,[95],[2500],[],[],[]
65,300,[18755],[500],[],[],[]
66,63,[20526],[-750],[],[],[]
67,5216,[18425],[150],[],[],[]
68,294,[349],[300000],[],[],[]
69,41,[11725],[750],[],[],[]
