"rownum","InfluencePack","MonsterPacks","rid","[rid]","i32","i32","i32","i32","[rid]","i32","i32","rid","i32","i32","i32","i32","bool","bool","bool","bool"
0,0,"[1815,1816,1817,1818]","",[],0,0,72,0,[],0,0,17314,20,20,15,15,"","","",""
1,1,"[1815,1816,1817,1818]","",[],0,0,72,0,[],0,0,17314,30,30,20,20,"","","",""
2,2,"[1815,1816,1817,1818]","",[],0,0,72,0,[],0,0,17314,40,40,25,25,"","","",""
3,3,"[1819,1820,1821,1822,1823]","",[],0,0,72,0,[],0,0,17314,20,20,15,15,"","","",""
4,4,"[1819,1820,1821,1822,1823]","",[],0,0,72,0,[],0,0,17314,30,30,20,20,"","","",""
5,5,"[1819,1820,1821,1822,1823]","",[],0,0,72,0,[],0,0,17314,40,40,25,25,"","","",""
6,6,"[1824,1825,1826,1827,1828]","",[],0,0,72,0,[],0,0,17314,20,20,15,15,"","","",""
7,7,"[1824,1825,1826,1827,1828]","",[],0,0,72,0,[],0,0,17314,30,30,20,20,"","","",""
8,8,"[1824,1825,1826,1827,1828]","",[],0,0,72,0,[],0,0,17314,40,40,25,25,"","","",""
9,9,"[1829,1830,1831]","",[],0,0,72,0,[],0,0,17314,20,20,15,15,"","","",""
10,10,"[1829,1830,1831]","",[],0,0,72,0,[],0,0,17314,30,30,20,20,"","","",""
11,11,"[1829,1830,1831]","",[],0,0,72,0,[],0,0,17314,40,40,25,25,"","","",""
12,12,[1832],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
13,13,[1833],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
14,14,[1834],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
15,15,[1835],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
16,16,[],"",[10797],0,0,72,0,[15],0,0,"",0,0,0,0,"","","",""
17,17,[1836],"",[],0,0,72,0,[],0,0,"",6,6,6,6,"","","",""
18,18,[1837],"",[],0,0,72,0,[],0,0,"",4,4,4,4,"","","",""
19,19,[1838],"",[],0,0,72,0,[],0,0,"",6,6,6,6,"","","",""
20,20,[],1447,[],5,0,956,0,[],0,0,"",0,0,0,0,"","","",""
21,21,[],1448,[],7,0,976,0,[],0,0,"",0,0,0,0,"","","",""
22,22,[],1449,[],4,0,1004,0,[],0,0,"",0,0,0,0,"","","",""
23,23,[],1450,[],5,0,1020,0,[],0,0,"",0,0,0,0,"","","",""
24,25,[],"",[],0,0,72,0,[],70,100,16123,3,3,3,3,1,"","",""
25,26,[],"",[],0,0,72,0,[],70,100,16123,3,3,3,3,1,"","",""
26,27,[],"",[],0,0,72,0,[],0,0,16123,8,18,8,18,1,"","",""
27,28,[],"",[],0,0,72,0,[],0,0,16123,10,23,10,20,1,"","",""
28,29,[],"",[],0,0,72,0,[],0,0,16123,12,28,12,22,1,"","",""
29,30,[],"",[],0,0,72,0,[],0,0,16123,14,32,14,24,1,"","",""
30,31,[],"",[],0,0,72,0,[],0,0,16123,16,36,16,26,1,"","",""
31,32,[],"",[],0,0,72,0,[],0,0,16123,18,48,18,28,1,"","",""
32,33,[],"",[],0,0,72,0,[],0,0,16123,20,60,20,30,1,"","",""
33,34,[],"",[],0,0,72,0,[],0,0,16123,20,60,20,30,1,"","",""
34,35,[],"",[],0,0,72,0,[],70,100,16124,3,3,3,3,1,"","",""
35,36,[],"",[],0,0,72,0,[],70,100,16124,3,3,3,3,1,"","",""
36,37,[],"",[],0,0,72,0,[],0,0,16124,8,18,8,18,1,"","",""
37,38,[],"",[],0,0,72,0,[],0,0,16124,10,23,10,20,1,"","",""
38,39,[],"",[],0,0,72,0,[],0,0,16124,12,28,12,22,1,"","",""
39,40,[],"",[],0,0,72,0,[],0,0,16124,14,32,14,24,1,"","",""
40,41,[],"",[],0,0,72,0,[],0,0,16124,16,36,16,26,1,"","",""
41,42,[],"",[],0,0,72,0,[],0,0,16124,18,48,18,28,1,"","",""
42,43,[],"",[],0,0,72,0,[],0,0,16124,20,60,20,30,1,"","",""
43,44,[],"",[],0,0,72,0,[],0,0,16124,20,60,20,30,1,"","",""
