"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTier","bool","Radius","Name","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32","Description","MonsterSpawners","bool","Achievements","TextAudio","UniqueMapMod"
0,"ChaosCloudDaemon1",[0],[],[],23,"","",0,"Choking Miasma","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",40225,[],0,5259,[],1,0,"A cloud that deals Chaos Damage over Time will follow you",[],"",[7824],11217,31584
1,"ChaosCloudDaemon2","[0,22]",[],[],24,0,"",0,"Choking Miasma II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",54213,[],0,5259,[],2,0,"A large cloud that deals Chaos Damage over Time will follow you",[],"",[7824],11223,31584
2,"ChaosCloudDaemon3","[0,22]",[],[],25,1,"",0,"Choking Miasma III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",12812,[],0,5259,[],3,0,"A large and fast cloud that deals Chaos Damage over Time will follow you",[],"","[7894,7824]",11229,31584
3,"ChaosCloudDaemon4","[0,22]",[],[],26,2,"",0,"Choking Miasma IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",26152,[],0,5259,[],4,0,"A large and very fast cloud that slows you and deals Chaos Damage over Time will follow you",[],"",[],16660,31584
4,"LightningRuneDaemon1",[1],[],[11],27,"","",0,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,[],0,5259,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11271,31585
5,"LightningRuneDaemon2","[1,22]",[],[11],28,4,"",0,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,[],0,5259,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11277,31585
6,"LightningRuneDaemon3","[1,22]",[],[11],29,5,"",0,"Stormcaller Runes III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,[],0,5259,[],3,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them",[],"","[7895,7825]",11283,31585
7,"LightningRuneDaemon4","[1,22]",[],[11],30,6,"",0,"Stormcaller Runes IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",53101,[],0,5259,[],4,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them for a short amount of time",[],"",[],16666,31585
8,"LightningRuneDaemon1Trial",[1],[],[11],31,"","",0,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",19821,[],0,5259,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11271,""
9,"LightningRuneDaemon2Trial","[1,22]",[],[11],32,8,"",0,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",13955,[],0,5259,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11277,""
10,"FlamespitterDaemon1",[12],[],[],33,"","",0,"Raging Dead","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",62391,[],0,5259,[],1,0,"Skulls will appear that spit Fire if you remain near them",[],"",[7826],11235,31586
11,"FlamespitterDaemon2","[12,22]",[],[],34,10,"",0,"Raging Dead II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",26465,[],0,5259,[],2,0,"Many skulls will appear that spit Fire if you remain near them",[],"",[7826],11241,31586
12,"FlamespitterDaemon3","[12,22]",[],[],35,11,"",0,"Raging Dead III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",6748,[],0,5259,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you",[],"","[7896,7826]",11247,31586
13,"FlamespitterDaemon4","[12,22]",[],[],36,12,"",0,"Raging Dead IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",39655,[],0,5259,[],4,0,"Many skulls will appear that pursue you and quickly spit a large wave of Fire when near you",[],"",[],16673,31586
14,"FlamespitterDaemon1Trial",[12],[],[],37,"","",0,"Raging Dead","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",28673,[],0,5259,[],1,0,"Skulls will appear that spit Fire if you remain near them",[],"",[7826],11235,""
15,"FlamespitterDaemon2Trial","[12,22]",[],[],38,14,"",0,"Raging Dead II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",38306,[],0,5259,[],2,0,"Many skulls will appear that spit Fire if you remain near them",[],"",[7826],11241,""
16,"FlamespitterDaemon3Trial","[12,22]",[],[],39,15,"",0,"Raging Dead III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",49977,[],0,5259,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you",[],"","[7896,7826]",11247,""
17,"FlamespitterDaemon4Trial","[12,22]",[],[],40,16,"",0,"Raging Dead IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",24954,[],0,5259,[],4,0,"Many skulls will appear that pursue you and quickly spit a large wave of Fire when near you",[],"",[],16673,""
18,"FrostInfectionDaemon1",[13],[],[],41,"","",0,"Blistering Cold","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",13648,[],0,5447,[],1,0,"Frozen pustules will periodically appear and explode when you approach",[],"",[7827],11256,31587
19,"FrostInfectionDaemon2","[13,22]",[],[],42,18,"",0,"Blistering Cold II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",62444,[],0,5447,[],2,0,"Many frozen pustules will periodically appear and rapidly explode when you approach",[],"",[7827],11259,31587
20,"FrostInfectionDaemon3","[13,22]",[],[],43,19,"",0,"Blistering Cold III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",28497,[],0,5447,[],3,0,"Many frozen pustules will periodically appear, chill you, and rapidly explode when you approach",[],"","[7897,7827]",11265,31587
21,"FrostInfectionDaemon4","[13,22]",[],[],44,20,"",0,"Blistering Cold IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",3273,[],0,5447,[],4,0,"Many frozen pustules will periodically appear, chill you, and rapidly explode when you approach, freezing if they hit",[],"",[],16679,31587
22,"GraveyardDaemon1",[14],[],[15],45,"","",0,"Restless Ground","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",27548,[],0,5259,[],1,0,"Patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms",[],"",[7828],11310,31588
23,"GraveyardDaemon2","[14,22]",[],[15],46,22,"",0,"Restless Ground II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",63601,[],0,5259,[],2,0,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms",[],"",[7828],11202,31588
24,"GraveyardDaemon3","[14,22,26]",[],[15],47,23,"",0,"Restless Ground III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",43644,[],0,5259,[],3,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin",[],"","[7898,7828]",11148,31588
25,"GraveyardDaemon4","[14,22,26]",[],[15],48,24,"",0,"Restless Ground IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",36670,[],0,5259,[],4,1,"Many patches of Unhallowed Ground will appear that Hinder players and prevent them recovering Life and Energy Shield, and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin",[],"",[],16685,31588
26,"GraveyardDaemon1Trial",[14],[],[15],49,"","",0,"Restless Ground","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",35898,[],0,5259,[],1,0,"Patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms",[],"",[7828],11310,""
