"rownum","Id","ModsKey0","ModsKey1","ModsKey2","bool"
0,"Resist1",3103,3175,3261,1
1,"Resist2",3104,3176,3262,1
2,"Resist3",3105,3177,3263,1
3,"Resist4",3106,3178,3264,1
4,"Resist5",3107,3179,3265,1
5,"Resist6",3108,3180,3266,1
6,"Resist7",3109,3181,3267,1
7,"Resist8",3110,3182,3268,1
8,"Resist9",8466,8468,8470,""
9,"Resist10",8467,8469,8471,""
10,"Resist11",8504,8506,8508,""
11,"Resist12",8505,8507,8509,""
12,"Resist13",8615,8617,8619,""
13,"Resist14",8616,8618,8620,""
14,"Resist15",8651,8653,8655,""
15,"Resist16",8652,8654,8656,""
16,"Resist17",17674,17677,17680,""
17,"Resist18",17675,17678,17681,""
18,"Resist19",17676,17679,17682,""
19,"Resist20",3330,3331,3332,""
20,"Resist21",18362,18363,18364,""
21,"Resist22",9411,9412,9413,1
22,"Resist23",13989,13990,13991,1
23,"Resist24",3327,3328,3329,""
24,"Resist25",18359,18360,18361,""
25,"Resist26",14935,14938,14941,1
26,"Resist27",14936,14939,14942,1
27,"Resist28",14937,14940,14943,1
28,"Resist29",16051,16060,16069,""
29,"Resist30",20591,20660,20731,1
30,"Resist31",20592,20661,20732,1
31,"Resist32",20883,20895,20867,1
32,"Resist33",20884,20896,20868,1
33,"Resist34",20885,20897,20869,1
34,"Resist35",3324,3325,3326,""
35,"Resist36",18356,18357,18358,""
36,"Resist37",16119,16129,16139,1
37,"Resist38",22014,22017,22020,1
38,"Resist39",22015,22018,22021,1
39,"Resist40",22016,22019,22022,1
40,"Resist41",22087,22092,22097,1
41,"Resist42",22088,22093,22098,1
42,"Resist43",22089,22094,22099,1
43,"Resist44",22090,22095,22100,1
44,"Resist45",22091,22096,22101,1
45,"Resist46",24814,24755,24688,1
46,"Resist47",13591,13594,13597,1
47,"Resist48",13592,13595,13598,1
48,"Resist49",13593,13596,13599,1
