"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
0,3807,"[0,10000,500000,2000000]",16251,[],"",4,[],[],[],1,"","",""
1,3815,"[0,150,500,1000,1500]",571,[],572,5,[],[],[],"","","",""
2,3814,"[0,150,500,1000,1500]",574,[],575,5,[],[],[],"","","",""
3,3878,"[74,75]",305,[],146,2,[],[],[],"","","",""
4,3877,"[74,75]",306,[],144,2,[],[],[],"","","",""
5,3879,"[74,75]",307,[],148,2,[],[],[],"","","",""
6,3880,"[74,75]",16163,[],141,2,[],[],[],"","","",""
7,3819,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
8,3820,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
9,3821,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
10,3822,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
11,3823,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
12,3833,"[0,1,3,7,13,25,30]",16319,[],"",7,[],[],[],"","","",""
13,3834,"[0,1,3,7,13,25,30]",16319,[],"",7,[],[],[],"","","",""
14,3835,"[0,1,3,7,13,25,30]",16319,[],"",7,[],[],[],"","","",""
15,3836,"[0,1,3,7,13,25,30]",16319,[],"",7,[],[],[],"","","",""
16,3837,"[0,1,3,7,13,25,30]",16319,[],"",7,[],[],[],"","","",""
17,3824,"[0,20,30]",16317,[],"",3,[],[],[],"","","",""
18,3825,"[0,20,30]",16317,[],"",3,[],[],[],"","","",""
19,3826,"[0,20,30]",16317,[],"",3,[],[],[],"","","",""
20,3827,"[0,20,30]",16317,[],"",3,[],[],[],"","","",""
21,3849,"[0,1,3,5,7,9,11,12]",16395,[],"",8,[],[],[],"","","",""
22,3850,"[0,1,3,5,7,9,11,12]",16395,[],"",8,[],[],[],"","","",""
23,3851,"[0,1,3,5,7,9,11,12]",16395,[],"",8,[],[],[],"","","",""
24,3852,"[0,1,3,5,7,9,11,12]",16395,[],"",8,[],[],[],"","","",""
25,3869,"[0,1,5,10]",16371,[],"",4,[],[],[],"","","",""
26,3870,"[0,1,5,10]",16371,[],"",4,[],[],[],"","","",""
27,3871,"[0,1,5,10]",16371,[],"",4,[],[],[],"","","",""
28,3872,"[0,1,5,10]",16371,[],"",4,[],[],[],"","","",""
29,3845,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
30,3846,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
31,3847,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
32,3848,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
33,3861,"[0,1,3,5,7,9,11,13]",2648,[],8446,8,[],[],[],"","","",""
34,3862,"[0,1,3,5,7,9,11,13]",2648,[],8446,8,[],[],[],"","","",""
35,3863,"[0,1,3,5,7,9,11,13]",2648,[],8446,8,[],[],[],"","","",""
36,3864,"[0,1,3,5,7,9,11,13]",2648,[],8446,8,[],[],[],"","","",""
37,3798,"[0,1,10,15,20,25]",16150,[],"",6,[],[],[],"","","",""
38,3828,"[0,50,100,150,200,250,300,350]",571,[],572,8,[],[],[],"","","",""
39,3829,"[0,50,100,150,200,250,300,350]",577,[],578,8,[],[],[],"","","",""
40,3830,"[0,50,100,150,200,250,300,350]",574,[],575,8,[],[],[],"","","",""
41,3831,"[0,100,200,300,400,500,600,700]",16926,[],604,8,[],[],[],"","","",""
42,3832,"[0,50,100,150,200,250,300,350]",15399,[],17291,8,[],[],[],"","","",""
43,3973,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
44,3972,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
45,3971,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
46,3974,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
47,4800,"[0,10,20,30,40,50,60]",16160,[],"",7,[],[],[],"","","",""
48,3799,"[0,12,20,29]",16794,[48],"",4,[],[],[],1,"","",""
49,3800,"[0,14,22,32]",16794,[48],"",4,[],[],[],1,"","",""
50,3804,"[0,16,24,35]",16794,[48],"",4,[],[],[],1,"","",""
51,3802,"[0,18,26,38]",16794,[48],"",4,[],[],[],1,"","",""
52,3999,"[0,20,50,100]",16674,[],"",4,[],[],[],"","","",""
53,4001,"[0,20,50,100]",16674,[],"",4,[],[],[],"","","",""
54,4000,"[0,20,50,100]",16674,[],"",4,[],[],[],"","","",""
55,4002,"[0,20,50,100]",16674,[],"",4,[],[],[],"","","",""
56,3816,"[0,30,65,100,150,200]",25,[],"",6,[],[],[],"","","",""
57,4031,"[0,10,20,30]",0,[],"",4,[],[],[],1,"","",""
58,4017,"[0,25,50,75]",242,[],177,4,[],[],[],"","","",""
59,3953,"[0,100000,1000000]",16251,[],"",3,[],[],[],1,"","",""
60,4068,"[0,18,26,38]",17429,[50],"",4,[],[],[],1,"","",""
61,4065,"[0,16,24,35]",17429,[50],"",4,[],[],[],1,"","",""
62,4067,"[0,12,20,29]",17429,[50],"",4,[],[],[],1,"","",""
63,4066,"[0,14,22,32]",17429,[50],"",4,[17481],[1],[4],1,"","",""
64,4057,"[1,34,70,90,120]",17626,[],123,5,[],[],[],"","","",""
65,4088,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
66,4089,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
67,4090,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
68,4091,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
69,4121,"[0,1]",365,[],"",2,[],[],[],"","","",""
70,4920,"[0,1,2]",366,[],"",3,[],[],[],"","","",""
71,4274,"[0,1000,5000,10000,15000,20000]",240,[],116,6,[],[],[],"","","",""
72,4232,"[0,18,26,38,38]",18345,"[52,53]",18279,5,"[18421,18421,17777,18421]","[1,1,1,1]","[3,4,5,5]",1,"","",""
73,4229,"[0,16,24,35]",18345,"[52,53]",18279,4,[],[],[],1,"","",""
74,4231,"[0,12,20,29]",18345,"[52,53]",18279,4,[],[],[],1,"","",""
75,4230,"[0,14,22,32]",18345,"[52,53]",18279,4,[],[],[],1,"","",""
76,4301,"[0,10,20,50,100,150,200]",18492,[],"",7,[],[],[],"","","",""
77,4315,"[1,1]",0,[],"",2,[],[],[],"","","",""
78,4370,[],"",[],"",0,[],[],[],"",1,18805,1
79,4410,"[0,2000,5000]",18868,[],"",3,[],[],[],"","","",""
80,4412,"[0,2000,5000]",18868,[],"",3,[],[],[],"","","",""
81,4413,"[0,2000,5000]",18868,[],"",3,[],[],[],"","","",""
82,4414,"[0,2000,5000]",18868,[],"",3,[],[],[],"","","",""
