"rownum","Id","rid","rid","rid","[rid]","bool","bool","[rid]","[string]","i32","i32","i32","i32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5732,"",[],"","",[],[],0,1,100,0
7,"IsBeyondMonsterFactionDemon","",5732,"",[],"","",[],[],0,1,100,-999931399
8,"IsBeyondMonsterFactionFlesh","",5732,"",[],"","",[],[],0,1,100,-506111471
9,"IsBeyondMonsterFactionPale","",5732,"",[],"","",[],[],0,1,100,-1972271131
10,"IsInvasionBoss","",3532,"",[],"","",[],[],0,1,100,0
11,"IsTormentedSpirit","",5598,"",[],"","",[],[],0,1,100,0
12,"IsRogueExile","",8872,"",[],"","",[],[],0,1,100,0
13,"IsIzaro","",4137,"",[],"","",[],[],0,1,100,0
14,"IsNotIzaro","","","",[4137],"","",[],[],0,1,100,0
15,"IsSynthesisedMonster","","","",[],"","",[414],[],0,1,100,0
16,"IsNotConvertingPhysicalDamage","","","","[1104,1105,1106,1107]","","",[],[],0,1,100,0
17,"IsHarbinger","",9339,"",[],"","",[],[],0,1,100,0
18,"IsFirst3Possessed","",2619,"",[],"","",[],[],3,1,100,0
19,"IsCorruptedVaal","","","",[],"","",[441],[],0,1,100,0
20,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
21,"ShouldNotDropSplinters","",11661,"",[],"","",[],[],0,1,100,0
22,"IsWarband","",11662,"",[],"","",[],[],0,1,100,0
23,"IsElderPortal","",11663,"",[],"","",[],[],0,1,100,0
24,"IsMapBossUnderling","",11664,"",[],"","",[],[],0,1,100,0
25,"IsAfflictionWildBoss","",11665,"",[],"","",[],[],0,1,100,0
26,"IsTempleArchitect","",11698,"",[],"","",[],[],0,1,100,0
27,"IsNotTempleArchitect","","","",[11698],"","",[],[],0,1,100,0
28,"IsIncursionBoss","",11699,"",[],"","",[],[],0,1,100,0
29,"IsWarbandLeader","",11747,"",[],"","",[],[],0,1,100,0
30,"IsNotWarbandLeader","","","",[11747],"","",[],[],0,1,100,0
31,"IsBetrayalTarget","",11767,"",[],"","",[],[],0,1,100,0
32,"IsNotBetrayalTarget","","","",[11767],"","",[],[],0,1,100,0
33,"IsIncursionArchitect","",11768,"",[],"","",[],[],0,1,100,0
34,"IsNotIncursionArchitect","","","",[11768],"","",[],[],0,1,100,0
35,"IsBestiaryRedBeast","",11769,"",[],"","",[],[],0,1,100,0
36,"IsNotBestiaryRedBeast","","","",[11769],"","",[],[],0,1,100,0
37,"HeistGuard","","","",[],"","",[675],[],0,1,100,0
38,"IsNotRitualMonster","","","",[13401],"","",[],[],0,1,100,0
39,"IsShaperMonster","","","",[],"","",[685],[],0,1,100,0
40,"IsElderMonster","","","",[],"","",[686],[],0,1,100,0
41,"IsCrusaderMonster","","","",[],"","",[689],[],0,1,100,0
42,"IsEyrieMonster","","","",[],"","",[687],[],0,1,100,0
43,"IsBasiliskMonster","","","",[],"","",[688],[],0,1,100,0
44,"IsAdjudicatorMonster","","","",[],"","",[690],[],0,1,100,0
45,"IsBreachMonster","",5144,"",[],"","",[],[],0,1,100,0
46,"IsRitualRespawnedMapBoss","",7963,"",[],"","",[],[],0,1,100,0
47,"IsNotRitualRespawnedMapBoss","","","",[7963],"","",[],[],0,1,100,0
48,"IsAbyssMonster","","","",[],"","",[239],[],0,1,100,0
49,"IsEssenceMonster","",13744,"",[],"","",[],[],0,1,100,0
50,"IsInfluenceMonster","","","",[],"","",[695],[],0,1,100,0
51,"IsBlightBoss","","","",[],"","",[696],[],0,1,100,0
52,"Level4Plus","","","",[],"","",[],[],0,4,100,0
53,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
54,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
55,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,-1520197555
56,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019
57,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,-1163185422
58,"Level1to45Monster","","","",[],"","",[],[],0,1,45,0
59,"Level46to67Monster","","","",[],"","",[],[],0,46,67,0
60,"Level68to72Monster","","","",[],"","",[],[],0,68,72,0
61,"Level73to77Monster","","","",[],"","",[],[],0,73,77,0
62,"Level78to84Monster","","","",[],"","",[],[],0,78,84,0
63,"Level81plusMonster","","","",[],"","",[],[],0,81,100,0
64,"Level85plusMonster","","","",[],"","",[],[],0,85,100,0
65,"IsBestiaryYellowBeast","",16821,"",[],"","",[],[],0,1,100,0
66,"IsIncursionMemoryLineMonster","",16829,"",[],"","",[],[],0,1,100,0
67,"IsMavenWitnessed","",17066,"",[],"","",[],[],0,1,100,0
68,"IsLastMapBoss","",17101,"",[],"","",[],[],0,1,100,0
69,"IsSanctumFloorBoss","",17365,"",[],"","",[],[],0,1,100,0
70,"IsSanctumGuard","",17384,"",[],"","",[],[],0,1,100,0
71,"IsSanctumBoss","",17452,"",[],"","",[],[],0,1,100,0
72,"IsBreachMonsterCold","","","",[],"","",[1042],[],0,1,100,0
73,"IsBreachMonsterFire","","","",[],"","",[1043],[],0,1,100,0
74,"IsBreachMonsterLightning","","","",[],"","",[1044],[],0,1,100,0
75,"IsBreachMonsterPhysical","","","",[],"","",[1045],[],0,1,100,0
76,"IsBreachMonsterChaos","","","",[],"","",[1046],[],0,1,100,0
77,"IsBlightMonster","",10334,"",[],"","",[],[],0,1,100,0
78,"IsAfflictionMonster","",11394,"",[],"","",[],[],0,1,100,0
79,"IsSanctumFinalBoss","",17642,"",[],"","",[],[],0,1,100,0
80,"IsCrucibleMonster","",18207,"",[],"","",[],[],0,1,100,0
81,"Level80OrBelowMonster","","","",[],"","",[],[],0,1,80,0
82,"IsUltimatumMonster","",19020,"",[],"","",[],[],0,1,100,0
83,"IsTrialmasterBoss","","","",[],"","",[1069],[],0,1,100,0
84,"IsNotHiddenMonster","","","",[859],"","",[],[],0,1,100,0
85,"HasDropsAndExperience","","","",[886],"","",[],[],0,1,100,0
86,"IsLegionMonster","","","",[],"","",[448],[],0,1,100,0
87,"IsNotLegionChest","","","",[],"","",[],"[""tect""]",0,1,100,0
88,"IsLegionChest","","","",[],"","",[1086],[],0,1,100,0
89,"IsRunicMonster","","","",[],"","",[1087],[],0,1,100,0
90,"IsNotAStygianSpire","","","",[],"","",[],"[""""]",0,1,100,0
