"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues","bool","bool","bool","bool"
0,"InnerTreasure",[7005],"",[],[],[],"","","",""
1,"DropVaalItem",[7012],"",[],[],[],"","","",""
2,"AlwaysIgnite",[],"",[],"[4986,610]","[1,100]","","","",""
3,"RandomCurseOnMeleeHit",[],"",[],[1226],[100],"","","",""
4,"Maimed",[],497,"[-30,1]",[],[],"","","",""
5,"AlwaysShock",[],"",[],"[4985,658]","[1,100]","","","",""
6,"TormentedExperimenterPossess","[8857,8948,9033,9035]","",[],[],[],"","","",""
7,"TormentedBlasphemerPossess","[8860,8946,9033,9035]","",[],[],[],"","","",""
8,"TormentedNecromancerPossess","[8863,8948,9033,9035]","",[],[],[],"","","",""
9,"TormentedArsonistPossess","[8866,8948,9033,9035]","",[],[],[],"","","",""
10,"TormentedThiefPossess","[8895,8949,9033,9035]","",[],[],[],"","","",""
11,"TormentedMutilatorPossess","[8908,8948,9033,9035]","",[],[],[],"","","",""
12,"TormentedCharlatanPossess","[8876,8948,9033,9035]","",[],[],[],"","","",""
13,"TormentedCannibalPossess","[8901,8948,9033,9035]","",[],[],[],"","","",""
14,"TormentedPoisonerPossess","[8869,8948,9033,9035]","",[],[],[],"","","",""
15,"TormentedCorrupterPossess","[8872,8949,9033,9035]","",[],[],[],"","","",""
16,"TormentedThugPossess","[8879,8946,9033,9035]","",[],[],[],"","","",""
17,"TormentedRoguePossess","[8882,8946,8883,9033,9035]","",[],[],[],"","","",""
18,"TormentedFishermanPossess","[8885,8949,9033,9035]","",[],[],[],"","","",""
19,"TormentedLibrarianPossess","[8888,8949,9033,9035]","",[],[],[],"","","",""
20,"TormentedCutthroatPossess","[8892,8946,9033,9035]","",[],[],[],"","","",""
21,"TormentedSpyPossess","[8898,8946,9033,9035]","",[],[],[],"","","",""
22,"TormentedMartyrPossess","[8905,8948,9033,9035]","",[],[],[],"","","",""
23,"TormentedEmbezzlerPossess","[8911,8949,9033,9035]","",[],[],[],"","","",""
24,"TormentedCounterfeiterPossess","[8917,8948,9033,9035]","",[],[],[],"","","",""
25,"TormentedWarlordPossess","[8920,8946,9033,9035]","",[],[],[],"","","",""
26,"TormentedFreezerPossess","[8924,8948,9033,9035]","",[],[],[],"","","",""
27,"TormentedSmugglerPossess","[8928,8926,8949,9033,9035]","",[],[],[],"","","",""
28,"MapSupporterEssenceDaemon","[35221,35222,35223,35224,35225,35226,35227,35228,35229]","",[],[],[],1,"","",""
29,"MonsterSupporterEnrageDaemon",[35230],"",[],[],[],"","","",""
