"rownum","Id","rid","i32","[rid]","[i32]","i32","i32","rid","i32","Suffix","rid"
0,"MemoryLineAnarchy1",2,52576,[16817],[3],4,1224,1244,0,"of Organised Chaos",5976
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics",5976
2,"MemoryLineDomination1",8,37208,"[15493,16807]","[10,100]",6,1226,1246,0,"of Formidable Shrines",5976
3,"MemoryLineDomination2",8,35260,"[16670,17594]","[4,300]",3,1227,1247,0,"of the Pantheon",31607
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis",5976
5,"MemoryLineEssence2",9,23679,"[16682,13572,13663,15496,13664]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons",31608
6,"MemoryLineAmbush1",1,46590,"[16840,5130]","[4,1]",4,1230,1250,0,"of Cascading Fortunes",31609
7,"MemoryLineAmbush2",1,33628,"[5072,5133]","[1,2]",3,1231,1251,0,"of Hidden Behemoths",5976
8,"MemoryLineBreach1",6,40744,"[16725,13306,16140]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught",31610
9,"MemoryLineBreach2",6,36724,"[16801,13696,13545]","[1,100,100]",6,1233,1253,0,"of Grasping Hands",31611
10,"MemoryLineTorment1",17,19174,[2768],[1],1,1234,1254,0,"of Self-Possession",5976
11,"MemoryLineTorment2",17,24671,[2768],[1],3,1235,1255,0,"of Tormented Souls",31612
12,"MemoryLineHarbinger1",18,24813,"[16828,16882]","[1,50]",4,1236,1256,0,"of Survivor's Guilt",31613
13,"MemoryLineHarbinger2",18,29521,[16699],[1],4,1237,1257,0,"of Phaaryl",31614
14,"MemoryLineBestiary1",3,50665,[2310],[2],3,1238,1258,0,"of Harvest Beasts",31615
15,"MemoryLineBestiary2",3,46008,"[2310,13745]","[2,100]",4,1239,1259,0,"of the Menagerie",5976
16,"MemoryLineIncursion1",13,23896,"[1361,2334,13780]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion",31616
17,"MemoryLineBetrayal1",4,60599,[2310],[6],1,1241,1261,0,"of Bounty Hunters",5976
18,"MemoryLineHarvest1",11,39024,"[16812,16814,16854]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove",31617
19,"MemoryLineAbyss1",0,55290,[16136],[1],4,1243,1263,0,"of Chasms",31618
