"rownum","Id","HASH16","Name","Image","rid","i32","Mods","FlavorText","i32","[rid]","rid","rid"
0,"NgamahuIgnite",973,"Umu Coals","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CharcoalPot",1,250,"[34886,34887]","Traditional meals are cooked in a great fire-stone pit.\r\nIn a crisis, those stones can pull double duty.",800,[],516,529
1,"NgamahuRighteousFire",63324,"Firebreather Mead","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SpicyMedicine",1,250,[34888],"The fruit of the volcanic nightshade plant can leave veteran warriors in tears.",400,[],516,529
2,"NgamahuChanceForNoRespawnTimer",47146,"Volcanic Emblem","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KoamCoin",1,300,[34889],"The Ngamahu Tribe believes the Karui will be reforged in a volcano at the end of time.",800,[],516,529
3,"NgamahuFireExplode",53806,"Dying Roar","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/DeadmansSwitch",1,150,"[34884,34885]","When Ngamahu's chosen truly wish to destroy an enemy, nothing can stop them.",400,[],516,529
4,"TasalioVines",47392,"Ichthyic Bolas","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/FishBolaCharm",2,200,[34890],"Hunters of the Tasalio Tribe are just as effective on land.",1000,[],519,532
5,"TasalioStealth",14996,"Inky Infusion","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/OctopusDoll",2,200,[34918],"They slip through shadows of their own making.",1000,[],519,532
6,"TasalioShroudWalker",34426,"Sudden Fog","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SmokeBomb",2,200,[34883],"A clear day dawns only for the lucky.",1000,[],519,532
7,"TasalioChannellingInterruptDuration",32539,"Sea Charm","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SpiralRopeCharm",2,500,[34919],"Tasalio bids you take a moment to stop and enjoy the calm of the ocean.",300,[],519,532
8,"ArohonguiEnergyShield",30400,"Silver Ward","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/MoonPin",3,150,"[34891,34892]","Arohongui looks after all those in need.",1000,[],516,529
9,"ArohonguiChilledGround",20288,"Moon's Path","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/MoonAnklets",3,250,[34881],"The never-ending journey must be walked alone.",800,[],516,529
10,"ArohonguiColdAilmentImmunity",18258,"Lunar Grace","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/IceCharm",3,150,[34893],"The lunar plains are cold, but the silver palace is always warm and welcoming.",500,[],516,529
11,"ArohonguiFreeze",20970,"Dance of the Seasons","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CrescentToeRings",3,600,[34894],"Winter is inevitable, but so is the spring.",200,[],516,529
12,"ValakoChargesForDefensiveTeammates",36365,"Lightning Rod","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/LightningRod",4,200,[34920],"Valako's gifts are unpredictable, but welcome.",1000,[],519,532
13,"ValakoProximityShield",37208,"Whaletooth Bangle","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/WhaletoothTotem",4,400,"[34882,34878]","An arrow in a storm may lose its course, but it will bring death where it eventually falls.",500,[],519,532
14,"ValakoLightningThorns",39418,"Carved Horns","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HornEarrings",4,200,[34921],"Passed down through the generations, they protect those who seek Valako's grace.",1000,[],519,532
15,"ValakoBlock",34042,"Tidal Charm","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ShieldCharm",4,400,[34922],"Only a fool fights the tide.",500,[],519,532
16,"HinekoraFasterRespawn",24845,"Birthing Spoon","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BirthingSpoonTrinket",5,300,[34895],"With each new life, the entire tribe is invigorated.",1000,[],519,532
17,"HinekoraCooldownRecovery",27865,"Cyclic Bauble","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SunMoonAmulet",5,150,[34896],"The end of Time is also its beginning.",500,[],519,532
18,"HinekoraChannellingDoesntPreventRespawnTimer",35092,"Death Chimes","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BoneChime",5,300,[34897],"Hinekora is not the master of Death, but she is its Mother.",800,[],519,532
19,"HinekoraHinder",22180,"Fate's Grasp","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HinderHand",5,300,[34923],"There is no use trying to escape destiny.",500,[],519,532
20,"TawhoaLifeRegeneration",22944,"Amber Burgeon","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/EmberChoker",6,300,[34898],"Though you might not see it, the forest is always growing.",1000,[],518,531
21,"TawhoaTotemLifeRegeneration",64194,"Spiritual Growth","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/DriedLizardAmulet",6,150,"[34899,34900,34901]","That which is wounded may become whole again in time.",1500,[],518,531
22,"TawhoaMaximumLifeOnRespawn",59942,"Bone Juju","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BoneTiki",6,500,[34924],"Life springs from death in a grand cycle.",400,[],518,531
23,"TawhoaNearbyPlayerFlaskCharges",27413,"Dream Catcher","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SoulCatcher",6,300,[34925],"Tawhoa gifted humanity the ability to dream, so that they may aspire to greater things.",1000,[],518,531
24,"KitavaLifeOnKill",58054,"Victory Feast","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KitavaCharm",7,250,[34902],"\""The Oriathans have generously provided us with a banquet!\""",1000,[],516,529
25,"KitavaDamageTakenRecoveredByTotem",49213,"Utula's Promise","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BarbedArmband",7,400,[34903],"\""If you waver, drink of my blood, and fight on!\""",500,[],516,529
26,"KitavaLifeRegenerationWhileChannelling",13676,"Jawclamp Earrings","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HeavyEarrings",7,250,[34904],"\""Bite down upon your master's throat, and die before you let go!\""",800,[],516,529
27,"KitavaNearbyEnemiesNoLifeRecovery",51103,"Noxious Fumes","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/IncenseBurner",7,500,[34905],"\""The guards will have no rest this night. When they tire, we strike...\""",200,[],516,529
28,"RamakoMovementSpeed",46021,"Eternal Pursuit","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CrystalLegband",8,300,"[34879,34877]","The Sun chases the Moon across the sky, thirsting for a momentary touch.",1000,[],519,532
29,"RamakoTailwind",3916,"Queen's Inspiration","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TuskBrooch",8,500,[34906],"Her courage was contagious.",300,[],519,532
30,"RamakoExtraProjectiles",19046,"Sun-blot Band","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ArchersRing",8,250,[34907],"Let us graciously allow the enemy to fight in the shade.",600,[],519,532
31,"RamakoSpeedWhileEnemiesInCloseRange",25414,"Sniper's Gambit","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ShellAnkleBrace",8,200,[34926],"Clever archers always have a trick in reserve.",600,[],519,532
32,"TukohamaBonusesOnLowLife",35359,"Ancestral Defiance","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ScreamingTotem",9,250,[34927],"The warriors of the Tukohama Tribe call the brink of death home.",1000,[],518,531
33,"TukohamaTotemDamageTakenWhileChannelling",49694,"Massive Chisel","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TotemChisel",9,500,[34908],"Ancestral wood splinters freely under the heavy weight of jade.",400,[],518,531
34,"TukohamaAdrenalineForOffensiveTeammates",39990,"War Venom","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SnakeToothSyringe",9,500,[34928],"The fire in the blood is like no other thrill.",400,[],518,531
