"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2310,141,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4443,141,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",5011,141,1044,2,1
4,"EssenceBloodworm",4309,141,"",1,""
5,"Essence Elemental Swarm 1st stage",394,141,113,4,1
6,"Essence Elemental Swarm 2nd stage",395,141,113,2,1
7,"Essence Elemental Swarm 3rd stage",396,141,113,2,1
8,"Essence Rock Golem",4563,141,"",1,1
9,"Essence Explosive Insect",1560,141,"",1,1
10,"Volatile Flameblood",5038,141,"",1,1
11,"Obsidian Golem",4244,141,"",1,1
12,"TormentedBetrayerBeacon",7430,141,"",1,""
13,"BlightDaemonFire",7744,141,113,1,""
14,"BlightDaemonCold",7746,141,115,1,""
15,"BlightDaemonLightning",7748,141,447,1,""
16,"BlightDaemonPhysical",7750,141,522,1,""
17,"BlightDaemonChaos",7752,141,1059,1,""
18,"MapVolatile",5050,141,"",1,""
19,"LegionVolatile",5041,141,"",1,""
