"rownum","ModsKey","i32","i32","i32"
0,22290,2,9,100
1,22291,10,14,100
2,22292,15,20,100
3,22300,21,30,50
4,22293,2,9,100
5,22294,10,14,100
6,22295,15,30,100
7,22206,15,30,10
8,22207,15,30,10
9,22208,15,30,10
10,22209,10,14,0
11,22210,15,30,0
12,22211,10,14,0
13,22212,15,30,0
14,22213,10,14,0
15,22214,15,30,0
16,22215,10,14,20
17,22216,15,30,20
18,22217,5,14,35
19,22218,15,30,35
20,22219,5,9,50
21,22220,10,15,50
22,22221,15,30,50
23,22222,2,9,25
24,22223,10,14,25
25,22224,15,20,25
26,22305,21,30,25
27,22225,5,9,25
28,22226,10,14,25
29,22227,15,30,25
30,22228,5,9,25
31,22229,10,14,25
32,22230,15,30,25
33,22231,2,9,25
34,22232,10,14,25
35,22233,15,20,25
36,22306,21,30,25
37,22234,5,9,25
38,22235,10,14,25
39,22236,15,30,25
40,22237,5,9,25
41,22238,10,14,25
42,22239,15,30,25
43,22240,2,9,25
44,22241,10,14,25
45,22242,15,20,25
46,22303,21,30,25
47,22243,5,9,25
48,22244,10,14,25
49,22245,15,30,25
50,22246,5,9,25
51,22247,10,14,25
52,22248,15,30,25
53,22249,2,9,25
54,22250,10,14,25
55,22251,15,20,25
56,22304,21,30,25
57,22252,10,14,25
58,22253,15,17,25
59,22254,15,30,25
60,22255,5,9,25
61,22256,10,14,25
62,22257,15,30,25
63,22258,2,9,25
64,22259,10,14,25
65,22260,15,20,25
66,22307,21,30,25
67,22261,10,14,25
68,22262,15,17,25
69,22263,18,30,25
70,22264,10,14,20
71,22265,15,30,20
72,22266,2,9,20
73,22267,10,14,20
74,22268,15,30,20
75,22269,10,14,10
76,22270,15,17,10
77,22271,15,30,10
78,22272,2,9,100
79,22273,10,14,100
80,22274,15,30,100
81,22275,10,14,25
82,22276,15,30,25
83,22277,10,14,25
84,22278,15,30,25
85,22279,10,14,25
86,22280,15,30,25
87,22281,10,14,0
88,22282,15,30,0
89,22283,10,14,10
90,22284,15,20,10
91,22302,21,30,10
92,22285,10,14,10
93,22286,15,30,10
94,22287,2,9,30
95,22288,10,14,30
96,22289,15,30,30
97,22296,2,9,40
98,22297,10,14,40
99,22298,15,20,40
100,22301,21,30,40
