"rownum","QualityModifier","Description","BaseItemTypesKey","rid"
0,20569,"Quality (Elemental Damage Modifiers)",283,0
1,20570,"Quality (Caster Modifiers)",284,1
2,20571,"Quality (Attack Modifiers)",285,2
3,20572,"Quality (Defence Modifiers)",286,3
4,20573,"Quality (Life and Mana Modifiers)",287,4
5,20574,"Quality (Resistance Modifiers)",288,5
6,20575,"Quality (Attribute Modifiers)",289,6
7,20576,"Quality (Physical and Chaos Damage Modifiers)",290,7
8,20577,"Quality (Speed Modifiers)",291,8
9,20578,"Quality (Critical Modifiers)",292,9
