"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey","rid"
0,"Hatred",1,"",2768,20061
1,"Woe",1,"",2769,20062
2,"Greed",1,"",2770,20063
3,"Contempt",1,"",2771,20064
4,"Sorrow",2,"",2772,20065
5,"Anger",2,"",2773,20066
6,"Torment",2,"",2774,20067
7,"Fear",2,"",2775,20068
8,"Suffering",3,"",2776,20069
9,"Rage",3,"",2778,20070
10,"Wrath",3,"",2777,20071
11,"Doubt",3,"",2779,20072
12,"Anguish",4,"",2780,20073
13,"Loathing",4,"",2781,20074
14,"Spite",4,"",2783,20075
15,"Zeal",4,"",2782,20076
16,"Misery",5,"",2784,20077
17,"Dread",5,"",2785,20078
18,"Scorn",5,"",2786,20079
19,"Envy",5,"",2787,20080
20,"Hysteria",6,1,2788,20081
21,"Insanity",6,1,2789,20082
22,"Horror",6,1,2790,20083
23,"Delirium",6,1,2791,20084
24,"NotEssence",0,"",2792,20085
