"rownum","rid","bool","u16","bool"
0,1564,1,0,""
1,1565,1,0,""
2,1566,1,0,""
3,1567,1,0,""
4,1568,1,0,""
5,1569,1,0,""
6,1570,1,0,""
7,1571,1,0,""
8,1573,1,0,""
9,1572,1,0,""
10,1539,1,0,""
11,1540,1,0,""
12,1541,1,0,""
13,1542,1,0,""
14,1543,1,0,""
15,1544,1,0,""
16,1545,1,0,""
17,1546,1,0,""
18,1547,1,0,""
19,1548,1,0,""
20,1549,1,0,""
21,1550,1,0,""
22,1551,1,0,""
23,1552,1,0,""
24,1553,1,0,""
25,1554,1,0,""
26,1555,1,0,""
27,1556,1,0,""
28,1557,1,0,""
29,1558,1,0,""
30,1559,1,0,""
31,1560,1,0,""
32,1561,1,0,""
33,1562,1,0,""
34,1563,1,0,""
35,1574,1,0,""
36,1575,1,0,""
37,1576,1,0,""
38,1577,1,0,""
39,1578,1,0,""
