"rownum","Index","SupportGem","Name"
0,1,34,"Greater Multiple Projectiles"
1,2,307,"Void Manipulation"
2,3,333,"Vile Toxins"
3,4,392,"Unleash"
4,5,336,"Unbound Ailments"
5,6,319,"Advanced Traps"
6,7,285,"Trap and Mine Damage"
7,8,70,"Trap"
8,9,430,"Swift Assembly"
9,10,350,"Summon Phantasm"
10,11,193,"Elemental Army"
11,12,67,"Stun"
12,13,346,"Infused Channelling"
13,14,349,"Ancestral Call"
14,15,148,"Spell Totem"
15,16,391,"Intensify"
16,17,348,"Spell Cascade"
17,18,209,"Slower Projectiles"
18,19,405,"Shockwave"
19,20,483,"Second Wind"
20,21,338,"Ruthless"
21,22,426,"High-Impact Mine"
22,23,149,"Blastchain Mine"
23,24,54,"Inspiration"
24,25,210,"Less Duration"
25,26,309,"Swift Affliction"
26,27,171,"Ballista Totem"
27,28,413,"Rage"
28,29,412,"Pulverise"
29,30,190,"Power Charge On Critical"
30,31,301,"Critical Strike Affliction"
31,32,144,"Point Blank"
32,33,69,"Pierce"
33,34,265,"Physical to Lightning"
34,35,230,"Vicious Projectiles"
35,36,347,"Volley"
36,37,339,"Momentum"
37,38,421,"Nightblade"
38,39,199,"Multiple Traps"
39,40,379,"Multiple Totems"
40,41,187,"Multistrike"
41,42,188,"Spell Echo"
42,43,351,"Mirage Archer"
43,44,318,"Minefield"
44,45,189,"Melee Splash"
45,46,82,"Melee Physical Damage"
46,47,147,"Damage on Full Life"
47,48,422,"Meat Shield"
48,49,59,"Mana Leech"
49,50,334,"Maim"
50,51,174,"Lightning Penetration"
51,52,58,"Life Leech"
52,53,114,"Life Gain on Hit"
53,54,328,"Chance to Poison"
54,55,35,"Lesser Multiple Projectiles"
55,56,57,"Knockback"
56,57,84,"Item Rarity"
57,58,146,"Iron Will"
58,59,145,"Iron Grip"
59,60,283,"Innervate"
60,61,427,"Infernal Legion"
61,62,110,"Minion Speed"
62,63,111,"Minion Life"
63,64,106,"Minion Damage"
64,65,107,"More Duration"
65,66,55,"Increased Critical Strikes"
66,67,56,"Increased Critical Damage"
67,68,192,"Burning Damage"
68,69,39,"Increased Area of Effect"
69,70,409,"Impale"
70,71,335,"Immolate"
71,72,326,"Ignite Proliferation"
72,73,281,"Ice Bite"
73,74,282,"Hypothermia"
74,75,436,"Greater Volley"
75,76,112,"Elemental Damage with Attacks"
76,77,246,"Generosity"
77,78,362,"Charged Traps"
78,79,279,"Fortify"
79,80,178,"Fork"
80,81,156,"Chance to Flee"
81,82,172,"Fire Penetration"
82,83,418,"Feeding Frenzy"
83,84,36,"Faster Projectiles"
84,85,85,"Faster Casting"
85,86,33,"Faster Attacks"
86,87,385,"Energy Leech"
87,88,204,"Endurance Charge on Melee Stun"
88,89,139,"Elemental Proliferation"
89,90,317,"Elemental Focus"
90,91,332,"Efficacy"
91,92,331,"Decay"
92,93,419,"Predator"
93,94,329,"Deadly Ailments"
94,95,194,"Hextouch"
95,96,143,"Culling Strike"
96,97,308,"Controlled Destruction"
97,98,105,"Concentrated Effect"
98,99,108,"Cold to Fire"
99,100,173,"Cold Penetration"
100,101,310,"Cluster Traps"
101,102,404,"Close Combat"
102,103,363,"Charged Mines"
103,104,370,"Withering Touch"
104,105,109,"Combustion"
105,106,327,"Chance to Bleed"
106,107,176,"Chain"
107,108,323,"Cast while Channelling"
108,109,213,"Cast when Stunned"
109,110,198,"Cast on Melee Kill"
110,111,211,"Cast on Death"
111,112,212,"Cast when Damage Taken"
112,113,197,"Cast On Critical Strike"
113,114,337,"Brutality"
114,115,371,"Bonechill"
115,116,140,"Arrogance"
116,117,113,"Bloodlust"
117,118,162,"Blind"
118,119,273,"Blasphemy"
119,120,433,"Barrage"
120,121,432,"Arrow Nova"
121,122,482,"Archmage"
122,123,340,"Arcane Surge"
123,124,38,"Additional Accuracy"
124,125,40,"Added Lightning Damage"
125,126,32,"Added Fire Damage"
126,127,37,"Added Cold Damage"
127,128,60,"Added Chaos Damage"
128,129,492,"Fist of War"
129,130,493,"Swiftbrand"
130,131,494,"Urgent Orders"
131,132,504,"Pinpoint"
132,133,502,"Impending Doom"
133,134,507,"Trinity"
134,135,514,"Bloodthirst"
135,136,517,"Cruelty"
136,137,518,"Lifetap"
137,138,687,"Focused Ballista"
138,139,752,"Overexertion"
139,140,689,"Behead"
140,141,705,"Mark On Hit"
141,142,754,"Rupture"
142,143,706,"Eternal Blessing"
143,144,707,"Overcharge"
144,145,717,"Cursed Ground"
145,146,718,"Hex Bloom"
146,147,731,"Manaforged Arrows"
147,148,732,"Prismatic Burst"
148,149,179,"Returning Projectiles"
149,150,735,"Trauma"
150,151,736,"Spellblade"
151,152,737,"Devour"
152,153,738,"Fresh Meat"
153,154,739,"Flamewood"
154,155,740,"Corrupting Cry"
155,156,748,"Volatility"
156,157,742,"Guardian's Blessing"
157,158,743,"Sacrifice"
158,159,744,"Frigid Bond"
159,160,745,"Locus Mine"
160,161,746,"Sadism"
161,162,747,"Controlled Blaze"
162,163,751,"Sacred Wisps"
163,164,753,"Expert Retaliation"
