"rownum","Id","MonsterVarieties","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[8813],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8814],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8815],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8816],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8817],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8818],999,"",6000,6000,"","",1
6,"NamelessFrog","[8833,8834]",10,1,4000,4000,"","",""
7,"LightningPylon",[8819],16,"",50,0,"",1,""
8,"LightningPylonUber",[8820],16,"",50,0,"",1,""
9,"Necromantic1","[3759,3760,3761,3762,3763,3764,3765,3766,3767,3768,3769,3770,3773,3774,3775,3776,3777,3778,3779,3780]",4,1,6000,0,"","",1
10,"Necromantic2","[3759,3760,3761,3762,3763,3764,3765,3766,3767,3768,3769,3770,3773,3774,3775,3776,3777,3778,3779,3780]",5,1,5000,0,"","",1
11,"Necromantic3","[3759,3760,3761,3762,3763,3764,3765,3766,3767,3768,3769,3770,3772,3773,3774,3775,3776,3777,3778,3779,3780]",6,1,4000,0,"","",1
12,"Necromantic4","[3759,3760,3761,3762,3763,3764,3765,3766,3767,3768,3769,3770,3772,3773,3774,3775,3776,3777,3778,3779,3780]",7,1,3000,0,"","",1
13,"Vaal",[8821],1,"",800,0,1,"",""
14,"Golden",[8822],999,"",4000,0,"","",1
15,"PhysicalBleed",[8824],999,"",8000,0,"","",1
16,"PhysicalBleedUber",[8825],4,"",5000,0,"",1,1
17,"ChaosGreenVines",[8831],1,"",800,0,1,"",""
18,"GenericLifeQuicksand",[8828],999,"",2000,2000,"","",1
19,"GenericCharges",[8826],1,"",300,0,1,"",""
20,"GenericMassive",[8827],1,"",300,0,1,"",""
21,"GenericSpeed",[8823],1,"",300,0,1,"",""
22,"GenericFortify",[8829],999,"",5000,0,"","",1
23,"GenericEnergyShield",[8830],1,"",300,0,1,"",""
24,"UltimatumChaosCloud1",[9005],1,"",1000,0,"","",""
25,"UltimatumChaosCloud2",[9006],1,"",1000,0,"","",""
26,"UltimatumChaosCloud3",[9007],1,"",1000,0,"","",""
27,"UltimatumChaosCloud4",[9008],1,"",1000,0,"","",""
28,"UltimatumLightningRune1",[9009],3,"",50,0,"",1,1
29,"UltimatumLightningRune2",[9010],3,"",50,0,"",1,1
30,"UltimatumLightningRune3",[9010],5,"",50,0,"",1,1
31,"UltimatumLightningRune4",[9011],5,"",50,0,"",1,1
32,"UltimatumLightningRune1Trial",[9009],3,"",50,0,"","",""
33,"UltimatumLightningRune2Trial",[9010],3,"",50,0,"","",""
34,"UltimatumFlameSpitter1",[9040],2,"",50,0,"",1,1
35,"UltimatumFlameSpitter2",[9040],4,"",50,0,"",1,1
36,"UltimatumFlameSpitter3",[9041],4,"",50,0,"",1,1
37,"UltimatumFlameSpitter4",[9042],4,"",50,0,"",1,1
38,"UltimatumFlameSpitter1Trial",[9040],1,"",0,0,"",1,1
39,"UltimatumFlameSpitter2Trial",[9040],2,"",50,0,"",1,1
40,"UltimatumFlameSpitter3Trial",[9041],2,"",50,0,"",1,1
41,"UltimatumFlameSpitter4Trial",[9042],2,"",50,0,"",1,1
42,"UltimatumFrostInfection1",[9019],1,"",0,0,1,"",""
43,"UltimatumFrostInfection2",[9020],1,"",0,0,1,"",""
44,"UltimatumFrostInfection3",[9021],1,"",0,0,1,"",""
45,"UltimatumFrostInfection4",[9022],1,"",0,0,1,"",""
46,"UltimatumGraveyard1",[9037],2,"",50,0,"",1,1
47,"UltimatumGraveyard2",[9037],4,"",50,0,"",1,1
48,"UltimatumGraveyard3",[9038],4,"",50,0,"",1,1
49,"UltimatumGraveyard4",[9039],4,"",50,0,"",1,1
50,"UltimatumGraveyard1Trial",[9037],1,"",0,0,"",1,1
51,"UltimatumGraveyard2Trial",[9037],2,"",50,0,"",1,1
52,"UltimatumGraveyard3Trial",[9038],2,"",50,0,"",1,1
53,"UltimatumGraveyard4Trial",[9039],2,"",50,0,"",1,1
54,"UltimatumRevenant1",[9025],1,"",0,0,"",1,1
55,"UltimatumRevenant2",[9026],1,"",0,0,"",1,1
56,"UltimatumRevenant3",[9027],1,"",0,0,"",1,1
57,"UltimatumRevenant4",[9028],1,"",0,0,"",1,1
58,"UltimatumSawblade1",[9029],1,"",0,0,1,"",""
59,"UltimatumSawblade2",[9030],1,"",0,0,1,"",""
60,"UltimatumSawblade3",[9031],1,"",0,0,1,"",""
61,"UltimatumSawblade4",[9032],1,"",0,0,1,"",""
62,"UltimatumTotemPhys",[9044],1,"",0,0,"",1,1
63,"UltimatumTotemEle",[9045],1,"",0,0,"",1,1
64,"UltimatumAltarDaemon1",[9046],1,"",1000,0,1,1,""
65,"UltimatumAltarDaemon2",[9047],1,"",1000,0,1,1,""
