"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool","MinAreaLevel","i32","MapFragmentLimit","bool","[rid]"
0,2835,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
1,2836,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
2,2837,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
3,2838,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
4,2840,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
5,2841,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
6,2842,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
7,2843,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
8,2850,[8349],[],139,"","","","",1,"",1,100,1,"",[]
9,2851,[8349],[],139,"","","","",1,"",1,100,1,"",[]
10,2852,[8349],[],139,"","","","",1,"",1,100,1,"",[]
11,2853,[8349],[],139,"","","","",1,"",1,100,1,"",[]
12,2855,[8350],[],139,"","","","",1,"",1,100,1,"",[]
13,2856,[8350],[],139,"","","","",1,"",1,100,1,"",[]
14,2857,[8350],[],139,"","","","",1,"",1,100,1,"",[]
15,2858,[8350],[],139,"","","","",1,"",1,100,1,"",[]
16,2860,[8351],[],139,"","","","",1,"",1,100,1,"",[]
17,2861,[8351],[],139,"","","","",1,"",1,100,1,"",[]
18,2862,[8351],[],139,"","","","",1,"",1,100,1,"",[]
19,2863,[8351],[],139,"","","","",1,"",1,100,1,"",[]
20,2865,[8352],[],139,"","","","",1,"",1,100,1,"",[]
21,2866,[8352],[],139,"","","","",1,"",1,100,1,"",[]
22,2867,[8352],[],139,"","","","",1,"",1,100,1,"",[]
23,2868,[8352],[],139,"","","","",1,"",1,100,1,"",[]
24,2870,[8353],[],139,"","","","","","",1,100,1,"",[]
25,3494,[18535],[7006],1,1,"","","","","",1,100,1,"",[1]
26,3495,[18536],[7006],1,1,"","","","","",1,100,1,"",[1]
27,3496,[18537],[7006],1,1,"","","","","",1,100,1,"",[1]
28,3497,[18538],"[7006,7144]",1,1,"","","","","",1,100,1,"",[1]
29,3498,[18539],[],24,1,"","","","","",1,100,5,"",[]
30,3499,[18540],[],25,1,"","","","","",1,100,1,"",[1]
31,3500,[18541],[],26,1,"","","","","",1,100,1,"",[]
32,3501,[18542],[],27,1,"","","","","",1,100,2,"",[]
33,3502,[18543],[],28,1,"","","","","",1,100,1,"",[]
34,3503,[18544],[],136,1,"","","","","",1,100,1,"",[]
35,3504,[18545],[7006],2,1,"","","","","",1,100,1,"",[1]
36,3505,[18546],[7006],2,1,"","","","","",1,100,1,"",[1]
37,3506,[18547],[7006],2,1,"","","","","",1,100,1,"",[1]
38,3507,[18548],"[7006,7145]",2,1,"","","","","",1,100,1,"",[1]
39,3508,[18549],[],29,1,"","","","","",1,100,1,"",[]
40,3509,[18550],[],30,1,"","","","","",1,100,5,"",[]
41,3512,[18551],[],31,1,"","","","","",1,100,3,"",[]
42,3511,[18552],[],32,1,"","","","","",1,100,1,"",[]
43,3510,[18553],[],33,1,"","","","","",1,100,1,"",[1]
44,3513,[18554],[7006],3,1,"","","","","",1,100,1,"",[1]
45,3514,[18555],[7006],3,1,"","","","","",1,100,1,"",[1]
46,3515,[18556],[7006],3,1,"","","","","",1,100,1,"",[1]
47,3516,[18557],"[7006,7146]",3,1,"","","","","",1,100,1,"",[1]
48,3517,[18558],[],3,1,"","","","","",1,100,1,"",[]
49,3518,[18559],[],101,1,"","","","","",1,100,3,"",[]
50,3519,[18560],[],102,1,"","","","","",1,100,2,"",[]
51,3520,[18561],[7006],0,1,"","","","","",1,100,1,"",[1]
52,3521,[18562],[7006],0,1,"","","","","",1,100,1,"",[1]
53,3522,[18563],[7006],0,1,"","","","","",1,100,1,"",[1]
54,3523,[18564],"[7006,7147]",0,1,"","","","","",1,100,1,"",[1]
55,3524,[18565],[7006],0,1,"","","","","",1,100,1,"",[1]
56,3525,[18566],[7006],0,1,"","","","","",1,100,1,"",[1]
57,3526,[18567],[7006],0,1,"","","","","",1,100,1,"",[1]
58,3527,[18568],[7006],0,1,"","","","","",1,100,1,"",[1]
59,3528,[18569],[],126,1,"","","","","",1,100,1,"",[]
60,3530,[18570],[],123,1,"","","","","",1,100,1,"",[]
61,3529,[18571],[],124,1,"","","","","",1,100,2,"",[]
62,3531,[18572],[],125,1,"","","","","",1,100,1,"",[1]
63,3532,[18573],[7006],4,1,1,"","","","",1,100,1,"",[1]
64,3533,[18574],[7006],4,1,1,"","","","",1,100,1,"",[1]
65,3534,[18575],[7006],4,1,1,"","","","",1,100,1,"",[1]
66,3535,[18576],"[7006,7148]",4,1,1,"","","","",1,100,1,"",[1]
67,3536,[18577],[7006],5,1,"",1,"","","",1,100,1,"",[1]
68,3537,[18578],[7006],5,1,"",1,"","","",1,100,1,"",[1]
69,3538,[18579],[7006],5,1,"",1,"","","",1,100,1,"",[1]
70,3539,[18580],"[7006,7149]",5,1,"",1,"","","",1,100,1,"",[1]
71,3540,[18581],[],20,1,1,"","","","",1,100,1,"",[]
72,3541,[18582],[],21,1,"",1,"","","",1,100,1,"",[]
73,3543,"[18583,18584,18585,18586]",[],22,1,"","","","",1,1,100,1,"",[]
74,3542,[18587],[],23,1,"","","","","",1,100,1,"",[]
75,3544,[18588],[7006],0,1,"","","","","",1,100,1,"",[1]
76,3545,[18589],[7006],0,1,"","","","","",1,100,1,"",[1]
77,3546,[18590],[7006],0,1,"","","","","",1,100,1,"",[1]
78,3547,[18591],"[7006,7150]",0,1,"","","","","",1,100,1,"",[1]
79,3548,[18592],[],122,1,"","","","","",1,100,1,"",[]
80,3549,[18593],[],120,1,"","","","","",1,100,1,"",[1]
81,3550,[18594],[],121,1,"","","","","",1,100,1,"",[]
82,3551,[18595],[7006],6,1,"","","","","",1,100,1,"",[1]
83,3552,[18596],[7006],6,1,"","","","","",1,100,1,"",[1]
84,3553,[18597],[7006],6,1,"","","","","",1,100,1,"",[1]
85,3554,[18598],"[7006,7151]",6,1,"","","","","",1,100,1,"",[1]
86,3555,[18599],[],70,1,"","","","","",1,100,5,"",[]
87,3557,[18600],[],71,1,"","","","","",1,100,1,"",[]
88,3556,[18601],[],72,1,"","","","","",1,100,5,"",[]
89,3558,[18602],[7006],7,1,"","","","","",1,100,1,"",[1]
90,3559,[18603],[7006],7,1,"","","","","",1,100,1,"",[1]
91,3560,[18604],[7006],7,1,"","","","","",1,100,1,"",[1]
92,3561,[18605],"[7006,7152]",7,1,"","","","","",1,100,1,"",[1]
93,3562,[18606],[],73,1,"","","","","",1,100,2,"",[]
94,3563,[18607],[],74,1,"","","","","",1,100,1,"",[]
95,3564,[18608],[],75,1,"","","","","",1,100,1,"",[1]
96,3565,[18609],[],127,1,"","","","","",1,100,4,"",[]
97,3566,[18610],[7006],8,1,"","","","","",1,100,1,"",[1]
98,3567,[18611],[7006],8,1,"","","","","",1,100,1,"",[1]
99,3568,[18612],[7006],8,1,"","","","","",1,100,1,"",[1]
100,3569,[18613],"[7006,7153]",8,1,"","","","","",1,100,1,"",[1]
101,3570,[18614],[],37,1,"","","","","",1,100,3,"",[]
102,3571,[18615],[],38,1,"","","","","",1,100,1,"",[]
103,3572,[18616],[],39,1,"","","","","",1,100,1,"",[]
104,3573,[18617],[],40,1,"","","","","",1,100,1,"",[]
105,3574,[18618],[],41,1,"","","","","",1,100,1,"",[]
106,3575,[18619],[7006],9,1,"","","","","",1,100,1,"",[1]
107,3576,[18620],[7006],9,1,"","","","","",1,100,1,"",[1]
108,3577,[18621],[7006],9,1,"","","","","",1,100,1,"",[1]
109,3578,[18622],"[7006,7154]",9,1,"","","","","",1,100,1,"",[1]
110,3579,[18623],[],66,1,"","","","","",1,100,4,"",[]
111,3580,[18624],[],67,1,"","","","","",1,100,1,"",[]
112,3582,[18625],[],68,1,"","","","","",1,100,1,"",[]
113,3581,[18626],[],69,1,"","","","","",1,100,1,"",[]
114,3583,[18627],[7006],10,1,"","","","","",1,100,1,"",[1]
115,3584,[18628],[7006],10,1,"","","","","",1,100,1,"",[1]
116,3585,[18629],[7006],10,1,"","","","","",1,100,1,"",[1]
117,3586,[18630],"[7006,7155]",10,1,"","","","","",1,100,1,"",[1]
118,3587,[18631],[],10,1,"","","","","",1,100,1,"",[]
119,3588,[18632],[],103,1,"","","","","",1,100,2,"",[]
120,3589,[18633],[],104,1,"","","","","",1,100,1,"",[]
121,3591,[18634],[],105,1,"","","","","",1,100,1,"",[]
122,3590,[18635],[],106,1,"","","","","",1,100,1,"",[1]
123,3592,[18636],[7006],11,1,"","","","","",1,100,1,"",[1]
124,3593,[18637],[7006],11,1,"","","","","",1,100,1,"",[1]
125,3594,[18638],[7006],11,1,"","","","","",1,100,1,"",[1]
126,3595,[18639],"[7006,7156]",11,1,"","","","","",1,100,1,"",[1]
127,3596,[18640],[],96,1,"","","","","",1,100,5,"",[]
128,3597,[18641],[],97,1,"","","","","",1,100,1,"",[]
129,3598,[18642],[],98,1,"","","","","",1,100,1,"",[]
130,3599,[18643],[],99,1,"","","","","",1,100,1,"",[1]
131,3600,[18644],[],100,1,"","","","","",1,100,1,"",[]
132,3601,[18662],[7006],12,1,"","","","","",1,100,1,"",[1]
133,3602,[18663],[7006],12,1,"","","","","",1,100,1,"",[1]
134,3603,[18664],[7006],12,1,"","","","","",1,100,1,"",[1]
135,3604,[18665],"[7006,7157]",12,1,"","","","","",1,100,1,"",[1]
136,3605,[18649],[],13,1,"","","","","",1,100,1,"",[1]
137,3606,[18650],[],13,1,"","","","","",1,100,1,"",[1]
138,3607,[18651],[],13,1,"","","","","",1,100,1,"",[1]
139,3608,[18652],[],13,1,"","","","","",1,100,1,"",[1]
140,3609,[18653],[],14,1,"","","","","",1,100,1,"",[1]
141,3610,[18654],[],14,1,"","","","","",1,100,1,"",[1]
142,3611,[18655],[],14,1,"","","","","",1,100,1,"",[1]
143,3612,[18656],[],14,1,"","","","","",1,100,1,"",[1]
144,3613,[18657],[],14,1,"","","","","",1,100,2,"",[]
145,3614,[18658],[],93,1,"","","","","",1,100,2,"",[]
146,3615,[18659],[],94,1,"","","","","",1,100,1,"",[]
147,3616,[18660],[],95,1,"","","","","",1,100,1,"",[1]
148,3617,[18661],[],138,1,"","","","","",1,100,1,"",[]
149,3618,[18666],[],34,1,"","","","","",1,100,5,"",[]
150,3619,[18667],[],35,1,"","","","","",1,100,2,"",[]
151,3620,[18668],[],36,1,"","","","","",1,100,1,"",[]
152,3621,[18669],[],42,1,"","","","","",1,100,5,"",[]
153,3622,[18670],[],43,1,"","","","","",1,100,1,"",[]
154,3624,[18671],[],44,1,"","","","","",1,100,1,"",[]
155,3623,[18672],[],45,1,"","","","","",1,100,1,"",[]
156,3625,[18673],[],137,1,"","","","","",1,100,1,"",[]
157,3627,[18674],[],46,1,"","","","","",1,100,1,"",[]
158,3628,[18675],[],47,1,"","","","","",1,100,2,"",[]
159,3626,[18676],[],48,1,"","","","","",1,100,4,"",[]
160,3629,[18677],[],49,1,"","","","","",1,100,1,"",[]
161,3630,[18679],[],50,1,"","","","","",1,100,2,"",[]
162,3631,[18680],[],51,1,"","","","","",1,100,1,"",[]
163,3632,[18681],[],52,1,"","","","","",1,100,2,"",[]
164,3633,[18682],[],53,1,"","","","","",1,100,1,"",[]
165,3635,[18683],[],54,1,"","","","","",1,100,1,"",[]
166,3634,[18684],[],55,1,"","","","","",1,100,1,"",[]
167,3636,[18685],[],60,1,"","","","","",1,100,1,"",[]
168,3637,[18686],[],57,1,"","","","","",1,100,3,"",[]
169,3639,[18687],[],58,1,"","","","","",1,100,1,"",[]
170,3638,[18688],[],59,1,"","","","","",1,100,2,"",[]
171,3640,[18689],[],65,1,"","","","","",1,100,1,"",[]
172,3641,[18690],[],62,1,"","","","","",1,100,1,"",[]
173,3643,[18691],[],63,1,"","","","","",1,100,2,"",[1]
174,3642,[18692],[],64,1,"","","","","",1,100,1,"",[]
175,3644,[18693],[],76,1,"","","","","",1,100,1,"",[]
176,3645,[18694],[],77,1,"","","","","",1,100,1,"",[1]
