"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,20413,0,11,100,1,6,1,1
1,20414,0,50,100,3,6,1,1
2,20465,0,11,100,1,6,1,1
3,20469,0,11,100,1,6,1,1
4,20470,0,11,100,1,6,1,1
5,20471,0,11,100,1,6,1,1
6,20472,0,11,100,1,6,1,1
7,20477,0,11,100,1,6,1,1
8,20480,150,11,100,1,3,1,1
9,20481,150,25,100,4,5,1,1
10,20482,75,68,100,6,7,1,1
11,20483,150,11,100,1,3,1,1
12,20484,150,25,100,4,5,1,1
13,20485,75,68,100,6,7,1,1
14,20486,150,11,100,1,3,1,1
15,20487,150,25,100,4,5,1,1
16,20488,75,68,100,6,7,1,1
17,20479,75,68,100,3,6,1,1
18,20489,150,40,100,1,3,1,1
19,20490,75,68,100,4,5,1,1
20,20478,37,68,100,6,7,1,1
21,20467,0,11,100,1,3,1,1
22,20491,0,25,100,4,5,1,1
23,20492,0,68,100,6,7,1,1
24,20493,0,68,100,6,7,1,1
25,20473,0,11,100,1,3,1,1
26,20494,0,25,100,4,5,1,1
27,20495,0,68,100,6,7,1,1
28,20468,150,11,100,1,3,1,1
29,20496,75,40,100,4,5,1,1
30,20497,37,68,100,6,7,1,1
31,20474,150,11,100,1,6,1,1
32,20475,75,68,100,4,7,1,1
33,20498,150,68,100,3,7,1,1
