"rownum","rid","Monster","rid","i32","Achievement","bool","bool","bool","bool"
0,0,9686,7141,2,[9790],1,"","",""
1,1,9689,7147,0,[9791],"","","",""
2,2,9691,7153,0,[9792],"","","",""
3,3,9693,7143,0,[],"","","",""
4,4,9694,7152,2,[9793],"","","",""
5,5,9697,7154,1,[9794],"","","",""
6,6,9699,7145,1,[9795],"","","",""
7,7,9701,7144,0,[],"","","",""
8,8,9703,7144,0,[9796],"","","",""
9,9,9683,7154,1,[9797],"","","",""
10,10,9705,7152,2,[9798],"","","",""
11,11,9707,7142,1,[9799],"","","",""
12,12,9709,7143,1,[9800],"","","",""
13,13,9712,7145,1,[9801],"","","",""
14,14,9714,7144,0,[9802],"","","",""
15,15,9716,7152,1,[9803],"","","",""
16,16,9718,7145,2,[9804],"","","",""
17,17,9721,7152,2,[9805],"","","",""
18,18,9724,7147,0,[9806],"","","",""
19,19,9726,7145,0,[9807],"","","",""
20,20,9682,7100,3,[],"","","",""
21,21,9728,7144,0,[9808],"","","",""
22,22,9730,7145,1,[9809],"","","",""
23,23,9732,7152,2,[9810],"","","",""
24,24,9734,7152,2,[9811],"","","",""
25,25,9738,7152,2,[9812],"","","",""
26,26,9740,7144,0,[9813],"","","",""
27,27,9744,7152,2,[9814],"","","",""
28,28,9747,7144,0,[9815],"","","",""
29,29,9749,7145,1,[9816],"","","",""
30,30,9751,7152,2,[9817],"","","",""
31,31,9753,7145,1,[9818],"","","",""
32,32,9755,7145,1,[9819],"","","",""
33,33,9759,7144,0,[9820],"","","",""
34,47,9769,7100,3,[],"","","",""
35,48,9772,7100,3,[],"","","",""
36,49,9775,7143,0,[],"","","",""
37,50,9776,7100,3,[],"","","",""
38,51,9779,7100,3,[9821],"","","",""
39,52,9782,7143,0,[],"","","",""
40,53,9784,7144,0,[],"","","",""
41,54,9791,7100,3,[],"","","",""
42,55,9794,7100,3,[],"","","",""
43,56,9797,7100,3,[],"","","",""
44,57,9800,7100,3,[],"","","",""
45,58,9803,7100,3,[],"","","",""
46,59,9806,7100,3,[9822],"","","",""
