"rownum","Id","Tag","Stat1","Stat2","Stat3","Stat4"
0,"fire","Fire",515,8995,10199,10655
1,"cold","Cold",516,8996,10200,10656
2,"lightning","Lightning",517,8997,10201,10657
3,"chaos","Chaos",518,8998,10202,10658
4,"spell","Spell",520,"","",""
5,"projectile","Projectile",519,9006,"",""
6,"bow","Bow",522,9000,"",""
7,"melee","Melee",521,8999,"",20649
8,"minion","Minion",523,8994,"",""
9,"strength","",754,9002,"",10660
10,"dexterity","",755,9003,"",10661
11,"intelligence","",756,9004,"",10662
12,"aura","Aura",1059,9001,"",""
13,"attack","Attack","","","",""
14,"area","AoE",7896,9005,"",""
15,"duration","Duration",7895,"","",""
16,"support","Support",2216,2429,"",""
17,"curse","Curse",2021,"","",17303
18,"chaining","Chaining","","","",""
19,"totem","Totem","","","",10664
20,"trap","Trap",7987,"","",""
21,"mine","Mine","","","",""
22,"movement","Movement",1256,"","",""
23,"cast","Cast","","","",""
24,"vaal","Vaal",2137,"","",10663
25,"grants_active_skill","","","","",""
26,"trigger","Trigger","","","",""
27,"warcry","Warcry",3163,"","",""
28,"golem","Golem",3167,"","",""
29,"low_max_level","","","","",""
30,"channelling","Channelling","","","",""
31,"herald","Herald",6135,"","",20833
32,"brand","Brand","","","",""
33,"physical","Physical","","",10203,10659
34,"guard","Guard","","","",""
35,"travel","Travel","","","",""
36,"strike","Strike","","","",""
37,"blink","Blink","","","",""
38,"nova","Nova","","","",""
39,"banner","","","","",""
40,"slam","Slam","","","",""
41,"stance","Stance","","","",""
42,"hex","Hex",13030,"","",""
43,"mark","Mark","","","",""
44,"orb","Orb","","","",""
45,"random_element","Prismatic","","","",""
46,"arcane","Arcane","","","",""
47,"critical","Critical","","","",""
48,"exceptional","Exceptional","","","",""
49,"link","Link","","","",17730
50,"blessing","Blessing","","","",""
51,"awakened","","","","",""
52,"retaliation","Retaliation","","","",""
