"rownum","Item","Pack","Description","i32","i32"
0,4883,14,"Pack monsters are Harmless Frogs",0,0
1,4884,16,"Pack monsters are Rats",0,0
2,4885,485,"Pack monsters can drop Splinters of Xoph",0,0
3,4886,486,"Pack monsters can drop Splinters of Tul",0,0
4,4887,487,"Pack monsters can drop Splinters of Esh",0,0
5,4888,488,"Pack monsters can drop Splinters of Uul'Netol",0,0
6,4889,489,"Pack monsters can drop Splinters of Chayula",0,0
7,4890,490,"Pack monsters reward Sulphite on death",0,0
8,4891,491,"Pack Monsters can drop Karui Tattoos",0,0
9,4892,492,"Pack Monsters can drop Karui Tattoos",0,0
10,4893,493,"Pack Monsters can drop Karui Tattoos",0,0
11,4894,494,"Pack Monsters can drop Karui Tattoos",0,0
12,4895,495,"Pack Monsters can drop Karui Tattoos",0,0
13,4896,496,"Pack Monsters can drop Karui Tattoos",0,0
14,4897,497,"Pack Monsters can drop Karui Tattoos",0,0
15,4898,498,"Pack Monsters can drop Karui Tattoos",0,0
16,4899,499,"Pack Monsters can drop Karui Tattoos",0,0
17,4900,500,"Pack Monsters can drop Karui Tattoos",0,0
18,4901,501,"Pack monsters can drop Abyssal Jewels",0,0
19,4902,502,"Pack monsters can drop Tainted Currency",0,0
20,4903,503,"Pack monsters can drop Tainted Currency",0,0
21,4904,504,"Pack monsters can drop Tainted Currency",0,0
22,4905,505,"Gemling Pack Leader drops an additional Quality Gem",0,0
23,4906,506,"Gemling Pack Leader drops an additional Quality Gem",0,0
24,4907,507,"Gemling Pack Leader drops an additional Quality Gem",0,0
25,4908,508,"Gemling Pack Leader drops an additional Quality Gem",0,0
26,4909,509,"Gemling Pack Leader drops an additional Quality Gem",0,0
27,4910,510,"Pack monsters can drop Broken Circle Artifacts",0,0
28,4911,511,"Pack monsters can drop Order of the Chalice Artifacts",0,0
29,4912,512,"Pack monsters can drop Black Scythe Artifacts",0,0
30,4913,513,"Pack monsters can drop Knights of the Sun Artifacts",0,0
31,4914,514,"Monster has greatly increased Life",0,0
32,4915,515,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items",0,0
33,4916,516,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items",0,0
34,4917,517,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items",0,0
35,4918,518,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items",0,0
36,4919,519,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items",0,0
37,4920,520,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items",0,0
38,4921,521,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items",0,0
39,4922,522,"Pack monsters can drop Omens",0,0
40,4923,523,"Pack monsters can drop Omens",0,0
41,4924,524,"Pack monsters can drop Omens",0,0
42,4925,525,"Pack monsters can drop Timeless Karui Splinters ",0,0
43,4926,526,"Pack monsters can drop Timeless Eternal Empire Splinters ",0,0
44,4927,527,"Pack monsters can drop Timeless Maraketh Splinters ",0,0
45,4928,528,"Pack monsters can drop Timeless Templar Splinters ",0,0
46,4929,529,"Pack monsters can drop Timeless Vaal Splinters ",0,0
47,4950,530,"Pack monsters can drop Contracts and Rogue Markers\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
48,4951,531,"Pack monsters can drop Shaper Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
49,4952,532,"Pack monsters can drop Elder Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
50,4953,536,"Pack monsters can drop Warlord Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
51,4954,534,"Pack monsters can drop Redeemer Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
52,4955,533,"Pack monsters can drop Crusader Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
53,4956,535,"Pack monsters can drop Hunter Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
54,4957,933,"Pack monsters can drop Omens\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
55,4958,934,"Pack monsters can drop Expedition Artifacts\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
56,4959,935,"Pack monsters can drop Abyssal Jewels\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
57,4960,936,"Pack monsters have a chance to leave corpses with a Special Craft",0,0
58,4961,945,"Pack monsters can drop Catalysts",0,0
59,4962,946,"Pack monsters can drop Catalysts",0,0
60,4963,937,"Pack monsters drop Currency Items",0,0
61,4964,938,"Extra Monster drops items with +1 to number of Sockets\r\nExtra Monster drops fully Linked items",0,0
62,4965,939,"Pack is composed of a Rogue Exile",0,0
63,4966,940,"Pack monsters can drop Scarabs",0,0
64,4967,941,"Pack monsters can drop Scarabs",0,0
65,4968,942,"Pack monsters can drop Scarabs",0,0
66,4969,943,"Pack monsters can drop Scarabs",0,0
67,4970,944,"Pack monsters can drop Fractured Items",0,0
68,4971,948,"Pack monsters have a chance to leave corpses with a Special Craft",0,0
69,4972,947,"Pack monsters can drop Breach Splinters\r\nPack monsters have a chance to leave corpses with a Special Craft",0,0
