"rownum","Id","ItemVisualIdentity","ItemClass","i32"
0,"UniqueOneHandSword1",7885,9,1
1,"UniqueBow2",7894,13,1
2,"UniqueWand4",9866,8,1
3,"UniqueClaw4",9656,6,3
4,"UniqueStaff4",9903,14,4
5,"UniqueStaff9",10823,14,4
6,"UniqueBow4",8947,13,5
7,"UniqueDagger11",11592,7,5
8,"UniqueOneHandAxe3",9899,11,6
9,"UniqueRapier1",8926,10,7
10,"UniqueBow8",9468,13,9
11,"UniqueOneHandSword12",11601,9,10
12,"UniqueOneHandMace6",11603,12,10
13,"UniqueTwoHandSword2",7904,15,12
14,"UniqueClaw9",11597,6,12
15,"UniqueWand12",12145,8,24
16,"UniqueTwoHandAxe3",8950,16,13
17,"UniqueStaff13",11596,57,13
18,"UniqueDagger12",11593,7,15
19,"UniqueOneHandAxe7",11599,11,16
20,"UniqueTwoHandMace1",7900,17,17
21,"UniqueRapier2",9651,10,17
22,"UniqueDagger3",8940,56,20
23,"UniqueOneHandMace1",8945,12,20
24,"UniqueOneHandMace7",11604,12,20
25,"UniqueOneHandSword16",12213,9,20
26,"UniqueTwoHandMace7",9776,17,22
27,"UniqueOneHandSword7",10050,10,22
28,"UniqueTwoHandSword7",10302,15,22
29,"UniqueClaw6",9659,6,26
30,"UniqueRapier5",12572,10,26
31,"UniqueTwoHandMace2",7901,17,27
32,"UniqueOneHandSword4",9747,9,28
33,"UniqueBow11",10046,13,28
34,"UniqueOneHandSword13",11602,9,28
35,"UniqueOneHandAxe6",11435,11,29
36,"UniqueDagger2",7928,7,30
37,"UniqueWand9",11509,8,30
38,"UniqueBow3",7898,13,32
39,"UniqueOneHandMace8",11605,12,32
40,"UniqueTwoHandAxe2",8924,16,33
41,"UniqueClaw2",8971,6,34
42,"UniqueTwoHandMace10",12207,17,40
43,"UniqueSceptre1",8968,32,41
44,"UniqueSceptre2",9588,32,41
45,"UniqueRapier4",12215,10,43
46,"UniqueTwoHandSword1",7903,15,44
47,"UniqueDagger13",12209,56,44
48,"UniqueTwoHandAxe4",9467,16,45
49,"UniqueClaw8",11441,6,46
50,"UniqueOneHandClaw12",12191,6,46
51,"UniqueOneHandSword18",12247,9,47
52,"UniqueOneHandMace10",12211,12,50
53,"UniqueTwoHandSword3",8925,15,51
54,"UniqueStaff18",12717,14,52
55,"UniqueBow7",8960,13,53
56,"UniqueOneHandSword5",9810,9,53
57,"UniqueTwoHandMace4",8951,17,54
58,"UniqueTwoHandAxe14",12205,16,55
59,"UniqueSceptre10",11432,32,72
60,"UniqueWand11",12129,8,59
61,"UniqueTwoHandMace3",8935,17,57
62,"UniqueTwoHandAxe1",7884,16,58
63,"UniqueDagger8",9905,56,58
64,"UniqueOneHandSword11",11436,9,58
65,"UniqueWand1",8931,8,59
66,"UniqueOneHandAxe1",9679,11,65
67,"UniqueTwoHandSword10",12397,15,59
68,"UniqueOneHandMace4",11430,12,60
69,"UniqueOneHandSword19",12388,9,60
70,"UniqueClaw18",12792,6,60
71,"UniqueDagger16",12793,7,60
72,"UniqueDagger21",12858,7,60
73,"UniqueTwoHandSword11",12427,15,61
74,"UniqueBow5",8949,13,62
75,"UniqueBow6",8954,13,62
76,"UniqueClaw3",9622,6,62
77,"UniqueOneHandSword6",10047,9,62
78,"UniqueTwoHandAxe16",13003,16,62
79,"UniqueTwoHandMace11",12430,17,77
80,"UniqueOneHandAxe10",12833,11,63
81,"UniqueOneHandSword3",9668,9,64
82,"UniqueBow10",9786,13,64
83,"UniqueDagger9",10095,56,64
84,"UniqueTwoHandAxe10",12115,16,64
85,"UniqueOneHandSword17",12222,9,64
86,"UniqueOneHandAxe5",9891,11,65
87,"UniqueTwoHandSword8",10809,15,65
88,"UniqueTwoHandMace12",12696,17,65
89,"UniqueBow1",7890,13,66
90,"UniqueClaw1",8962,6,66
91,"UniqueBow9",9755,13,70
92,"UniqueOneHandMace5",11431,12,66
93,"UniqueClaw10",12063,6,66
94,"UniqueTwoHandAxe15",12692,16,66
95,"UniqueDagger17",12963,56,66
96,"UniqueTwoHandMace6",9745,17,67
97,"UniqueTwoHandSword6",9807,15,67
98,"UniqueStaff7",10054,57,71
99,"UniqueBow15",12235,13,68
100,"UniqueClaw14",12395,6,68
101,"UniqueOneHandSword20",12431,9,77
102,"UniqueBow17",12545,13,77
103,"UniqueTwoHandAxe13",12657,16,68
104,"UniqueOneHandSword24",12759,9,68
105,"UniqueOneHandAxe2",9831,11,69
106,"UniqueClaw13",12230,6,70
107,"UniqueClaw15",12548,6,77
108,"UniqueStaff20",12783,14,66
109,"UniqueStaff27",12843,57,60
110,"UniqueStaff22",12998,57,64
111,"UniqueStaff24",13119,57,68
112,"UniqueOneHandSword29",13050,9,56
113,"UniqueOneHandSword30",13051,9,56
114,"UniqueOneHandSword31",13465,9,62
115,"UniqueTwoHandSword12",12553,15,67
116,"UniqueTwoHandSword13",12553,15,67
117,"UniqueTwoHandSword14",14117,15,67
118,"UniqueDagger20",12839,7,60
119,"UniqueBow18",12592,13,58
120,"UniqueBow19",12593,13,58
121,"UniqueBow22",13173,13,57
122,"UniqueBow23",14063,13,58
123,"UniqueBow21",12983,13,75
124,"UniqueBow20",12964,13,62
125,"UniqueBow16",12412,13,64
126,"UniqueTwoHandAxe7",10019,16,64
127,"UniqueTwoHandAxe9",11519,16,66
