"rownum","BaseMetadata","i32","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","i32","i32","i32","i32","rid","bool","bool","i32","Script","bool"
0,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",1,[6923],20,500,0,0,2600,3100,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
1,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",9,[6923],20,500,0,0,2400,2900,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
2,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",29,[6923],20,500,0,0,2300,2800,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
3,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",52,[6923],20,500,0,0,2200,2700,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
4,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",92,[6923],20,500,0,0,2100,2600,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
5,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",173,[6923],20,500,0,0,2000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
6,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",239,[6923],20,500,0,0,1500,2000,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
7,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",319,[6923],20,500,0,0,1250,1750,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
8,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",469,[6923],20,500,0,0,1000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
9,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",569,[6923],20,500,0,0,800,1300,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
10,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",1,"[6921,6922]",20,500,0,0,2600,3100,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
11,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",9,"[6921,6922]",20,500,0,0,2400,2900,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
12,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",29,"[6921,6922]",20,500,0,0,2300,2800,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
13,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",52,"[6921,6922]",20,500,0,0,2200,2700,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
14,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",92,"[6921,6922]",20,500,0,0,2100,2600,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
15,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",173,"[6921,6922]",20,500,0,0,2000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
16,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",239,"[6921,6922]",20,500,0,0,1500,2000,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
17,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",319,"[6921,6922]",20,500,0,0,1250,1750,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
18,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",469,"[6921,6922]",20,500,0,0,1000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
19,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",569,"[6921,6922]",20,500,0,0,800,1300,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
20,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",1,[6920],20,500,0,0,2600,3100,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
21,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",9,[6920],20,500,0,0,2400,2900,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
22,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",29,[6920],20,500,0,0,2300,2800,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
23,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",52,[6920],20,500,0,0,2200,2700,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
24,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",92,[6920],20,500,0,0,2100,2600,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
25,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",173,[6920],20,500,0,0,2000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
26,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",239,[6920],20,500,0,0,1500,2000,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
27,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",319,[6920],20,500,0,0,1250,1750,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
28,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",469,[6920],20,500,0,0,1000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
